ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
an exit fund,11,AC15,S7,trigrams,exit fund,2,,0,,,0,0.0,False
keep an exit,8,AC15,S7,trigrams,keep exit,2,,0,,,0,0.0,False
ordinary life stay,7,AC15,S7,trigrams,ordinary life stay,3,,0,,,0,0.0,False
week ordinary life,6,AC15,S7,trigrams,week ordinary life,3,,0,,,0,0.0,False
partner not nurse,6,AC15,S7,trigrams,partner nurse,2,,0,,partner,1,0.5,False
exit fund don,5,AC15,S7,trigrams,exit fund,2,,0,,,0,0.0,False
exit fund and,5,AC15,S7,trigrams,exit fund,2,,0,,,0,0.0,False
ordinary life trial,4,AC15,S7,trigrams,ordinary life trial,3,,0,,,0,0.0,False
what i m,4,AC15,S7,trigrams,i m,2,,0,,,0,0.0,False
activity without her,4,AC15,S7,trigrams,activity without her,3,,0,,,0,0.0,False
about the future,3,AC15,S7,trigrams,about future,2,temporal_dynamics,1,future,,0,0.0,False
a true pilot,3,AC15,S7,trigrams,true pilot,2,imagination_and_possibility,1,pilot,,0,0.0,False
family expect from,3,AC15,S7,trigrams,family expect,2,,0,,,0,0.0,False
longer ordinary life,3,AC15,S7,trigrams,longer ordinary life,3,,0,,,0,0.0,False
normal hours handle,3,AC15,S7,trigrams,normal hours handle,3,,0,,,0,0.0,False
t merge finances,3,AC15,S7,trigrams,merge finances,2,,0,,,0,0.0,False
get independent legal,3,AC15,S7,trigrams,get independent legal,3,,0,,,0,0.0,False
independent legal advice,3,AC15,S7,trigrams,independent legal advice,3,,0,,,0,0.0,False
no merged accounts,3,AC15,S7,trigrams,no merged accounts,3,,0,,,0,0.0,False
marriage kids family,3,AC15,S7,trigrams,marriage kids family,3,,0,,marriage,1,0.3333333333333333,False
no merged finances,3,AC15,S7,trigrams,no merged finances,3,,0,,,0,0.0,False
your citizenship i,3,AC15,S7,trigrams,citizenship i,2,,0,,citizenship,1,0.5,False
citizenship i can,3,AC15,S7,trigrams,citizenship i,2,,0,,citizenship,1,0.5,False
your own cognitive,3,AC15,S7,trigrams,own cognitive,2,,0,,,0,0.0,False
an week ordinary,3,AC15,S7,trigrams,week ordinary,2,,0,,,0,0.0,False
maintain an exit,3,AC15,S7,trigrams,maintain exit,2,,0,,,0,0.0,False
two home model,3,AC15,S7,trigrams,two home model,3,,0,,,0,0.0,False
complex care plan,3,AC15,S7,trigrams,complex care plan,3,,0,,,0,0.0,False
a longer stay,3,AC15,S7,trigrams,longer stay,2,,0,,,0,0.0,False
marriage kids aging,3,AC15,S7,trigrams,marriage kids aging,3,,0,,marriage|aging,2,0.6666666666666666,False
weekly activity without,3,AC15,S7,trigrams,weekly activity without,3,,0,,,0,0.0,False
whether her future,2,AC15,S7,trigrams,whether her future,3,temporal_dynamics,1,future,,0,0.0,False
time based evidence,2,AC15,S7,trigrams,time based evidence,3,truth_and_fact,1,evidence,,0,0.0,False
honest answer is,2,AC15,S7,trigrams,honest answer,2,truth_and_fact,1,honest,,0,0.0,False
complex care pathway,2,AC15,S7,trigrams,complex care pathway,3,imagination_and_possibility,1,pathway,,0,0.0,False
the practical incentive,2,AC15,S7,trigrams,practical incentive,2,practicality_and_feasibility,1,practical,,0,0.0,False
protects your future,2,AC15,S7,trigrams,protects future,2,temporal_dynamics,1,future,,0,0.0,False
schedule one call,2,AC15,S7,trigrams,schedule one call,3,practicality_and_feasibility,1,schedule,,0,0.0,False
family support boundaries,2,AC15,S7,trigrams,family support boundaries,3,imagination_and_possibility,1,boundaries,,0,0.0,False
pilot plan with,2,AC15,S7,trigrams,pilot plan,2,imagination_and_possibility,1,pilot,,0,0.0,False
defeat sunk cost,2,AC15,S7,trigrams,defeat sunk cost,3,practicality_and_feasibility,1,cost,,0,0.0,False
genuine and still,2,AC15,S7,trigrams,genuine still,2,,0,,genuine,1,0.5,False
shared costs and,2,AC15,S7,trigrams,shared costs,2,,0,,,0,0.0,False
motivations could be,2,AC15,S7,trigrams,motivations could,2,,0,,motivations,1,0.5,False
could be love,2,AC15,S7,trigrams,could love,2,,0,,love,1,0.5,False
exclusive what counts,2,AC15,S7,trigrams,exclusive counts,2,,0,,,0,0.0,False
counts as cheating,2,AC15,S7,trigrams,counts cheating,2,,0,,,0,0.0,False
as cheating how,2,AC15,S7,trigrams,cheating how,2,,0,,,0,0.0,False
cheating how do,2,AC15,S7,trigrams,cheating how,2,,0,,,0,0.0,False
what does her,2,AC15,S7,trigrams,does her,2,,0,,,0,0.0,False
does her family,2,AC15,S7,trigrams,does her family,3,,0,,,0,0.0,False
her family expect,2,AC15,S7,trigrams,her family expect,3,,0,,,0,0.0,False
conversations go well,2,AC15,S7,trigrams,conversations go well,3,,0,,,0,0.0,False
or urgency tactics,2,AC15,S7,trigrams,urgency tactics,2,,0,,,0,0.0,False
just curated introductions,2,AC15,S7,trigrams,just curated introductions,3,,0,,,0,0.0,False
t ship everything,2,AC15,S7,trigrams,ship everything,2,,0,,,0,0.0,False
will beneficiaries medical,2,AC15,S7,trigrams,will beneficiaries medical,3,,0,,medical,1,0.3333333333333333,False
beneficiaries medical power,2,AC15,S7,trigrams,beneficiaries medical power,3,,0,,medical,1,0.3333333333333333,False
marriage becomes real,2,AC15,S7,trigrams,marriage becomes real,3,,0,,marriage,1,0.3333333333333333,False
legal advice on,2,AC15,S7,trigrams,legal advice,2,,0,,,0,0.0,False
advice on both,2,AC15,S7,trigrams,advice both,2,,0,,,0,0.0,False
set a decision,2,AC15,S7,trigrams,set decision,2,,0,,,0,0.0,False
marriage children aging,2,AC15,S7,trigrams,marriage children aging,3,,0,,marriage|children|aging,3,1.0,True
property no merged,2,AC15,S7,trigrams,property no merged,3,,0,,,0,0.0,False
set the pace,2,AC15,S7,trigrams,set pace,2,,0,,,0,0.0,False
want to pursue,2,AC15,S7,trigrams,want pursue,2,,0,,,0,0.0,False
pursue this seriously,2,AC15,S7,trigrams,pursue seriously,2,,0,,,0,0.0,False
life at home,2,AC15,S7,trigrams,life home,2,,0,,,0,0.0,False
fund exit fund,2,AC15,S7,trigrams,fund exit fund,3,,0,,,0,0.0,False
money marriage kids,2,AC15,S7,trigrams,money marriage kids,3,,0,,marriage,1,0.3333333333333333,False
kids family expectations,2,AC15,S7,trigrams,kids family expectations,3,,0,,,0,0.0,False
family expectations aging,2,AC15,S7,trigrams,family expectations aging,3,,0,,aging,1,0.3333333333333333,False
an ordinary life,2,AC15,S7,trigrams,ordinary life,2,,0,,,0,0.0,False
merged finances keep,2,AC15,S7,trigrams,merged finances keep,3,,0,,,0,0.0,False
propose the staged,2,AC15,S7,trigrams,propose staged,2,,0,,,0,0.0,False
the staged plan,2,AC15,S7,trigrams,staged plan,2,,0,,,0,0.0,False
a purely extractive,2,AC15,S7,trigrams,purely extractive,2,,0,,,0,0.0,False
purely extractive dynamic,2,AC15,S7,trigrams,purely extractive dynamic,3,,0,,,0,0.0,False
it holds up,2,AC15,S7,trigrams,holds up,2,,0,,,0,0.0,False
a single trip,2,AC15,S7,trigrams,single trip,2,,0,,single,1,0.5,False
even sincere people,2,AC15,S7,trigrams,even sincere people,3,,0,,,0,0.0,False
i respect that,2,AC15,S7,trigrams,i respect,2,,0,,,0,0.0,False
marriage and children,2,AC15,S7,trigrams,marriage children,2,,0,,marriage|children,2,1.0,True
why love tradition,2,AC15,S7,trigrams,love tradition,2,,0,,love,1,0.5,False
family expectations do,2,AC15,S7,trigrams,family expectations,2,,0,,,0,0.0,False
buy property don,2,AC15,S7,trigrams,buy property,2,,0,,,0,0.0,False
t merge accounts,2,AC15,S7,trigrams,merge accounts,2,,0,,,0,0.0,False
merge accounts don,2,AC15,S7,trigrams,merge accounts,2,,0,,,0,0.0,False
irreversible commitments only,2,AC15,S7,trigrams,irreversible commitments,2,,0,,,0,0.0,False
many couples use,2,AC15,S7,trigrams,many couples use,3,,0,,,0,0.0,False
want to plan,2,AC15,S7,trigrams,want plan,2,,0,,,0,0.0,False
trial stay before,2,AC15,S7,trigrams,trial stay before,3,,0,,,0,0.0,False
move if she,2,AC15,S7,trigrams,move she,2,,0,,,0,0.0,False
as i want,2,AC15,S7,trigrams,i want,2,,0,,,0,0.0,False
you spend time,2,AC15,S7,trigrams,spend time,2,,0,,,0,0.0,False
longtime friends not,2,AC15,S7,trigrams,longtime friends,2,,0,,,0,0.0,False
people around her,2,AC15,S7,trigrams,people around her,3,,0,,,0,0.0,False
how much time,2,AC15,S7,trigrams,how much time,3,,0,,,0,0.0,False
specific even if,2,AC15,S7,trigrams,specific even,2,,0,,,0,0.0,False
she handled stress,2,AC15,S7,trigrams,she handled stress,3,,0,,,0,0.0,False
handled stress money,2,AC15,S7,trigrams,handled stress money,3,,0,,,0,0.0,False
