ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
a phased start and,2,AC15,S1,quadgrams,phased start,2,temporal_dynamics,1,phased,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.action_and_execution|temporal_projection.change_and_rate,2,2,2,0,practical_considerations_and_execution|temporal_projection,,phas|phased|start,False
ownership of timing plans,2,AC15,S1,quadgrams,ownership timing plans,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
plans configs logs performance,2,AC15,S1,quadgrams,plans configs logs performance,4,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
timing plans configurations logs,2,AC15,S1,quadgrams,timing plans configurations logs,4,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
plans configurations logs performance,2,AC15,S1,quadgrams,plans configurations logs performance,4,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
timing plans controller configs,3,AC15P,S1,quadgrams,timing plans controller configs,4,,0,,controller,1,0.25,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
can t delay start,3,AC15P,S1,quadgrams,delay start,2,,0,,,0,0.0,False,practical_considerations_and_execution|surfacing,practical_considerations_and_execution.action_and_execution|surfacing.hard_limit_refusal,2,2,1,1,practical_considerations_and_execution,surfacing,can t|start,False
t delay start constraint,2,AC15P,S1,quadgrams,delay start constraint,3,practicality_and_feasibility,1,constraint,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution|practical_considerations_and_execution.constraints_and_tradeoffs,1,2,1,0,practical_considerations_and_execution,,constrain|constraint|start,False
plans time of day,2,AC15P,S1,quadgrams,plans time day,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
plans controller configs detector,2,AC15P,S1,quadgrams,plans controller configs detector,4,,0,,controller,1,0.25,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
path to start on,2,AC15P,S1,quadgrams,path start,2,,0,,,0,0.0,False,imagination_and_possibility|practical_considerations_and_execution,imagination_and_possibility.path_toward_feasibility|practical_considerations_and_execution.action_and_execution,2,2,2,0,imagination_and_possibility|practical_considerations_and_execution,,path to|start,False
export of configs plans,2,AC15P,S1,quadgrams,export configs plans,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
of configs plans logs,2,AC15P,S1,quadgrams,configs plans logs,3,,0,,,0,0.0,False,practical_considerations_and_execution,practical_considerations_and_execution.action_and_execution,1,1,1,0,practical_considerations_and_execution,,plans,False
configs plans logs documented,2,AC15P,S1,quadgrams,configs plans logs documented,4,,0,,,0,0.0,False,practical_considerations_and_execution|truth,practical_considerations_and_execution.action_and_execution|truth.verification,2,2,2,0,practical_considerations_and_execution|truth,,documented|plans,False
plans logs documented interfaces,2,AC15P,S1,quadgrams,plans logs documented interfaces,4,,0,,,0,0.0,False,practical_considerations_and_execution|truth,practical_considerations_and_execution.action_and_execution|truth.verification,2,2,2,0,practical_considerations_and_execution|truth,,documented|plans,False
a staged rollout plan,2,CONTROL,S1,quadgrams,staged rollout plan,3,,0,,rollout,1,0.3333333333333333,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.action_and_execution|temporal_projection.change_and_rate,2,2,2,0,practical_considerations_and_execution|temporal_projection,,plan|rollout|staged,False
and a staged rollout,2,CONTROL,S1,quadgrams,staged rollout,2,,0,,rollout,1,0.5,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.action_and_execution|temporal_projection.change_and_rate,2,2,2,0,practical_considerations_and_execution|temporal_projection,,rollout|staged,False
staged rollout plan with,2,CONTROL,S1,quadgrams,staged rollout plan,3,,0,,rollout,1,0.3333333333333333,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.action_and_execution|temporal_projection.change_and_rate,2,2,2,0,practical_considerations_and_execution|temporal_projection,,plan|rollout|staged,False
