ngram,count,system,scenario,level,content_words,content_token_count,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,expression_groups,expression_first_class,expression_group_count,expression_first_class_count,layer_a_count,layer_b_count,layer_a_groups,layer_b_groups,matched_expression_terms,unclassified
sla commissioning phase,2,AC15,S3,trigrams,sla commissioning phase,3,temporal_dynamics,1,phase,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,phas|phase,False
if zones shift,2,AC15,S3,trigrams,zones shift,2,temporal_dynamics,1,shift,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,shift,False
a qualification phase,3,AC15P,S3,trigrams,qualification phase,2,temporal_dynamics,1,phase,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,phas|phase,False
in shifting emi,2,AC15P,S3,trigrams,shifting emi,2,temporal_dynamics,1,shifting,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,shifting,False
may shift so,2,AC15P,S3,trigrams,may shift,2,temporal_dynamics,1,shift,,0,0.0,False,hedging|temporal_projection,hedging|temporal_projection.change_and_rate,2,2,1,1,temporal_projection,hedging,may|shift,False
free qualification phase,2,AC15P,S3,trigrams,free qualification phase,3,temporal_dynamics,1,phase,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,phas|phase,False
qualification phase i,2,AC15P,S3,trigrams,qualification phase i,3,temporal_dynamics,1,phase,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,phas|phase,False
phase i can,2,AC15P,S3,trigrams,phase i,2,temporal_dynamics,1,phase,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,phas|phase,False
refuse phasing exclusions,2,AC15P,S3,trigrams,refuse phasing exclusions,3,,0,,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,phas,False
terms rate maturity,2,CONTROL,S3,trigrams,terms rate maturity,3,temporal_dynamics,1,maturity,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,maturity,False
rate maturity covenants,2,CONTROL,S3,trigrams,rate maturity covenants,3,temporal_dynamics,1,maturity,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,maturity,False
a phased launch,2,CONTROL,S3,trigrams,phased launch,2,temporal_dynamics,1,phased,launch|phased launch,2,1.0,True,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.action_and_execution|temporal_projection.change_and_rate,2,2,2,0,practical_considerations_and_execution|temporal_projection,,launch|phas|phased,False
can shift static,2,CONTROL,S3,trigrams,shift static,2,temporal_dynamics,1,shift,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,shift,False
short maturity hard,2,HYBRID_3_5,S3,trigrams,short maturity hard,3,temporal_dynamics,1,maturity,,0,0.0,False,surfacing|temporal_projection,surfacing.friction_exposed|temporal_projection.change_and_rate,2,2,1,1,temporal_projection,surfacing,hard|maturity,False
bounded envelope staged,2,HYBRID_3_5,S3,trigrams,bounded envelope staged,3,,0,,,0,0.0,False,practical_considerations_and_execution|temporal_projection,practical_considerations_and_execution.constraints_and_tradeoffs|temporal_projection.change_and_rate,2,2,2,0,practical_considerations_and_execution|temporal_projection,,bounded|staged,False
pilot acceptance phase,4,HYBRID_SEMANTIC,S3,trigrams,pilot acceptance phase,3,temporal_dynamics|imagination_and_possibility,2,phase|pilot,,0,0.0,False,imagination_and_possibility|temporal_projection,imagination_and_possibility.path_toward_feasibility|temporal_projection.change_and_rate,2,2,2,0,imagination_and_possibility|temporal_projection,,phas|phase|pilot,False
acceptance pilot phase,2,HYBRID_SEMANTIC,S3,trigrams,acceptance pilot phase,3,temporal_dynamics|imagination_and_possibility,2,phase|pilot,,0,0.0,False,imagination_and_possibility|temporal_projection,imagination_and_possibility.path_toward_feasibility|temporal_projection.change_and_rate,2,2,2,0,imagination_and_possibility|temporal_projection,,phas|phase|pilot,False
phase with defined,2,HYBRID_SEMANTIC,S3,trigrams,phase defined,2,temporal_dynamics,1,phase,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,phas|phase,False
zones might shift,2,HYBRID_SEMANTIC,S3,trigrams,zones might shift,3,temporal_dynamics,1,shift,,0,0.0,False,hedging|temporal_projection,hedging|temporal_projection.change_and_rate,2,2,1,1,temporal_projection,hedging,might|shift,False
acceptance phase with,2,HYBRID_SEMANTIC,S3,trigrams,acceptance phase,2,temporal_dynamics,1,phase,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,phas|phase,False
phase with reduced,2,HYBRID_SEMANTIC,S3,trigrams,phase reduced,2,temporal_dynamics,1,phase,,0,0.0,False,temporal_projection,temporal_projection.change_and_rate,1,1,1,0,temporal_projection,,phas|phase,False
