scenario,level,system,first_class_group,parent,layer,rows,sum_count,system_total_rows
S1,trigrams,CONTROL,truth.plain_statement,truth,A,0,0,210
S1,trigrams,CONTROL,truth.verification,truth,A,1,3,210
S1,trigrams,CONTROL,truth.uncertainty_marking,truth,A,2,4,210
S1,trigrams,CONTROL,truth.fact_vs_interpretation,truth,A,0,0,210
S1,trigrams,CONTROL,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,A,7,17,210
S1,trigrams,CONTROL,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,A,3,6,210
S1,trigrams,CONTROL,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,A,0,0,210
S1,trigrams,CONTROL,practical_considerations_and_execution.resources_timing_conditions,practical_considerations_and_execution,A,6,16,210
S1,trigrams,CONTROL,temporal_projection.decay_and_currency,temporal_projection,A,0,0,210
S1,trigrams,CONTROL,temporal_projection.time_horizons,temporal_projection,A,7,17,210
S1,trigrams,CONTROL,temporal_projection.past_present_future,temporal_projection,A,2,6,210
S1,trigrams,CONTROL,temporal_projection.change_and_rate,temporal_projection,A,4,10,210
S1,trigrams,CONTROL,temporal_projection.robustness_and_resilience,temporal_projection,A,3,7,210
S1,trigrams,CONTROL,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,A,0,0,210
S1,trigrams,CONTROL,imagination_and_possibility.speculative_boundary_marking,imagination_and_possibility,A,0,0,210
S1,trigrams,CONTROL,imagination_and_possibility.tension_as_fuel,imagination_and_possibility,A,0,0,210
S1,trigrams,CONTROL,imagination_and_possibility.path_toward_feasibility,imagination_and_possibility,A,0,0,210
S1,trigrams,CONTROL,surfacing.friction_exposed,surfacing,B,0,0,210
S1,trigrams,CONTROL,surfacing.hard_limit_refusal,surfacing,B,0,0,210
S1,trigrams,CONTROL,surfacing.confrontation,surfacing,B,1,4,210
S1,trigrams,CONTROL,surfacing.tension_exposure,surfacing,B,0,0,210
S1,trigrams,CONTROL,smoothing,smoothing,B,0,0,210
S1,trigrams,CONTROL,hedging,hedging,B,9,29,210
S1,trigrams,CONTROL,warning,warning,B,6,12,210
S1,trigrams,CONTROL,conditions,conditions,B,2,5,210
S1,trigrams,CONTROL,autonomy_sovereignty,autonomy_sovereignty,B,0,0,210
S1,trigrams,AC15,truth.plain_statement,truth,A,0,0,238
S1,trigrams,AC15,truth.verification,truth,A,6,13,238
S1,trigrams,AC15,truth.uncertainty_marking,truth,A,0,0,238
S1,trigrams,AC15,truth.fact_vs_interpretation,truth,A,0,0,238
S1,trigrams,AC15,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,A,8,16,238
S1,trigrams,AC15,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,A,1,2,238
S1,trigrams,AC15,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,A,3,6,238
S1,trigrams,AC15,practical_considerations_and_execution.resources_timing_conditions,practical_considerations_and_execution,A,15,31,238
