scenario,level,system,group,layer,group_rows,group_sum_count,system_total_rows,system_total_sum_count,group_row_share,group_sum_share
S1,trigrams,CONTROL,truth,A,3,7,210,480,0.014285714285714285,0.014583333333333334
S1,trigrams,CONTROL,practical_considerations_and_execution,A,9,21,210,480,0.04285714285714286,0.04375
S1,trigrams,CONTROL,temporal_projection,A,16,40,210,480,0.0761904761904762,0.08333333333333333
S1,trigrams,CONTROL,imagination_and_possibility,A,0,0,210,480,0.0,0.0
S1,trigrams,CONTROL,surfacing,B,1,4,210,480,0.004761904761904762,0.008333333333333333
S1,trigrams,CONTROL,smoothing,B,0,0,210,480,0.0,0.0
S1,trigrams,CONTROL,hedging,B,9,29,210,480,0.04285714285714286,0.06041666666666667
S1,trigrams,CONTROL,warning,B,6,12,210,480,0.02857142857142857,0.025
S1,trigrams,CONTROL,conditions,B,2,5,210,480,0.009523809523809525,0.010416666666666666
S1,trigrams,CONTROL,autonomy_sovereignty,B,0,0,210,480,0.0,0.0
S1,trigrams,AC15,truth,A,6,13,238,517,0.025210084033613446,0.025145067698259187
S1,trigrams,AC15,practical_considerations_and_execution,A,13,26,238,517,0.0546218487394958,0.05029013539651837
S1,trigrams,AC15,temporal_projection,A,21,47,238,517,0.08823529411764706,0.09090909090909091
S1,trigrams,AC15,imagination_and_possibility,A,0,0,238,517,0.0,0.0
S1,trigrams,AC15,surfacing,B,7,18,238,517,0.029411764705882353,0.03481624758220503
S1,trigrams,AC15,smoothing,B,0,0,238,517,0.0,0.0
S1,trigrams,AC15,hedging,B,4,8,238,517,0.01680672268907563,0.015473887814313346
S1,trigrams,AC15,warning,B,2,4,238,517,0.008403361344537815,0.007736943907156673
S1,trigrams,AC15,conditions,B,1,2,238,517,0.004201680672268907,0.0038684719535783366
S1,trigrams,AC15,autonomy_sovereignty,B,0,0,238,517,0.0,0.0
S1,trigrams,AC15P,truth,A,6,12,267,594,0.02247191011235955,0.020202020202020204
S1,trigrams,AC15P,practical_considerations_and_execution,A,12,26,267,594,0.0449438202247191,0.04377104377104377
S1,trigrams,AC15P,temporal_projection,A,9,19,267,594,0.033707865168539325,0.03198653198653199
S1,trigrams,AC15P,imagination_and_possibility,A,1,2,267,594,0.003745318352059925,0.003367003367003367
S1,trigrams,AC15P,surfacing,B,4,8,267,594,0.0149812734082397,0.013468013468013467
S1,trigrams,AC15P,smoothing,B,0,0,267,594,0.0,0.0
S1,trigrams,AC15P,hedging,B,2,9,267,594,0.00749063670411985,0.015151515151515152
S1,trigrams,AC15P,warning,B,8,16,267,594,0.0299625468164794,0.026936026936026935
S1,trigrams,AC15P,conditions,B,1,2,267,594,0.003745318352059925,0.003367003367003367
S1,trigrams,AC15P,autonomy_sovereignty,B,0,0,267,594,0.0,0.0
S1,trigrams,HYBRID_3_5,truth,A,16,32,272,597,0.058823529411764705,0.05360134003350084
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,A,5,10,272,597,0.01838235294117647,0.01675041876046901
S1,trigrams,HYBRID_3_5,temporal_projection,A,14,35,272,597,0.051470588235294115,0.05862646566164154
S1,trigrams,HYBRID_3_5,imagination_and_possibility,A,1,2,272,597,0.003676470588235294,0.0033500837520938024
S1,trigrams,HYBRID_3_5,surfacing,B,8,19,272,597,0.029411764705882353,0.031825795644891124
S1,trigrams,HYBRID_3_5,smoothing,B,0,0,272,597,0.0,0.0
S1,trigrams,HYBRID_3_5,hedging,B,1,2,272,597,0.003676470588235294,0.0033500837520938024
S1,trigrams,HYBRID_3_5,warning,B,6,13,272,597,0.022058823529411766,0.021775544388609715
S1,trigrams,HYBRID_3_5,conditions,B,1,2,272,597,0.003676470588235294,0.0033500837520938024
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,B,3,6,272,597,0.011029411764705883,0.010050251256281407
S1,trigrams,HYBRID_SEMANTIC,truth,A,15,37,283,630,0.053003533568904596,0.05873015873015873
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,A,16,34,283,630,0.05653710247349823,0.05396825396825397
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,A,18,41,283,630,0.0636042402826855,0.06507936507936508
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,A,8,16,283,630,0.028268551236749116,0.025396825396825397
S1,trigrams,HYBRID_SEMANTIC,surfacing,B,4,12,283,630,0.014134275618374558,0.01904761904761905
S1,trigrams,HYBRID_SEMANTIC,smoothing,B,0,0,283,630,0.0,0.0
S1,trigrams,HYBRID_SEMANTIC,hedging,B,1,2,283,630,0.0035335689045936395,0.0031746031746031746
S1,trigrams,HYBRID_SEMANTIC,warning,B,5,10,283,630,0.0176678445229682,0.015873015873015872
S1,trigrams,HYBRID_SEMANTIC,conditions,B,0,0,283,630,0.0,0.0
S1,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,B,1,2,283,630,0.0035335689045936395,0.0031746031746031746
S3,trigrams,CONTROL,truth,A,2,4,179,396,0.0111731843575419,0.010101010101010102
S3,trigrams,CONTROL,practical_considerations_and_execution,A,17,38,179,396,0.09497206703910614,0.09595959595959595
S3,trigrams,CONTROL,temporal_projection,A,5,10,179,396,0.027932960893854747,0.025252525252525252
S3,trigrams,CONTROL,imagination_and_possibility,A,1,2,179,396,0.00558659217877095,0.005050505050505051
S3,trigrams,CONTROL,surfacing,B,7,16,179,396,0.03910614525139665,0.04040404040404041
S3,trigrams,CONTROL,smoothing,B,0,0,179,396,0.0,0.0
S3,trigrams,CONTROL,hedging,B,0,0,179,396,0.0,0.0
S3,trigrams,CONTROL,warning,B,6,12,179,396,0.0335195530726257,0.030303030303030304
S3,trigrams,CONTROL,conditions,B,4,8,179,396,0.0223463687150838,0.020202020202020204
S3,trigrams,CONTROL,autonomy_sovereignty,B,4,13,179,396,0.0223463687150838,0.03282828282828283
S3,trigrams,AC15,truth,A,6,12,283,600,0.02120141342756184,0.02
S3,trigrams,AC15,practical_considerations_and_execution,A,20,40,283,600,0.0706713780918728,0.06666666666666667
S3,trigrams,AC15,temporal_projection,A,10,20,283,600,0.0353356890459364,0.03333333333333333
S3,trigrams,AC15,imagination_and_possibility,A,2,4,283,600,0.007067137809187279,0.006666666666666667
S3,trigrams,AC15,surfacing,B,2,4,283,600,0.007067137809187279,0.006666666666666667
S3,trigrams,AC15,smoothing,B,0,0,283,600,0.0,0.0
S3,trigrams,AC15,hedging,B,3,6,283,600,0.01060070671378092,0.01
S3,trigrams,AC15,warning,B,0,0,283,600,0.0,0.0
S3,trigrams,AC15,conditions,B,1,2,283,600,0.0035335689045936395,0.0033333333333333335
S3,trigrams,AC15,autonomy_sovereignty,B,1,2,283,600,0.0035335689045936395,0.0033333333333333335
S3,trigrams,AC15P,truth,A,4,8,300,672,0.013333333333333334,0.011904761904761904
S3,trigrams,AC15P,practical_considerations_and_execution,A,31,66,300,672,0.10333333333333333,0.09821428571428571
S3,trigrams,AC15P,temporal_projection,A,15,35,300,672,0.05,0.052083333333333336
S3,trigrams,AC15P,imagination_and_possibility,A,8,16,300,672,0.02666666666666667,0.023809523809523808
S3,trigrams,AC15P,surfacing,B,6,12,300,672,0.02,0.017857142857142856
S3,trigrams,AC15P,smoothing,B,3,6,300,672,0.01,0.008928571428571428
S3,trigrams,AC15P,hedging,B,6,13,300,672,0.02,0.019345238095238096
S3,trigrams,AC15P,warning,B,4,10,300,672,0.013333333333333334,0.01488095238095238
