scenario,level,system,total_rows,layer_a_only_rows,layer_b_only_rows,both_layers_rows,unclassified_rows,classified_share
S1,trigrams,CONTROL,210,31,17,1,161,0.23333333333333334
S1,trigrams,AC15,238,44,10,4,180,0.24369747899159663
S1,trigrams,AC15P,267,49,10,5,203,0.2397003745318352
S1,trigrams,HYBRID_3_5,272,47,18,1,206,0.2426470588235294
S1,trigrams,HYBRID_SEMANTIC,283,63,8,3,209,0.26148409893992935
S3,trigrams,CONTROL,179,18,14,6,141,0.2122905027932961
S3,trigrams,AC15,283,40,7,0,236,0.16607773851590105
S3,trigrams,AC15P,300,57,17,4,222,0.26
S3,trigrams,HYBRID_3_5,221,39,17,3,162,0.2669683257918552
S3,trigrams,HYBRID_SEMANTIC,269,62,12,1,194,0.2788104089219331
S5,trigrams,CONTROL,163,29,12,4,118,0.27607361963190186
S5,trigrams,AC15,178,45,8,2,123,0.3089887640449438
S5,trigrams,AC15P,207,45,15,2,145,0.2995169082125604
S5,trigrams,HYBRID_3_5,164,27,7,2,128,0.21951219512195122
S5,trigrams,HYBRID_SEMANTIC,179,30,18,3,128,0.2849162011173184
S7,trigrams,CONTROL,144,14,12,1,117,0.1875
S7,trigrams,AC15,218,29,21,1,167,0.23394495412844038
S7,trigrams,AC15P,255,40,20,0,195,0.23529411764705882
S7,trigrams,HYBRID_3_5,159,20,22,0,117,0.2641509433962264
S7,trigrams,HYBRID_SEMANTIC,184,22,20,6,136,0.2608695652173913
S1,quadgrams,CONTROL,148,25,15,0,108,0.2702702702702703
S1,quadgrams,AC15,134,28,9,1,96,0.2835820895522388
S1,quadgrams,AC15P,186,36,7,5,138,0.25806451612903225
S1,quadgrams,HYBRID_3_5,181,36,14,2,129,0.287292817679558
S1,quadgrams,HYBRID_SEMANTIC,183,53,6,3,121,0.33879781420765026
S3,quadgrams,CONTROL,109,16,8,8,77,0.29357798165137616
S3,quadgrams,AC15,152,27,4,0,121,0.20394736842105263
S3,quadgrams,AC15P,171,28,12,3,128,0.25146198830409355
S3,quadgrams,HYBRID_3_5,133,26,14,1,92,0.3082706766917293
S3,quadgrams,HYBRID_SEMANTIC,159,33,9,2,115,0.27672955974842767
S5,quadgrams,CONTROL,77,13,6,2,56,0.2727272727272727
S5,quadgrams,AC15,93,32,8,1,52,0.44086021505376344
S5,quadgrams,AC15P,112,29,11,1,71,0.36607142857142855
S5,quadgrams,HYBRID_3_5,91,23,9,3,56,0.38461538461538464
S5,quadgrams,HYBRID_SEMANTIC,89,26,14,1,48,0.4606741573033708
S7,quadgrams,CONTROL,112,10,17,0,85,0.24107142857142858
S7,quadgrams,AC15,154,23,19,0,112,0.2727272727272727
S7,quadgrams,AC15P,178,25,22,0,131,0.2640449438202247
S7,quadgrams,HYBRID_3_5,119,9,18,1,91,0.23529411764705882
S7,quadgrams,HYBRID_SEMANTIC,137,17,15,6,99,0.2773722627737226
