scenario,level,system,parent_group,layer,rows,sum_count
S1,trigrams,CONTROL,truth,A,3,7
S1,trigrams,CONTROL,practical_considerations_and_execution,A,16,39
S1,trigrams,CONTROL,temporal_projection,A,16,40
S1,trigrams,CONTROL,imagination_and_possibility,A,0,0
S1,trigrams,CONTROL,surfacing,B,1,4
S1,trigrams,CONTROL,smoothing,B,0,0
S1,trigrams,CONTROL,hedging,B,9,29
S1,trigrams,CONTROL,warning,B,6,12
S1,trigrams,CONTROL,conditions,B,2,5
S1,trigrams,CONTROL,autonomy_sovereignty,B,0,0
S1,trigrams,AC15,truth,A,6,13
S1,trigrams,AC15,practical_considerations_and_execution,A,27,55
S1,trigrams,AC15,temporal_projection,A,21,47
S1,trigrams,AC15,imagination_and_possibility,A,0,0
S1,trigrams,AC15,surfacing,B,7,18
S1,trigrams,AC15,smoothing,B,0,0
S1,trigrams,AC15,hedging,B,4,8
S1,trigrams,AC15,warning,B,2,4
S1,trigrams,AC15,conditions,B,1,2
S1,trigrams,AC15,autonomy_sovereignty,B,0,0
S1,trigrams,AC15P,truth,A,6,12
S1,trigrams,AC15P,practical_considerations_and_execution,A,39,84
S1,trigrams,AC15P,temporal_projection,A,9,19
S1,trigrams,AC15P,imagination_and_possibility,A,1,2
S1,trigrams,AC15P,surfacing,B,4,8
S1,trigrams,AC15P,smoothing,B,0,0
S1,trigrams,AC15P,hedging,B,2,9
S1,trigrams,AC15P,warning,B,8,16
S1,trigrams,AC15P,conditions,B,1,2
S1,trigrams,AC15P,autonomy_sovereignty,B,0,0
S1,trigrams,HYBRID_3_5,truth,A,16,32
S1,trigrams,HYBRID_3_5,practical_considerations_and_execution,A,24,52
S1,trigrams,HYBRID_3_5,temporal_projection,A,14,35
S1,trigrams,HYBRID_3_5,imagination_and_possibility,A,1,2
S1,trigrams,HYBRID_3_5,surfacing,B,8,19
S1,trigrams,HYBRID_3_5,smoothing,B,0,0
S1,trigrams,HYBRID_3_5,hedging,B,1,2
S1,trigrams,HYBRID_3_5,warning,B,6,13
S1,trigrams,HYBRID_3_5,conditions,B,1,2
S1,trigrams,HYBRID_3_5,autonomy_sovereignty,B,3,6
S1,trigrams,HYBRID_SEMANTIC,truth,A,15,37
S1,trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,A,32,68
S1,trigrams,HYBRID_SEMANTIC,temporal_projection,A,18,41
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,A,8,16
S1,trigrams,HYBRID_SEMANTIC,surfacing,B,4,12
S1,trigrams,HYBRID_SEMANTIC,smoothing,B,0,0
S1,trigrams,HYBRID_SEMANTIC,hedging,B,1,2
S1,trigrams,HYBRID_SEMANTIC,warning,B,5,10
S1,trigrams,HYBRID_SEMANTIC,conditions,B,0,0
S1,trigrams,HYBRID_SEMANTIC,autonomy_sovereignty,B,1,2
S3,trigrams,CONTROL,truth,A,2,4
S3,trigrams,CONTROL,practical_considerations_and_execution,A,18,40
S3,trigrams,CONTROL,temporal_projection,A,5,10
S3,trigrams,CONTROL,imagination_and_possibility,A,1,2
S3,trigrams,CONTROL,surfacing,B,7,16
S3,trigrams,CONTROL,smoothing,B,0,0
S3,trigrams,CONTROL,hedging,B,0,0
S3,trigrams,CONTROL,warning,B,6,12
S3,trigrams,CONTROL,conditions,B,4,8
S3,trigrams,CONTROL,autonomy_sovereignty,B,4,13
S3,trigrams,AC15,truth,A,6,12
S3,trigrams,AC15,practical_considerations_and_execution,A,24,49
S3,trigrams,AC15,temporal_projection,A,10,20
S3,trigrams,AC15,imagination_and_possibility,A,2,4
S3,trigrams,AC15,surfacing,B,2,4
S3,trigrams,AC15,smoothing,B,0,0
S3,trigrams,AC15,hedging,B,3,6
S3,trigrams,AC15,warning,B,0,0
