scenario,level,system,sub_element,group,rows,sum_count
S1,trigrams,CONTROL,hedging,hedging,9,29
S1,trigrams,CONTROL,temporal_projection.time_horizons,temporal_projection,7,17
S1,trigrams,CONTROL,surfacing.confrontation,surfacing,1,4
S1,trigrams,CONTROL,temporal_projection.past_present_future,temporal_projection,2,6
S1,trigrams,CONTROL,temporal_projection.robustness_and_resilience,temporal_projection,3,7
S1,trigrams,CONTROL,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,6,15
S1,trigrams,CONTROL,truth.verification,truth,1,3
S1,trigrams,CONTROL,conditions,conditions,2,5
S1,trigrams,CONTROL,temporal_projection.change_and_rate,temporal_projection,4,10
S1,trigrams,CONTROL,warning,warning,6,12
S1,trigrams,CONTROL,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,3,6
S1,trigrams,CONTROL,truth.uncertainty_marking,truth,2,4
S1,trigrams,AC15,surfacing.confrontation,surfacing,5,14
S1,trigrams,AC15,temporal_projection.time_horizons,temporal_projection,8,19
S1,trigrams,AC15,temporal_projection.change_and_rate,temporal_projection,10,22
S1,trigrams,AC15,truth.verification,truth,6,13
S1,trigrams,AC15,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,4,8
S1,trigrams,AC15,warning,warning,2,4
S1,trigrams,AC15,temporal_projection.past_present_future,temporal_projection,1,2
S1,trigrams,AC15,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,5,10
S1,trigrams,AC15,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,3,6
S1,trigrams,AC15,surfacing.friction_exposed,surfacing,2,4
S1,trigrams,AC15,temporal_projection.robustness_and_resilience,temporal_projection,2,4
S1,trigrams,AC15,hedging,hedging,4,8
S1,trigrams,AC15,conditions,conditions,1,2
S1,trigrams,AC15,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,1,2
S1,trigrams,AC15P,hedging,hedging,2,9
S1,trigrams,AC15P,temporal_projection.time_horizons,temporal_projection,4,9
S1,trigrams,AC15P,practical_considerations_and_execution.constraints_and_tradeoffs,practical_considerations_and_execution,2,5
S1,trigrams,AC15P,practical_considerations_and_execution.action_and_execution,practical_considerations_and_execution,6,13
S1,trigrams,AC15P,warning,warning,8,16
S1,trigrams,AC15P,temporal_projection.change_and_rate,temporal_projection,3,6
S1,trigrams,AC15P,practical_considerations_and_execution.friction_and_blockers,practical_considerations_and_execution,2,4
S1,trigrams,AC15P,surfacing.friction_exposed,surfacing,2,4
S1,trigrams,AC15P,truth.uncertainty_marking,truth,1,2
S1,trigrams,AC15P,practical_considerations_and_execution.resources_contingency_conditions,practical_considerations_and_execution,2,4
S1,trigrams,AC15P,temporal_projection.decay_and_currency,temporal_projection,1,2
S1,trigrams,AC15P,truth.verification,truth,5,10
S1,trigrams,AC15P,imagination_and_possibility.exploration_within_bounds,imagination_and_possibility,1,2
