system,word,scenarios_present,scenarios,total_count_in_system,is_scenario_term
AC15,time,4,S1|S3|S5|S7,26,False
AC15,i,3,S1|S3|S7,24,False
AC15,no,3,S1|S3|S7,21,False
AC15,how,3,S1|S5|S7,14,False
AC15,high,3,S1|S3|S5,14,False
AC15,review,3,S1|S3|S5,11,False
AC15,vs,3,S1|S3|S5,11,False
AC15,must,3,S1|S3|S7,11,False
AC15,become,3,S1|S3|S7,8,False
AC15,single,4,S1|S3|S5|S7,8,True
AC15,work,3,S1|S3|S7,8,False
AC15,like,3,S1|S5|S7,8,False
AC15,default,3,S1|S3|S5,8,False
AC15P,no,4,S1|S3|S5|S7,41,False
AC15P,time,4,S1|S3|S5|S7,33,False
AC15P,vs,3,S1|S5|S7,26,False
AC15P,i,4,S1|S3|S5|S7,22,False
AC15P,after,3,S3|S5|S7,20,False
AC15P,within,3,S1|S3|S7,19,False
AC15P,path,3,S1|S3|S5,14,False
AC15P,two,3,S1|S3|S7,14,False
AC15P,emergency,3,S1|S3|S7,14,False
AC15P,model,3,S1|S5|S7,12,False
AC15P,mode,3,S1|S5|S7,11,False
AC15P,days,3,S1|S3|S5,11,False
AC15P,ll,3,S1|S3|S7,9,False
AC15P,because,3,S1|S3|S7,9,False
CONTROL,i,3,S3|S5|S7,13,False
CONTROL,no,3,S1|S3|S7,12,False
CONTROL,time,3,S1|S5|S7,9,False
CONTROL,just,3,S1|S3|S5,8,False
HYBRID_3_5,without,4,S1|S3|S5|S7,22,False
HYBRID_3_5,no,3,S3|S5|S7,19,False
HYBRID_3_5,review,3,S1|S5|S7,13,False
HYBRID_3_5,like,3,S1|S3|S7,13,False
HYBRID_3_5,scope,3,S1|S3|S5,11,False
HYBRID_3_5,i,3,S1|S3|S7,11,False
HYBRID_3_5,least,4,S1|S3|S5|S7,11,False
HYBRID_3_5,make,3,S1|S3|S5,10,False
HYBRID_3_5,time,3,S1|S5|S7,9,False
HYBRID_3_5,access,3,S1|S3|S5,8,False
HYBRID_3_5,explicit,3,S3|S5|S7,8,False
HYBRID_SEMANTIC,no,4,S1|S3|S5|S7,29,False
HYBRID_SEMANTIC,now,3,S1|S3|S7,20,False
HYBRID_SEMANTIC,default,4,S1|S3|S5|S7,17,False
HYBRID_SEMANTIC,under,4,S1|S3|S5|S7,15,False
HYBRID_SEMANTIC,time,3,S1|S3|S5,13,False
HYBRID_SEMANTIC,without,3,S1|S3|S7,12,False
HYBRID_SEMANTIC,must,3,S1|S3|S5,12,False
HYBRID_SEMANTIC,end,3,S3|S5|S7,12,False
HYBRID_SEMANTIC,how,3,S1|S5|S7,11,False
HYBRID_SEMANTIC,date,3,S1|S5|S7,11,False
HYBRID_SEMANTIC,one,4,S1|S3|S5|S7,9,False
