system,word,scenarios_present,scenarios,total_count_in_system,is_scenario_term,band,technical_artifact
AC15,time,4,S1|S3|S5|S7,26,False,borderline,False
AC15,no,3,S1|S3|S7,21,False,borderline,False
AC15,high,3,S1|S3|S5,14,False,borderline,False
AC15,review,3,S1|S3|S5,11,False,borderline,False
AC15,become,3,S1|S3|S7,8,False,borderline,False
AC15,single,4,S1|S3|S5|S7,8,True,borderline,False
AC15,work,3,S1|S3|S7,8,False,borderline,False
AC15P,no,4,S1|S3|S5|S7,41,False,borderline,False
AC15P,time,4,S1|S3|S5|S7,33,False,borderline,False
AC15P,path,3,S1|S3|S5,14,False,borderline,False
AC15P,two,3,S1|S3|S7,14,False,borderline,False
AC15P,emergency,3,S1|S3|S7,14,False,borderline,False
AC15P,model,3,S1|S5|S7,12,False,borderline,False
AC15P,mode,3,S1|S5|S7,11,False,borderline,False
AC15P,days,3,S1|S3|S5,11,False,borderline,False
CONTROL,no,3,S1|S3|S7,12,False,borderline,False
CONTROL,time,3,S1|S5|S7,9,False,borderline,False
HYBRID_3_5,no,3,S3|S5|S7,19,False,borderline,False
HYBRID_3_5,review,3,S1|S5|S7,13,False,borderline,False
HYBRID_3_5,least,4,S1|S3|S5|S7,11,False,borderline,False
HYBRID_3_5,time,3,S1|S5|S7,9,False,borderline,False
HYBRID_3_5,access,3,S1|S3|S5,8,False,borderline,False
HYBRID_SEMANTIC,no,4,S1|S3|S5|S7,29,False,borderline,False
HYBRID_SEMANTIC,time,3,S1|S3|S5,13,False,borderline,False
HYBRID_SEMANTIC,end,3,S3|S5|S7,12,False,borderline,False
HYBRID_SEMANTIC,date,3,S1|S5|S7,11,False,borderline,False
HYBRID_SEMANTIC,one,4,S1|S3|S5|S7,9,False,borderline,False
