word,total_count,leader_system,leader_count,leader_share,others_avg_share,ratio,CONTROL,AC15,AC15P,HYBRID_3_5,HYBRID_SEMANTIC
demo,5,CONTROL,5,0.002178649237472767,0.0,inf,5,0,0,0,0
avoidance,6,AC15P,6,0.00179265013444876,0.0,inf,0,0,6,0,0
concrete,5,AC15,5,0.0017301038062283738,0.0,inf,0,5,0,0,0
equivalents,5,AC15,5,0.0017301038062283738,0.0,inf,0,5,0,0,0
containment,5,AC15,5,0.0017301038062283738,0.0,inf,0,5,0,0,0
p_event_total,6,AC15P,6,0.00179265013444876,0.0,inf,0,0,6,0,0
mutually,7,AC15P,7,0.002091425156856887,0.0,inf,0,0,7,0,0
sha,7,HYBRID_SEMANTIC,7,0.0025334781035106766,0.0,inf,0,0,0,0,7
couple,5,CONTROL,5,0.002178649237472767,0.0,inf,5,0,0,0,0
certified,6,AC15,6,0.0020761245674740486,0.0,inf,0,6,0,0,0
remain,8,AC15P,8,0.0023902001792650133,0.0,inf,0,0,8,0,0
separately,5,AC15,5,0.0017301038062283738,0.0,inf,0,5,0,0,0
unbounded,6,AC15P,6,0.00179265013444876,0.0,inf,0,0,6,0,0
proximity,5,HYBRID_3_5,5,0.001924557351809084,0.0,inf,0,0,0,5,0
arr,5,CONTROL,5,0.002178649237472767,0.0,inf,5,0,0,0,0
caregiver,5,HYBRID_SEMANTIC,5,0.0018096272167933405,0.0,inf,0,0,0,0,5
postmortems,14,AC15P,14,0.004182850313713774,0.0,inf,0,0,14,0,0
integrity,12,HYBRID_SEMANTIC,12,0.004343105320304018,0.0,inf,0,0,0,0,12
p_hi,7,AC15P,7,0.002091425156856887,0.0,inf,0,0,7,0,0
already,6,HYBRID_3_5,6,0.0023094688221709007,0.0,inf,0,0,0,6,0
de,5,AC15P,5,0.0014938751120406335,0.0,inf,0,0,5,0,0
version,7,HYBRID_3_5,7,0.0026943802925327174,0.0,inf,0,0,0,7,0
readiness,5,AC15P,5,0.0014938751120406335,0.0,inf,0,0,5,0,0
substitutes,5,AC15P,5,0.0014938751120406335,0.0,inf,0,0,5,0,0
main,8,CONTROL,8,0.003485838779956427,0.0,inf,8,0,0,0,0
issues,16,AC15P,16,0.004780400358530027,0.0,inf,0,0,16,0,0
aborts,6,HYBRID_SEMANTIC,6,0.002171552660152009,0.0,inf,0,0,0,0,6
remedies,5,HYBRID_SEMANTIC,5,0.0018096272167933405,0.0,inf,0,0,0,0,5
tags,11,CONTROL,11,0.004793028322440087,0.0,inf,11,0,0,0,0
approve,9,AC15P,9,0.00268897520167314,0.0,inf,0,0,9,0,0
advice,6,AC15,6,0.0020761245674740486,0.0,inf,0,6,0,0,0
converted,5,HYBRID_SEMANTIC,5,0.0018096272167933405,0.0,inf,0,0,0,0,5
attend,7,HYBRID_3_5,7,0.0026943802925327174,0.0,inf,0,0,0,7,0
waived,5,HYBRID_SEMANTIC,5,0.0018096272167933405,0.0,inf,0,0,0,0,5
unconditional,11,CONTROL,11,0.004793028322440087,0.0,inf,11,0,0,0,0
operational,5,CONTROL,5,0.002178649237472767,0.0,inf,5,0,0,0,0
records,7,AC15,7,0.002422145328719723,0.0,inf,0,7,0,0,0
commissioning,10,AC15,10,0.0034602076124567475,0.0,inf,0,10,0,0,0
eligibility,7,CONTROL,7,0.0030501089324618735,0.0,inf,7,0,0,0,0
missions,6,HYBRID_SEMANTIC,6,0.002171552660152009,0.0,inf,0,0,0,0,6
overrides,9,HYBRID_SEMANTIC,9,0.003257328990228013,0.0,inf,0,0,0,0,9
cure,5,CONTROL,5,0.002178649237472767,0.0,inf,5,0,0,0,0
independently,7,CONTROL,7,0.0030501089324618735,0.0,inf,7,0,0,0,0
ticket,6,HYBRID_SEMANTIC,6,0.002171552660152009,0.0,inf,0,0,0,0,6
forks,7,AC15P,7,0.002091425156856887,0.0,inf,0,0,7,0,0
asking,7,AC15P,7,0.002091425156856887,0.0,inf,0,0,7,0,0
delivering,5,HYBRID_3_5,5,0.001924557351809084,0.0,inf,0,0,0,5,0
loans,10,AC15P,10,0.002987750224081267,0.0,inf,0,0,10,0,0
procure,7,CONTROL,7,0.0030501089324618735,0.0,inf,7,0,0,0,0
resume,7,CONTROL,7,0.0030501089324618735,0.0,inf,7,0,0,0,0
spine,10,HYBRID_3_5,10,0.003849114703618168,0.0,inf,0,0,0,10,0
significant,7,AC15P,7,0.002091425156856887,0.0,inf,0,0,7,0,0
cheating,6,AC15,6,0.0020761245674740486,0.0,inf,0,6,0,0,0
old,5,AC15P,5,0.0014938751120406335,0.0,inf,0,0,5,0,0
separation,5,CONTROL,5,0.002178649237472767,0.0,inf,5,0,0,0,0
find,5,HYBRID_3_5,5,0.001924557351809084,0.0,inf,0,0,0,5,0
accepted,6,AC15P,6,0.00179265013444876,0.0,inf,0,0,6,0,0
ones,5,HYBRID_SEMANTIC,5,0.0018096272167933405,0.0,inf,0,0,0,0,5
definition,16,AC15,16,0.005536332179930796,0.0,inf,0,16,0,0,0
few,6,AC15,6,0.0020761245674740486,0.0,inf,0,6,0,0,0
scenarios,9,HYBRID_SEMANTIC,9,0.003257328990228013,0.0,inf,0,0,0,0,9
panel,5,HYBRID_3_5,5,0.001924557351809084,0.0,inf,0,0,0,5,0
stalling,6,HYBRID_3_5,6,0.0023094688221709007,0.0,inf,0,0,0,6,0
stabilization,6,AC15,6,0.0020761245674740486,0.0,inf,0,6,0,0,0
interoperability,5,CONTROL,5,0.002178649237472767,0.0,inf,5,0,0,0,0
boxes,5,AC15P,5,0.0014938751120406335,0.0,inf,0,0,5,0,0
reputational,5,AC15,5,0.0017301038062283738,0.0,inf,0,5,0,0,0
hopes,7,HYBRID_SEMANTIC,7,0.0025334781035106766,0.0,inf,0,0,0,0,7
across,10,CONTROL,10,0.004357298474945534,0.0,inf,10,0,0,0,0
certainly,5,HYBRID_SEMANTIC,5,0.0018096272167933405,0.0,inf,0,0,0,0,5
judgment,5,AC15,5,0.0017301038062283738,0.0,inf,0,5,0,0,0
legal,6,AC15,6,0.0020761245674740486,0.0,inf,0,6,0,0,0
notebook,16,CONTROL,16,0.006971677559912854,0.0,inf,16,0,0,0,0
handled,6,AC15,6,0.0020761245674740486,0.0,inf,0,6,0,0,0
yours,5,AC15P,5,0.0014938751120406335,0.0,inf,0,0,5,0,0
smaller,5,CONTROL,5,0.002178649237472767,0.0,inf,5,0,0,0,0
decided,5,HYBRID_3_5,5,0.001924557351809084,0.0,inf,0,0,0,5,0
licensed,6,HYBRID_3_5,6,0.0023094688221709007,0.0,inf,0,0,0,6,0
defaults,7,CONTROL,7,0.0030501089324618735,0.0,inf,7,0,0,0,0
agreed,6,AC15P,6,0.00179265013444876,0.0,inf,0,0,6,0,0
investor,6,AC15P,6,0.00179265013444876,0.0,inf,0,0,6,0,0
gym,10,AC15P,10,0.002987750224081267,0.0,inf,0,0,10,0,0
reviewed,6,HYBRID_3_5,6,0.0023094688221709007,0.0,inf,0,0,0,6,0
checkpoints,5,AC15P,5,0.0014938751120406335,0.0,inf,0,0,5,0,0
la,16,AC15P,16,0.004780400358530027,0.0,inf,0,0,16,0,0
distribution,6,AC15,6,0.0020761245674740486,0.0,inf,0,6,0,0,0
sample,11,HYBRID_3_5,11,0.004234026173979984,0.0,inf,0,0,0,11,0
options,7,CONTROL,7,0.0030501089324618735,0.0,inf,7,0,0,0,0
tickets,5,HYBRID_SEMANTIC,5,0.0018096272167933405,0.0,inf,0,0,0,0,5
scenario,6,CONTROL,6,0.00261437908496732,0.0,inf,6,0,0,0,0
degradation,6,AC15,6,0.0020761245674740486,0.0,inf,0,6,0,0,0
include,7,HYBRID_3_5,7,0.0026943802925327174,0.0,inf,0,0,0,7,0
last_validated_at,6,AC15P,6,0.00179265013444876,0.0,inf,0,0,6,0,0
citizenship,7,AC15,7,0.002422145328719723,0.0,inf,0,7,0,0,0
egress,6,HYBRID_SEMANTIC,6,0.002171552660152009,0.0,inf,0,0,0,0,6
volume,5,CONTROL,5,0.002178649237472767,0.0,inf,5,0,0,0,0
provided,7,HYBRID_3_5,7,0.0026943802925327174,0.0,inf,0,0,0,7,0
goes,6,HYBRID_3_5,6,0.0023094688221709007,0.0,inf,0,0,0,6,0
private,7,AC15P,7,0.002091425156856887,0.0,inf,0,0,7,0,0
occur,5,HYBRID_SEMANTIC,5,0.0018096272167933405,0.0,inf,0,0,0,0,5
network,7,AC15,7,0.002422145328719723,0.0,inf,0,7,0,0,0
evp,12,HYBRID_3_5,12,0.004618937644341801,0.0,inf,0,0,0,12,0
throughput,6,AC15,6,0.0020761245674740486,0.0,inf,0,6,0,0,0
delta,6,CONTROL,6,0.00261437908496732,0.0,inf,6,0,0,0,0
drops,6,CONTROL,6,0.00261437908496732,0.0,inf,6,0,0,0,0
detector,5,AC15P,5,0.0014938751120406335,0.0,inf,0,0,5,0,0
ordinary,15,AC15,14,0.004844290657439446,9.622786759045419e-05,50.34186851211073,0,14,0,1,0
authoritative,13,AC15,12,0.004152249134948097,9.622786759045419e-05,43.15017301038063,0,12,0,1,0
prs,13,AC15P,12,0.00358530026889752,8.650519031141868e-05,41.446071108455335,0,1,12,0,0
avoids,10,CONTROL,9,0.00392156862745098,9.622786759045419e-05,40.75294117647059,9,0,0,1,0
pin,10,HYBRID_3_5,9,0.003464203233256351,8.650519031141868e-05,40.04618937644342,0,1,0,9,0
open,10,HYBRID_3_5,9,0.003464203233256351,9.048136083966703e-05,38.286374133949195,0,0,0,9,1
runtime,10,HYBRID_SEMANTIC,9,0.003257328990228013,8.650519031141868e-05,37.65472312703584,0,1,0,0,9
drills,8,HYBRID_3_5,7,0.0026943802925327174,7.469375560203167e-05,36.07236335642802,0,0,1,7,0
ruin,11,AC15,10,0.0034602076124567475,9.622786759045419e-05,35.958477508650525,0,10,0,1,0
procedures,9,HYBRID_3_5,8,0.003079291762894534,8.650519031141868e-05,35.59661277906081,0,1,0,8,0
aware,10,AC15,9,0.0031141868512110727,9.048136083966703e-05,34.417993079584775,0,9,0,0,1
artifact,12,AC15P,11,0.0032865252464893933,0.00010893246187363834,30.17030176277263,1,0,11,0,0
relationship,8,HYBRID_3_5,7,0.0026943802925327174,9.048136083966703e-05,29.778290993071593,0,0,0,7,1
supported,14,AC15,12,0.004152249134948097,0.00014938751120406333,27.795155709342563,0,12,2,0,0
volatility,7,CONTROL,6,0.00261437908496732,9.622786759045419e-05,27.16862745098039,6,0,0,1,0
bad,8,AC15,7,0.002422145328719723,9.048136083966703e-05,26.76955017301038,0,7,0,0,1
capabilities,6,HYBRID_3_5,5,0.001924557351809084,7.469375560203167e-05,25.765973826020016,0,0,1,5,0
lived,6,CONTROL,5,0.002178649237472767,8.650519031141868e-05,25.185185185185187,5,1,0,0,0
enforceable,6,CONTROL,5,0.002178649237472767,8.650519031141868e-05,25.185185185185187,5,1,0,0,0
triggered,8,AC15,7,0.002422145328719723,9.622786759045419e-05,25.170934256055364,0,7,0,1,0
fear,7,HYBRID_SEMANTIC,6,0.002171552660152009,8.650519031141868e-05,25.10314875135722,0,1,0,0,6
name,9,AC15P,8,0.0023902001792650133,9.622786759045419e-05,24.83896026292202,0,0,8,1,0
api,8,HYBRID_3_5,7,0.0026943802925327174,0.00010893246187363834,24.734411085450347,1,0,0,7,0
meeting,8,HYBRID_3_5,7,0.0026943802925327174,0.00010893246187363834,24.734411085450347,1,0,0,7,0
consistent,6,HYBRID_SEMANTIC,5,0.0018096272167933405,7.469375560203167e-05,24.227289178429245,0,0,1,0,5
loan,8,AC15P,7,0.002091425156856887,8.650519031141868e-05,24.176874813265613,0,1,7,0,0
friends,8,AC15P,7,0.002091425156856887,8.650519031141868e-05,24.176874813265613,0,1,7,0,0
much,6,AC15,5,0.0017301038062283738,7.469375560203167e-05,23.16262975778547,0,5,1,0,0
documentation,6,CONTROL,5,0.002178649237472767,9.622786759045419e-05,22.640522875817,5,0,0,1,0
debugging,6,CONTROL,5,0.002178649237472767,9.622786759045419e-05,22.640522875817,5,0,0,1,0
request,7,HYBRID_SEMANTIC,6,0.002171552660152009,9.622786759045419e-05,22.566775244299677,0,0,0,1,6
edge,7,HYBRID_SEMANTIC,6,0.002171552660152009,9.622786759045419e-05,22.566775244299677,0,0,0,1,6
standards,14,HYBRID_SEMANTIC,12,0.004343105320304018,0.00019245573518090838,22.566775244299677,0,0,0,2,12
runbooks,15,AC15P,13,0.003884075291305647,0.00017301038062283736,22.449955183746642,0,2,13,0,0
afraid,6,HYBRID_3_5,5,0.001924557351809084,8.650519031141868e-05,22.247882986913012,0,1,0,5,0
fly,8,AC15P,7,0.002091425156856887,9.622786759045419e-05,21.73409023005677,0,0,7,1,0
ttl,7,AC15,6,0.0020761245674740486,9.622786759045419e-05,21.575086505190313,0,6,0,1,0
wants,6,HYBRID_SEMANTIC,5,0.0018096272167933405,8.650519031141868e-05,20.919290626131016,0,1,0,0,5
fixed,12,HYBRID_SEMANTIC,10,0.003619254433586681,0.00017301038062283736,20.919290626131016,0,2,0,0,10
couples,6,HYBRID_SEMANTIC,5,0.0018096272167933405,8.650519031141868e-05,20.919290626131016,0,1,0,0,5
leave,14,AC15P,12,0.00358530026889752,0.00017301038062283736,20.723035554227668,0,2,12,0,0
cash,9,CONTROL,7,0.0030501089324618735,0.00014938751120406333,20.417429193899782,7,0,2,0,0
odd,14,CONTROL,11,0.004793028322440087,0.00023986887204373037,19.981868766891406,11,0,2,0,1
monitoring,6,HYBRID_SEMANTIC,5,0.0018096272167933405,9.622786759045419e-05,18.805646036916396,0,0,0,1,5
glossary,6,HYBRID_SEMANTIC,5,0.0018096272167933405,9.622786759045419e-05,18.805646036916396,0,0,0,1,5
fund,24,AC15,20,0.006920415224913495,0.00038037654439263945,18.193590869183495,1,20,0,0,3
impact,6,AC15,5,0.0017301038062283738,9.622786759045419e-05,17.979238754325262,0,5,0,1,0
procurement,6,AC15,5,0.0017301038062283738,9.622786759045419e-05,17.979238754325262,0,5,0,1,0
enterprise,6,HYBRID_3_5,5,0.001924557351809084,0.00010893246187363834,17.66743648960739,1,0,0,5,0
revision,6,HYBRID_3_5,5,0.001924557351809084,0.00010893246187363834,17.66743648960739,1,0,0,5,0
siblings,12,AC15P,10,0.002987750224081267,0.00017301038062283736,17.269196295189722,0,2,10,0,0
detours,9,HYBRID_SEMANTIC,7,0.0025334781035106766,0.00014938751120406333,16.959102424900472,0,0,2,0,7
summary,9,CONTROL,7,0.0030501089324618735,0.00018096272167933406,16.854901960784314,7,0,0,0,2
guaranteed,10,HYBRID_SEMANTIC,8,0.002895403546869345,0.00017301038062283736,16.735432500904814,0,2,0,0,8
backed,6,HYBRID_SEMANTIC,5,0.0018096272167933405,0.00010893246187363834,16.612377850162865,1,0,0,0,5
equivalent,9,HYBRID_3_5,7,0.0026943802925327174,0.00017301038062283736,15.573518090839107,0,2,0,7,0
local,11,AC15P,9,0.00268897520167314,0.00017698655115108572,15.193104697416691,0,1,9,0,1
system,7,CONTROL,5,0.002178649237472767,0.00016119894591345036,13.515282157257467,5,1,1,0,0
given,10,HYBRID_SEMANTIC,8,0.002895403546869345,0.00021786492374727668,13.289902280130294,2,0,0,0,8
selected,10,AC15P,8,0.0023902001792650133,0.00018096272167933406,13.208246190618464,0,0,8,0,2
raw,16,AC15P,13,0.003884075291305647,0.00030437011405869536,12.761027157077038,2,1,13,0,0
objective,8,HYBRID_3_5,6,0.0023094688221709007,0.00018362621747567,12.577010265306473,1,0,1,6,0
state,13,CONTROL,9,0.00392156862745098,0.000314562627645762,12.466734070733828,9,0,3,0,1
redundancy,14,AC15,11,0.0038062283737024223,0.0003083462845869437,12.344005956813106,2,11,0,0,1
period,20,AC15,15,0.005190311418685121,0.0004234950895194004,12.255895161795854,1,15,3,0,1
convert,7,HYBRID_SEMANTIC,5,0.0018096272167933405,0.00014938751120406333,12.113644589214623,0,0,2,0,5
o,11,CONTROL,8,0.003485838779956427,0.0002886836027713626,12.074945533769062,8,0,0,3,0
traces,8,HYBRID_SEMANTIC,6,0.002171552660152009,0.00018362621747567,11.825940162600876,1,0,1,0,6
swap,10,CONTROL,7,0.0030501089324618735,0.0002595155709342561,11.753086419753085,7,3,0,0,0
measured,7,AC15,5,0.0017301038062283738,0.00014938751120406333,11.581314878892735,0,5,2,0,0
assets,10,CONTROL,7,0.0030501089324618735,0.00026746791199075274,11.403644309181006,7,1,0,0,2
now,28,HYBRID_SEMANTIC,20,0.007238508867173362,0.0006436001857972471,11.246903010456409,1,1,6,0,20
degraded,15,HYBRID_SEMANTIC,11,0.003981179876945349,0.00035574343852471025,11.191154764387349,0,3,0,1,11
forced,7,HYBRID_3_5,5,0.001924557351809084,0.00017301038062283736,11.123941493456506,0,2,0,5,0
escalators,7,HYBRID_3_5,5,0.001924557351809084,0.00017301038062283736,11.123941493456506,0,2,0,5,0
activities,9,AC15P,7,0.002091425156856887,0.00019245573518090838,10.867045115028384,0,0,7,2,0
counts,8,AC15,6,0.0020761245674740486,0.00019245573518090838,10.787543252595157,0,6,0,2,0
emi,38,AC15P,29,0.008664475649835674,0.0008077147446398747,10.72714805237187,0,6,29,3,0
demand,8,HYBRID_SEMANTIC,6,0.002171552660152009,0.00020516032946409253,10.58466159527238,1,0,0,1,6
