system,rank,word,count
CONTROL,1,lock,19
CONTROL,2,memory,19
CONTROL,3,cloud,18
CONTROL,4,modular,18
CONTROL,5,data,16
CONTROL,6,safe,16
CONTROL,7,notebook,16
CONTROL,8,standard,15
CONTROL,9,life,15
CONTROL,10,civitas,14
CONTROL,11,exit,14
CONTROL,12,qualified,14
CONTROL,13,incident,13
CONTROL,14,controllers,13
CONTROL,15,scope,13
CONTROL,16,until,13
CONTROL,17,i,13
CONTROL,18,repo,13
CONTROL,19,no,12
CONTROL,20,spares,12
CONTROL,21,branch,12
CONTROL,22,integrated,11
CONTROL,23,service,11
CONTROL,24,unconditional,11
CONTROL,25,odd,11
CONTROL,26,exclusions,11
CONTROL,27,adr,11
CONTROL,28,tags,11
CONTROL,29,home,11
CONTROL,30,caps,10
CONTROL,31,dot,10
CONTROL,32,novagrid,10
CONTROL,33,infrastructure,10
CONTROL,34,architecture,10
CONTROL,35,across,10
CONTROL,36,reliability,10
CONTROL,37,d,10
CONTROL,38,marriage,10
CONTROL,39,time,9
CONTROL,40,most,9
CONTROL,41,m,9
CONTROL,42,option,9
CONTROL,43,avoids,9
CONTROL,44,state,9
CONTROL,45,support,9
CONTROL,46,interference,9
CONTROL,47,module,9
CONTROL,48,normal,9
CONTROL,49,healthcare,9
CONTROL,50,o,8
AC15,1,time,26
AC15,2,memory,26
AC15,3,i,24
AC15,4,exclusions,22
AC15,5,no,21
AC15,6,family,21
AC15,7,approved,20
AC15,8,rev,20
AC15,9,envelope,20
AC15,10,fund,20
AC15,11,she,19
AC15,12,service,17
AC15,13,marriage,17
AC15,14,incident,16
AC15,15,b,16
AC15,16,safety,16
AC15,17,definition,16
AC15,18,user,16
AC15,19,period,15
AC15,20,operating,15
AC15,21,how,14
AC15,22,high,14
AC15,23,keep,14
AC15,24,project,14
AC15,25,ordinary,14
AC15,26,life,14
AC15,27,critical,13
AC15,28,week,13
AC15,29,interference,13
AC15,30,exit,13
AC15,31,her,13
AC15,32,day,12
AC15,33,supported,12
AC15,34,downtime,12
AC15,35,landing,12
AC15,36,sla,12
AC15,37,authoritative,12
AC15,38,money,12
AC15,39,review,11
AC15,40,vs,11
AC15,41,controllers,11
AC15,42,must,11
AC15,43,redundancy,11
AC15,44,control,11
AC15,45,any,11
AC15,46,uptime,11
AC15,47,eap,11
AC15,48,buy,11
AC15,49,lead,10
AC15,50,dot,10
AC15P,1,no,41
AC15P,2,time,33
AC15P,3,emi,29
AC15P,4,b,28
AC15P,5,vs,26
AC15P,6,rev,24
AC15P,7,modular,22
AC15P,8,safe,22
AC15P,9,i,22
AC15P,10,penalties,22
AC15P,11,brief,21
AC15P,12,money,21
AC15P,13,support,20
AC15P,14,after,20
AC15P,15,her,20
AC15P,16,within,19
AC15P,17,civitas,17
AC15P,18,branch,17
AC15P,19,day,16
AC15P,20,la,16
AC15P,21,issues,16
AC15P,22,repo,16
AC15P,23,novagrid,15
AC15P,24,criteria,15
AC15P,25,hover,15
AC15P,26,controller,14
AC15P,27,path,14
AC15P,28,two,14
AC15P,29,cloud,14
AC15P,30,emergency,14
AC15P,31,adrs,14
AC15P,32,postmortems,14
AC15P,33,project,14
AC15P,34,memory,14
AC15P,35,delivery,13
AC15P,36,incident,13
AC15P,37,capped,13
AC15P,38,high,13
AC15P,39,mining,13
AC15P,40,eap,13
AC15P,41,architect,13
AC15P,42,runbooks,13
AC15P,43,adr,13
AC15P,44,raw,13
AC15P,45,home,13
AC15P,46,pre,12
AC15P,47,week,12
AC15P,48,lock,12
AC15P,49,model,12
AC15P,50,over,12
HYBRID_3_5,1,incident,32
HYBRID_3_5,2,cloud,29
HYBRID_3_5,3,modular,24
HYBRID_3_5,4,without,22
HYBRID_3_5,5,no,19
HYBRID_3_5,6,waiver,16
HYBRID_3_5,7,my,16
HYBRID_3_5,8,dot,15
HYBRID_3_5,9,novagrid,15
HYBRID_3_5,10,sign,15
HYBRID_3_5,11,export,14
HYBRID_3_5,12,lock,14
HYBRID_3_5,13,reliability,14
HYBRID_3_5,14,children,14
HYBRID_3_5,15,review,13
HYBRID_3_5,16,like,13
HYBRID_3_5,17,envelope,13
HYBRID_3_5,18,evp,12
HYBRID_3_5,19,maintenance,12
HYBRID_3_5,20,fees,12
HYBRID_3_5,21,failover,12
HYBRID_3_5,22,her,12
HYBRID_3_5,23,want,12
HYBRID_3_5,24,move,12
HYBRID_3_5,25,support,11
HYBRID_3_5,26,modes,11
HYBRID_3_5,27,sample,11
HYBRID_3_5,28,scope,11
HYBRID_3_5,29,i,11
HYBRID_3_5,30,least,11
HYBRID_3_5,31,penalties,11
HYBRID_3_5,32,off,11
HYBRID_3_5,33,go,11
HYBRID_3_5,34,current,11
HYBRID_3_5,35,repo,11
HYBRID_3_5,36,because,11
HYBRID_3_5,37,recurring,10
HYBRID_3_5,38,year,10
HYBRID_3_5,39,make,10
HYBRID_3_5,40,during,10
HYBRID_3_5,41,spine,10
HYBRID_3_5,42,continuity,10
HYBRID_3_5,43,separate,10
HYBRID_3_5,44,trial,10
HYBRID_3_5,45,open,9
HYBRID_3_5,46,most,9
HYBRID_3_5,47,response,9
HYBRID_3_5,48,should,9
HYBRID_3_5,49,time,9
HYBRID_3_5,50,service,9
HYBRID_SEMANTIC,1,no,29
HYBRID_SEMANTIC,2,acceptance,25
HYBRID_SEMANTIC,3,i,21
HYBRID_SEMANTIC,4,now,20
HYBRID_SEMANTIC,5,cloud,20
HYBRID_SEMANTIC,6,she,19
HYBRID_SEMANTIC,7,year,18
HYBRID_SEMANTIC,8,memory,18
HYBRID_SEMANTIC,9,lock,17
HYBRID_SEMANTIC,10,default,17
HYBRID_SEMANTIC,11,under,15
HYBRID_SEMANTIC,12,safe,15
HYBRID_SEMANTIC,13,brief,15
HYBRID_SEMANTIC,14,capped,14
HYBRID_SEMANTIC,15,session,14
HYBRID_SEMANTIC,16,mode,13
HYBRID_SEMANTIC,17,novagrid,13
HYBRID_SEMANTIC,18,required,13
HYBRID_SEMANTIC,19,time,13
HYBRID_SEMANTIC,20,without,12
HYBRID_SEMANTIC,21,standards,12
HYBRID_SEMANTIC,22,must,12
HYBRID_SEMANTIC,23,integrity,12
HYBRID_SEMANTIC,24,safety,12
HYBRID_SEMANTIC,25,off,12
HYBRID_SEMANTIC,26,end,12
HYBRID_SEMANTIC,27,degraded,11
HYBRID_SEMANTIC,28,day,11
HYBRID_SEMANTIC,29,tests,11
HYBRID_SEMANTIC,30,how,11
HYBRID_SEMANTIC,31,fees,11
HYBRID_SEMANTIC,32,date,11
HYBRID_SEMANTIC,33,failover,11
HYBRID_SEMANTIC,34,critical,11
HYBRID_SEMANTIC,35,sign,11
