word,CONTROL,AC15,AC15P,HYBRID_3_5,HYBRID_SEMANTIC,total
no,12,21,41,19,29,122
i,13,24,22,11,21,91
cloud,18,9,14,29,20,90
time,9,26,33,9,13,90
memory,19,26,14,7,18,84
incident,13,16,13,32,9,83
modular,18,3,22,24,9,76
lock,19,2,12,14,17,64
b,5,16,28,9,5,63
safe,16,4,22,4,15,61
vs,7,11,26,6,7,57
novagrid,10,3,15,15,13,56
her,4,13,20,12,6,55
she,8,19,5,4,19,55
penalties,7,8,22,11,6,54
envelope,7,20,7,13,7,54
acceptance,5,6,10,7,25,53
exclusions,11,22,6,7,6,52
civitas,14,5,17,8,7,51
family,6,21,9,8,5,49
how,6,14,11,7,11,49
brief,0,7,21,5,15,48
money,2,12,21,6,6,47
support,9,2,20,11,4,46
safety,5,16,7,6,12,46
without,1,6,5,22,12,46
marriage,10,17,8,7,4,46
project,8,14,14,5,4,45
rev,1,20,24,0,0,45
repo,13,2,16,11,3,45
controller,5,8,14,8,10,45
controllers,13,11,11,7,3,45
keep,7,14,7,9,7,44
home,11,7,13,4,9,44
dot,10,10,5,15,3,43
reliability,10,1,11,14,6,42
service,11,17,0,9,5,42
year,4,4,6,10,18,42
after,1,8,20,9,2,40
week,2,13,12,7,6,40
branch,12,0,17,4,7,40
critical,2,13,10,4,11,40
failover,2,10,4,12,11,39
scope,13,5,5,11,5,39
under,6,7,9,2,15,39
day,0,12,16,0,11,39
zones,8,4,10,7,10,39
sign,3,1,9,15,11,39
emi,0,6,29,3,0,38
mode,0,7,11,7,13,38
because,4,6,9,11,8,38
life,15,14,4,4,0,37
exit,14,13,2,1,7,37
review,2,11,9,13,2,37
data,16,7,10,3,0,36
must,6,11,5,1,12,35
until,13,9,5,3,5,35
over,6,5,12,5,7,35
adr,11,4,13,5,2,35
lead,5,10,9,3,8,35
standard,15,6,11,1,2,35
waiver,2,7,5,16,4,34
high,6,14,13,0,1,34
children,7,3,3,14,7,34
downtime,0,12,9,7,6,34
penalty,7,3,8,9,6,33
stay,3,8,8,7,7,33
fees,0,4,6,12,11,33
corridors,3,5,11,6,8,33
emergency,4,6,14,2,6,32
hover,5,6,15,4,2,32
approval,2,7,8,5,10,32
operating,7,15,5,2,3,32
like,6,8,3,13,2,32
architect,2,4,13,5,7,31
default,3,8,2,1,17,31
one,2,5,7,8,9,31
export,4,1,7,14,5,31
any,5,11,12,3,0,31
trial,4,6,5,10,5,30
approved,1,20,8,1,0,30
off,0,0,6,11,12,29
landing,3,12,5,3,6,29
spares,12,9,0,2,6,29
sla,1,12,8,4,4,29
capped,0,0,13,2,14,29
within,4,4,19,0,1,28
during,3,6,4,10,5,28
infrastructure,10,5,6,5,2,28
proprietary,2,8,9,1,8,28
now,1,1,6,0,20,28
qualified,14,0,10,0,3,27
explicit,5,5,6,8,3,27
want,2,8,2,12,3,27
go,5,1,2,11,8,27
ll,6,3,9,0,9,27
case,8,1,5,5,8,27
eap,2,11,13,0,1,27
most,9,0,5,9,4,27
decision,6,8,8,2,3,27
where,5,1,10,2,8,26
pr,5,7,9,3,2,26
uptime,1,11,1,5,8,26
hardware,8,6,6,0,6,26
user,2,16,4,3,1,26
than,4,9,5,4,4,26
integrated,11,2,6,4,2,25
maintenance,8,0,2,12,3,25
essential,6,5,6,6,2,25
month,4,6,5,4,6,25
my,2,2,0,16,5,25
option,9,0,3,8,5,25
move,5,2,4,12,2,25
still,4,7,3,6,4,24
interference,9,13,2,0,0,24
pre,0,6,12,5,1,24
have,5,4,5,4,6,24
site,3,4,6,2,9,24
fund,1,20,0,0,3,24
contract,5,5,3,7,4,24
status,2,7,6,5,4,24
criteria,3,2,15,0,4,24
country,2,5,10,2,5,24
least,4,0,7,11,1,23
caps,10,2,1,0,10,23
haul,0,7,7,4,5,23
city,4,5,7,2,5,23
adrs,0,3,14,5,1,23
should,4,4,1,9,5,23
partner,1,8,3,9,2,23
path,1,4,14,0,4,23
corridor,3,4,3,7,6,23
mining,0,2,13,5,3,23
commit,7,6,6,2,2,23
make,2,3,4,10,4,23
required,0,2,7,1,13,23
kids,4,7,8,0,3,22
two,1,3,14,3,1,22
obligations,0,6,6,5,5,22
stop,1,3,11,5,2,22
clear,4,5,5,4,4,22
services,6,2,8,1,5,22
retention,7,5,3,1,6,22
defined,6,5,0,1,10,22
docs,4,2,8,4,4,22
conditions,4,2,4,5,7,22
session,4,2,1,0,14,21
long,2,7,2,7,3,21
years,6,6,6,2,1,21
models,3,1,8,2,7,21
control,2,11,3,4,1,21
model,1,4,12,0,4,21
tests,0,2,2,6,11,21
operations,1,3,1,6,10,21
recurring,1,5,1,10,3,20
period,1,15,3,0,1,20
work,1,8,4,6,1,20
about,7,8,0,3,2,20
change,3,3,0,7,7,20
pressure,3,2,8,5,2,20
finances,0,0,5,9,6,20
last,7,0,2,9,2,20
integration,4,4,0,3,9,20
prem,0,7,2,8,3,20
comms,1,8,3,7,0,19
times,3,7,2,3,4,19
delay,3,3,5,2,6,19
end,0,0,3,4,12,19
module,9,6,0,4,0,19
days,1,7,11,0,0,19
modes,8,0,0,11,0,19
up,7,0,9,2,1,19
response,1,0,5,9,4,19
does,7,7,3,2,0,19
priced,0,0,10,5,4,19
central,1,7,6,4,1,19
has,0,4,2,6,7,19
separate,0,0,6,10,3,19
g,4,5,4,6,0,19
parents,5,2,10,0,1,18
commitments,0,2,6,2,8,18
failure,2,4,3,4,5,18
hours,0,3,7,7,1,18
base,8,1,3,1,5,18
healthcare,9,0,6,0,3,18
just,8,2,4,4,0,18
d,10,3,1,4,0,18
first,2,4,4,3,5,18
vendor,3,8,1,3,3,18
m,9,2,3,1,3,18
per,0,7,1,1,9,18
yes,3,6,1,5,3,18
will,1,2,9,0,6,18
even,1,7,2,2,6,18
cap,0,1,5,2,10,18
continuity,1,5,0,10,2,18
shielding,0,0,10,4,4,18
delivery,0,1,13,0,4,18
added,3,1,1,5,7,17
answer,8,4,2,2,1,17
field,7,2,0,0,8,17
architecture,10,0,1,5,1,17
before,4,5,3,1,4,17
decisions,5,3,7,0,2,17
full,4,4,8,0,1,17
current,2,0,1,11,3,17
flight,0,1,6,8,2,17
exact,0,5,3,6,3,17
normal,9,5,0,3,0,17
superseded,3,4,2,4,4,17
summaries,3,7,1,5,0,16
logs,0,2,7,1,6,16
curated,3,2,2,5,4,16
portability,0,3,4,1,8,16
bridge,3,1,2,2,8,16
chance,0,3,3,7,3,16
notebook,16,0,0,0,0,16
ask,2,2,7,2,3,16
deployments,3,0,1,7,5,16
expected,0,4,6,0,6,16
real,1,3,7,4,1,16
expectations,1,7,1,3,4,16
la,0,0,16,0,0,16
buy,2,11,3,0,0,16
raw,2,1,13,0,0,16
behavior,6,4,1,0,5,16
ownership,5,3,5,3,0,16
issues,0,0,16,0,0,16
property,3,3,10,0,0,16
definition,0,16,0,0,0,16
council,3,0,6,3,4,16
policy,5,2,4,0,4,15
becomes,1,7,1,0,6,15
series,6,1,6,1,1,15
runbooks,0,2,13,0,0,15
something,7,2,3,3,0,15
milestone,1,1,2,8,3,15
x,0,2,4,9,0,15
links,2,2,5,0,6,15
terms,2,4,1,5,3,15
these,2,3,3,2,5,15
structured,4,4,1,5,1,15
active,2,8,0,3,2,15
ordinary,0,14,0,1,0,15
down,2,8,3,2,0,15
gates,5,7,0,2,1,15
e,5,3,4,3,0,15
contractual,0,5,0,4,6,15
single,0,8,6,1,0,15
text,0,4,3,3,5,15
care,6,1,5,0,3,15
items,0,8,2,4,1,15
degraded,0,3,0,1,11,15
date,2,0,1,1,11,15
supported,0,12,2,0,0,14
shared,7,0,3,1,3,14
see,0,0,4,6,4,14
priority,0,0,0,7,7,14
doc,6,2,4,0,2,14
issue,4,0,10,0,0,14
customer,3,1,0,5,5,14
need,4,0,5,3,2,14
fee,4,1,2,0,7,14
package,0,0,7,7,0,14
rollback,0,9,0,2,3,14
stack,1,0,5,0,8,14
standards,0,0,0,2,12,14
type,0,0,10,4,0,14
qualification,0,0,6,2,6,14
they,6,2,5,0,1,14
odd,11,0,2,0,1,14
leave,0,2,12,0,0,14
visa,4,4,2,1,3,14
postmortems,0,0,14,0,0,14
access,0,0,4,8,2,14
own,4,2,7,0,1,14
months,2,0,5,2,5,14
root,0,0,1,7,6,14
loiter,0,5,7,0,2,14
areas,2,0,2,5,5,14
loss,3,3,2,5,1,14
redundancy,2,11,0,0,1,14
chief,0,1,6,3,4,14
become,0,8,1,0,5,14
roads,0,4,3,2,5,14
controlled,2,4,2,0,5,13
adjustable,0,6,3,0,4,13
probability,1,3,8,1,0,13
language,0,2,7,3,1,13
outside,7,0,1,2,3,13
prs,0,1,12,0,0,13
based,5,1,2,1,4,13
weeks,0,4,2,6,1,13
authoritative,0,12,0,1,0,13
uses,3,1,2,7,0,13
citations,5,0,5,0,3,13
state,9,0,3,0,1,13
production,0,0,6,3,4,13
more,1,6,2,2,2,13
conventions,4,1,0,7,1,13
retrieval,0,5,3,2,3,13
dates,0,1,7,0,5,13
did,5,1,2,3,2,13
tied,3,3,6,1,0,13
fix,3,4,2,2,2,13
way,0,3,4,1,5,13
triggers,2,2,1,0,8,13
flights,0,3,9,0,1,13
security,1,1,4,2,4,12
paid,1,1,4,2,4,12
toward,1,1,5,0,5,12
evp,0,0,0,12,0,12
fixed,0,2,0,0,10,12
including,0,4,2,4,2,12
price,4,2,2,3,1,12
chat,2,1,4,2,3,12
continuum,6,0,5,1,0,12
signal,0,3,6,0,3,12
expect,1,6,3,2,0,12
artifact,1,0,11,0,0,12
defensible,4,0,0,0,8,12
use,2,3,1,5,1,12
substitution,0,6,0,0,6,12
happens,1,6,0,3,2,12
recovery,1,8,0,0,3,12
minor,0,0,1,6,5,12
briefing,3,0,4,5,0,12
siblings,0,2,10,0,0,12
lower,8,0,0,4,0,12
integrity,0,0,0,0,12,12
outcomes,0,0,7,0,5,12
say,1,3,1,4,3,12
rights,2,7,3,0,0,12
artifacts,2,0,8,1,1,12
confidence,5,6,0,0,0,11
eyes,2,2,2,4,1,11
tags,11,0,0,0,0,11
opex,0,2,2,2,5,11
local,0,1,9,0,1,11
controls,0,5,3,2,1,11
major,2,2,0,2,5,11
deep,3,0,0,0,8,11
plus,1,0,1,4,5,11
event,0,3,3,3,2,11
o,8,0,0,3,0,11
ruin,0,10,0,1,0,11
nav,4,0,2,1,4,11
recall,3,0,0,1,7,11
intersections,0,0,8,0,3,11
stress,1,8,0,2,0,11
used,2,3,0,4,2,11
filters,3,0,6,0,2,11
slas,3,0,4,4,0,11
needs,0,0,8,1,2,11
named,2,0,1,2,6,11
team,1,3,0,5,2,11
incidents,0,4,6,1,0,11
hot,6,5,0,0,0,11
recency,4,1,0,5,1,11
exclude,3,0,0,8,0,11
exposure,0,5,2,1,3,11
preference,4,0,2,3,2,11
give,2,0,5,3,1,11
giving,4,0,7,0,0,11
cause,1,0,1,5,4,11
sample,0,0,0,11,0,11
unconditional,11,0,0,0,0,11
engineering,1,1,4,1,4,11
n,0,2,6,1,2,11
influenced,3,0,3,2,3,11
landings,0,7,0,2,2,11
gym,0,0,10,0,0,10
selected,0,0,8,0,2,10
irreversible,1,2,0,0,7,10
guaranteed,0,2,0,0,8,10
talks,0,4,2,1,3,10
external,3,1,0,6,0,10
accept,1,0,6,3,0,10
chose,1,1,7,1,0,10
across,10,0,0,0,0,10
avoids,9,0,0,1,0,10
return,3,3,2,0,2,10
assets,7,1,0,0,2,10
error,2,3,0,3,2,10
same,4,0,2,0,4,10
class,1,0,7,2,0,10
then,0,2,3,1,4,10
insists,3,0,6,0,1,10
prove,3,4,1,0,2,10
relocation,4,3,1,2,0,10
commissioning,0,10,0,0,0,10
know,0,0,5,5,0,10
open,0,0,0,9,1,10
needed,6,0,2,0,2,10
limits,0,0,1,6,3,10
automatically,4,2,2,0,2,10
simple,1,0,4,3,2,10
given,2,0,0,0,8,10
spine,0,0,0,10,0,10
fail,4,1,0,3,2,10
sites,1,0,3,5,1,10
swap,7,3,0,0,0,10
living,2,1,2,1,4,10
both,0,3,5,0,2,10
runtime,0,1,0,0,9,10
design,3,5,2,0,0,10
help,2,1,4,0,3,10
short,0,1,5,0,4,10
loans,0,0,10,0,0,10
code,0,6,0,3,1,10
reduced,0,4,0,0,6,10
geofence,1,5,1,0,3,10
medical,0,7,0,0,3,10
y,0,1,1,6,2,10
tell,4,0,0,6,0,10
best,1,1,2,1,5,10
pin,0,1,0,9,0,10
right,6,1,0,0,3,10
aware,0,9,0,0,1,10
pass,0,0,0,4,5,9
requires,4,1,1,0,3,9
respectful,4,0,0,0,5,9
think,0,5,1,3,0,9
cash,7,0,2,0,0,9
meet,4,1,0,0,4,9
search,0,0,4,3,2,9
permanent,3,1,2,3,0,9
consequence,4,0,1,4,0,9
overrides,0,0,0,0,9,9
gate,0,4,0,3,2,9
hosting,2,1,5,0,1,9
rate,0,4,5,0,0,9
descend,2,0,3,4,0,9
weekly,0,2,6,1,0,9
scenarios,0,0,0,0,9,9
easier,1,0,0,4,4,9
clause,0,0,4,5,0,9
vector,1,3,2,2,1,9
highway,0,4,0,0,5,9
timing,4,3,0,2,0,9
free,0,5,4,0,0,9
detours,0,0,2,0,7,9
procedures,0,1,0,8,0,9
key,0,0,6,1,2,9
predefined,0,0,4,0,5,9
config,5,4,0,0,0,9
logistics,0,0,4,5,0,9
avoid,2,2,1,2,2,9
vectors,2,3,1,1,2,9
next,0,4,2,3,0,9
metrics,0,0,3,0,6,9
summary,7,0,0,0,2,9
health,3,2,3,1,0,9
regional,0,3,6,0,0,9
low,0,2,6,1,0,9
update,0,4,0,4,1,9
together,6,3,0,0,0,9
road,0,5,2,2,0,9
longer,2,5,1,1,0,9
show,1,0,0,5,3,9
convention,2,4,1,0,2,9
