system,rank,word,count
CONTROL,1,data,16
CONTROL,2,safe,16
CONTROL,3,standard,15
CONTROL,4,life,15
CONTROL,5,exit,14
CONTROL,6,qualified,14
CONTROL,7,incident,13
CONTROL,8,scope,13
CONTROL,9,until,13
CONTROL,10,i,13
CONTROL,11,no,12
CONTROL,12,spares,12
CONTROL,13,service,11
CONTROL,14,unconditional,11
CONTROL,15,odd,11
CONTROL,16,exclusions,11
CONTROL,17,adr,11
CONTROL,18,tags,11
CONTROL,19,caps,10
CONTROL,20,across,10
CONTROL,21,reliability,10
CONTROL,22,d,10
CONTROL,23,time,9
CONTROL,24,most,9
CONTROL,25,m,9
CONTROL,26,option,9
CONTROL,27,avoids,9
CONTROL,28,state,9
CONTROL,29,module,9
CONTROL,30,normal,9
AC15,1,time,26
AC15,2,i,24
AC15,3,exclusions,22
AC15,4,no,21
AC15,5,approved,20
AC15,6,fund,20
AC15,7,service,17
AC15,8,incident,16
AC15,9,b,16
AC15,10,safety,16
AC15,11,definition,16
AC15,12,user,16
AC15,13,period,15
AC15,14,operating,15
AC15,15,how,14
AC15,16,high,14
AC15,17,keep,14
AC15,18,project,14
AC15,19,ordinary,14
AC15,20,life,14
AC15,21,critical,13
AC15,22,exit,13
AC15,23,day,12
AC15,24,supported,12
AC15,25,downtime,12
AC15,26,landing,12
AC15,27,authoritative,12
AC15,28,money,12
AC15,29,review,11
AC15,30,vs,11
AC15P,1,no,41
AC15P,2,time,33
AC15P,3,emi,29
AC15P,4,b,28
AC15P,5,vs,26
AC15P,6,safe,22
AC15P,7,i,22
AC15P,8,brief,21
AC15P,9,money,21
AC15P,10,after,20
AC15P,11,within,19
AC15P,12,day,16
AC15P,13,la,16
AC15P,14,issues,16
AC15P,15,criteria,15
AC15P,16,path,14
AC15P,17,two,14
AC15P,18,emergency,14
AC15P,19,adrs,14
AC15P,20,postmortems,14
AC15P,21,project,14
AC15P,22,delivery,13
AC15P,23,incident,13
AC15P,24,capped,13
AC15P,25,high,13
AC15P,26,eap,13
AC15P,27,runbooks,13
AC15P,28,adr,13
AC15P,29,raw,13
AC15P,30,pre,12
HYBRID_3_5,1,incident,32
HYBRID_3_5,2,without,22
HYBRID_3_5,3,no,19
HYBRID_3_5,4,my,16
HYBRID_3_5,5,sign,15
HYBRID_3_5,6,export,14
HYBRID_3_5,7,reliability,14
HYBRID_3_5,8,review,13
HYBRID_3_5,9,like,13
HYBRID_3_5,10,evp,12
HYBRID_3_5,11,fees,12
HYBRID_3_5,12,want,12
HYBRID_3_5,13,move,12
HYBRID_3_5,14,modes,11
HYBRID_3_5,15,sample,11
HYBRID_3_5,16,scope,11
HYBRID_3_5,17,i,11
HYBRID_3_5,18,least,11
HYBRID_3_5,19,off,11
HYBRID_3_5,20,go,11
HYBRID_3_5,21,current,11
HYBRID_3_5,22,because,11
HYBRID_3_5,23,recurring,10
HYBRID_3_5,24,year,10
HYBRID_3_5,25,make,10
HYBRID_3_5,26,during,10
HYBRID_3_5,27,spine,10
HYBRID_3_5,28,separate,10
HYBRID_3_5,29,trial,10
HYBRID_3_5,30,open,9
HYBRID_SEMANTIC,1,no,29
HYBRID_SEMANTIC,2,acceptance,25
HYBRID_SEMANTIC,3,i,21
HYBRID_SEMANTIC,4,now,20
HYBRID_SEMANTIC,5,default,17
HYBRID_SEMANTIC,6,under,15
HYBRID_SEMANTIC,7,safe,15
HYBRID_SEMANTIC,8,brief,15
HYBRID_SEMANTIC,9,capped,14
HYBRID_SEMANTIC,10,mode,13
HYBRID_SEMANTIC,11,required,13
HYBRID_SEMANTIC,12,time,13
HYBRID_SEMANTIC,13,without,12
HYBRID_SEMANTIC,14,standards,12
HYBRID_SEMANTIC,15,must,12
HYBRID_SEMANTIC,16,year,12
HYBRID_SEMANTIC,17,integrity,12
HYBRID_SEMANTIC,18,safety,12
HYBRID_SEMANTIC,19,off,12
HYBRID_SEMANTIC,20,end,12
HYBRID_SEMANTIC,21,degraded,11
HYBRID_SEMANTIC,22,day,11
HYBRID_SEMANTIC,23,tests,11
HYBRID_SEMANTIC,24,how,11
HYBRID_SEMANTIC,25,fees,11
HYBRID_SEMANTIC,26,date,11
HYBRID_SEMANTIC,27,critical,11
HYBRID_SEMANTIC,28,sign,11
HYBRID_SEMANTIC,29,approval,10
HYBRID_SEMANTIC,30,cap,10
