word,count
no,122
i,91
time,90
incident,83
b,63
safe,61
vs,57
acceptance,53
exclusions,52
how,49
brief,48
money,47
without,46
safety,46
project,45
keep,44
reliability,42
service,42
after,40
critical,40
day,39
under,39
scope,39
sign,39
mode,38
because,38
emi,38
review,37
exit,37
life,37
data,36
lead,35
standard,35
must,35
over,35
until,35
adr,35
high,34
downtime,34
fees,33
corridors,33
penalty,33
stay,33
emergency,32
year,32
approval,32
like,32
operating,32
export,31
default,31
one,31
any,31
approved,30
trial,30
spares,29
capped,29
landing,29
off,29
during,28
now,28
within,28
ll,27
most,27
decision,27
case,27
go,27
explicit,27
eap,27
qualified,27
want,27
uptime,26
than,26
where,26
pr,26
user,26
essential,25
option,25
move,25
my,25
pre,24
contract,24
have,24
still,24
criteria,24
site,24
fund,24
status,24
country,24
required,23
path,23
caps,23
should,23
commit,23
corridor,23
least,23
make,23
haul,23
adrs,23
two,22
conditions,22
defined,22
services,22
clear,22
obligations,22
stop,22
retention,22
docs,22
kids,22
models,21
long,21
operations,21
week,21
tests,21
model,21
control,21
integration,20
work,20
recurring,20
pressure,20
change,20
period,20
last,20
about,20
finances,20
central,19
times,19
comms,19
has,19
days,19
priced,19
response,19
g,19
delay,19
does,19
modes,19
end,19
up,19
module,19
separate,19
cap,18
hours,18
failure,18
first,18
delivery,18
commitments,18
m,18
just,18
even,18
d,18
per,18
will,18
yes,18
parents,18
base,18
field,17
exact,17
normal,17
added,17
full,17
before,17
answer,17
current,17
decisions,17
superseded,17
ownership,16
portability,16
logs,16
ask,16
behavior,16
deployments,16
expectations,16
definition,16
expected,16
la,16
real,16
chance,16
raw,16
issues,16
curated,16
buy,16
property,16
items,15
terms,15
degraded,15
down,15
becomes,15
contractual,15
milestone,15
these,15
gates,15
x,15
policy,15
e,15
something,15
date,15
active,15
care,15
text,15
links,15
runbooks,15
