system,scenario,level,ngram,count,fully_scenario
CONTROL,S1,trigrams,underestimated assumption that,6,False
CONTROL,S1,quadgrams,dot threshold automatically and,6,False
CONTROL,S1,trigrams,it cloud exception,5,False
CONTROL,S1,trigrams,civitas standard integrated,4,False
CONTROL,S1,trigrams,mandatory cloud hosting,4,False
CONTROL,S1,trigrams,emergency services isn,4,False
CONTROL,S1,trigrams,lead time that,4,False
CONTROL,S1,trigrams,an established vendor,4,False
CONTROL,S1,trigrams,the controller lead,4,False
CONTROL,S1,quadgrams,state dot waiver week,4,False
CONTROL,S1,quadgrams,the controller lead time,4,False
CONTROL,S1,trigrams,lock in heavy,3,False
CONTROL,S1,trigrams,right to compete,3,False
CONTROL,S1,trigrams,most defensible recommendation,3,False
CONTROL,S1,trigrams,o m volatility,3,False
CONTROL,S3,trigrams,spares hot swap,7,False
CONTROL,S3,trigrams,fail safe behavior,4,False
CONTROL,S3,trigrams,service led ops,4,False
CONTROL,S3,trigrams,qualified zones corridors,4,False
CONTROL,S3,trigrams,redundancy spares hot,4,False
CONTROL,S3,trigrams,a high consequence,4,False
CONTROL,S3,quadgrams,redundancy spares hot swap,4,False
CONTROL,S3,trigrams,high consequence operational,3,False
CONTROL,S3,trigrams,enforced by design,3,False
CONTROL,S3,trigrams,tranche based series,3,False
CONTROL,S3,trigrams,based series b,3,False
CONTROL,S3,trigrams,hot swap to,3,False
CONTROL,S3,trigrams,insists on unconditional,3,False
CONTROL,S3,trigrams,caps cure periods,3,False
CONTROL,S3,trigrams,across the full,3,False
CONTROL,S5,trigrams,resume last session,4,False
CONTROL,S5,trigrams,against the repo,4,False
CONTROL,S5,trigrams,adr pr file,4,False
CONTROL,S5,trigrams,decisions adr lite,3,False
CONTROL,S5,trigrams,conventions system map,3,False
CONTROL,S5,trigrams,stack traces diffs,3,False
CONTROL,S5,trigrams,this eliminates most,3,False
CONTROL,S5,trigrams,most re briefing,3,False
CONTROL,S5,trigrams,yesterday s buggy,3,False
CONTROL,S5,trigrams,timestamps commit branch,3,False
CONTROL,S5,trigrams,memory influenced answers,3,False
CONTROL,S5,trigrams,doc scope tags,3,False
CONTROL,S5,trigrams,scope tags service,3,False
CONTROL,S5,trigrams,tags service module,3,False
CONTROL,S5,trigrams,notebook summaries structured,3,False
CONTROL,S7,trigrams,exit options intact,3,False
CONTROL,S7,trigrams,t consume her,3,False
CONTROL,S7,trigrams,consume her life,3,False
CONTROL,S7,trigrams,a new country,3,False
CONTROL,S7,trigrams,kids marriage family,3,False
CONTROL,S7,trigrams,keeping my home,3,False
CONTROL,S7,trigrams,a midpoint review,3,False
CONTROL,S7,quadgrams,t consume her life,3,False
CONTROL,S7,quadgrams,in a new country,3,False
CONTROL,S7,quadgrams,about kids marriage family,3,False
CONTROL,S7,quadgrams,home base for a,3,False
