phrase,control_count,anchored_avg,ratio
industry standard controllers,19,9.25,2.054054054054054
your home base,16,5.5,2.909090909090909
you may be,13,6.5,2.0
controller lead time,12,4.5,2.6666666666666665
can t be,12,6.0,2.0
decisions conventions constraints,11,1.0,11.0
keep your home,11,5.0,2.2
high interference zones,8,2.25,3.5555555555555554
this is not,8,2.75,2.909090909090909
that don t,8,4.0,2.0
what reveals it,8,0.0,999.0
did we try,7,3.5,2.0
standard controllers and,7,3.5,2.0
dot waiver week,7,1.5,4.666666666666667
waiver week review,7,1.75,4.0
what to verify,7,1.25,5.6
conventions constraints system,7,0.0,999.0
for the hardware,7,3.0,2.3333333333333335
vendor lock in,7,3.25,2.1538461538461537
lead time risk,7,2.75,2.5454545454545454
spares hot swap,7,0.0,999.0
a staged plan,7,2.25,3.111111111111111
whether you d,7,1.25,5.6
where you d,7,2.0,3.5
constraints system map,7,0.0,999.0
it s still,7,2.0,3.5
where you are,7,2.0,3.5
fail safe behavior,7,1.5,4.666666666666667
in high interference,7,2.75,2.5454545454545454
infrastructure cloud exception,6,0.5,12.0
milestone based payments,6,0.5,12.0
maintenance price lock,6,2.25,2.6666666666666665
civitas modular option,6,1.75,3.4285714285714284
how it could,6,0.0,999.0
threshold automatically and,6,0.25,24.0
dot threshold automatically,6,0.75,8.0
won t sign,6,2.25,2.6666666666666665
can turn this,6,3.0,2.0
to verify now,6,0.5,12.0
it could bite,6,0.0,999.0
underestimated assumption that,6,0.0,999.0
delay for the,6,2.25,2.6666666666666665
interference zones can,6,1.75,3.4285714285714284
a constrained commercial,6,0.75,8.0
she s not,6,1.75,3.4285714285714284
in your situation,6,2.0,3.0
you re choosing,6,2.25,2.6666666666666665
i m serious,6,2.25,2.6666666666666665
cloud fee with,5,0.25,20.0
state dot preference,5,0.75,6.666666666666667
shorter track record,5,1.25,4.0
it cloud exception,5,0.0,999.0
that s the,5,2.5,2.0
not just the,5,1.25,4.0
may be underestimating,5,1.5,3.3333333333333335
if there s,5,2.0,2.5
me what you,5,1.75,2.857142857142857
it s also,5,1.0,5.0
and doesn t,5,2.25,2.2222222222222223
you can do,5,2.5,2.0
and a staged,5,0.5,10.0
state dot waiver,5,0.5,10.0
proceed with civitas,5,0.75,6.666666666666667
term o m,5,0.25,20.0
into the contract,5,1.5,3.3333333333333335
where this leaves,5,1.75,2.857142857142857
the most important,5,0.5,10.0
it becomes a,5,2.0,2.5
toward civitas modular,5,2.5,2.0
recommend civitas modular,5,2.5,2.0
of control protections,5,2.5,2.0
the bridge is,5,1.75,2.857142857142857
the market window,5,1.75,2.857142857142857
hardware shielding revision,5,1.25,4.0
signed safety case,5,0.5,10.0
you re in,5,2.0,2.5
t rely on,5,1.75,2.857142857142857
strategic customer prepay,5,0.5,10.0
minute re brief,5,0.75,6.666666666666667
memory that is,5,0.0,999.0
keeping your home,5,0.5,10.0
would you be,5,2.5,2.0
you if you,5,0.5,10.0
your children and,5,1.5,3.3333333333333335
