word,control_count,ac15_count,ac15p_count,h35_count,hsem_count,total_count,control_vs_anchored_ratio
memory,699,534,525,429,456,2643,1.6600598450528539
have,318,291,264,264,285,1422,1.3266623760265472
repo,288,66,135,105,75,669,3.4871639013499394
system,264,183,249,141,207,1044,1.5686358615972174
about,239,192,239,185,180,1035,1.3864860518413469
ll,222,144,189,180,150,885,1.5414757328563875
option,219,189,192,198,171,969,1.3437331573771734
controllers,189,177,159,171,147,843,1.3296420175584902
hard,189,171,135,183,174,852,1.3082876750747017
home,171,135,123,81,141,651,1.6488199956706637
hardware,168,186,108,102,168,732,1.3747857880347165
there,159,114,162,120,105,660,1.4660731505995859
m,156,111,156,99,81,603,1.6158345255318636
isn,153,129,165,114,126,687,1.3249611869180167
trust,153,159,132,102,120,666,1.3784466185501087
policy,150,72,105,51,111,489,2.053032267412118
service,144,147,42,129,78,540,1.6596328688091424
odd,135,3,30,42,63,273,4.4743695845590175
vector,132,114,114,90,90,540,1.494313255558979
design,132,99,135,75,87,528,1.5456888636107124
up,129,111,129,111,102,582,1.3132820676121457
based,126,114,105,102,90,537,1.4123764916956123
could,126,84,105,69,72,456,1.7669932030144506
integration,123,87,84,150,102,546,1.3276360391121338
truth,120,138,102,96,75,531,1.3466322350158784
health,120,144,81,72,105,522,1.3787974050096727
times,120,93,114,102,99,528,1.355494633546891
those,120,117,135,90,81,543,1.3129279534421394
commercial,120,48,90,84,105,447,1.6889466663024117
curated,117,102,87,87,24,417,1.7960684143282628
conventions,117,81,57,120,84,459,1.5608166750731916
users,114,93,75,117,66,465,1.4864421049186851
citations,111,75,69,75,36,366,2.001727140838024
staleness,111,93,111,93,75,483,1.3765163869895591
lower,111,102,78,81,57,429,1.607562333668302
conflict,108,75,93,63,87,426,1.5707908308845004
adr,105,63,126,99,84,477,1.301959722715074
predictability,102,72,72,24,81,351,1.9064628900218927
base,102,63,57,78,117,417,1.486284802966577
rather,102,72,108,69,108,459,1.3219036483285767
boundaries,99,78,72,84,105,438,1.3425073396565168
meet,99,75,69,42,81,366,1.7173657328553158
something,99,78,81,63,75,396,1.539668557325132
baseline,96,9,12,27,33,177,5.401942047931261
options,93,87,64,87,54,385,1.461359021230647
documentation,90,63,87,63,66,369,1.490618694135136
higher,90,81,69,60,57,357,1.5555963855191013
chat,90,51,54,84,114,393,1.360506137737012
docs,90,78,72,63,69,372,1.4723849097099633
gating,90,102,51,39,87,369,1.492331614451399
last,87,63,63,81,63,357,1.4781778298065147
ops,87,51,72,84,24,318,1.7266732234783602
shared,87,45,90,57,60,339,1.597420560248727
branch,84,36,84,84,87,375,1.3265309124898668
constrained,84,66,36,54,96,336,1.5315178752246816
staged,84,45,15,87,54,285,1.8908273040692423
recall,84,51,69,78,87,369,1.3538467066099276
core,81,39,78,54,84,336,1.4675760526608888
did,81,66,57,57,72,333,1.4807273107289496
line,81,84,60,57,78,360,1.3390274380800995
ownership,78,48,54,78,48,306,1.5655201904136509
module,78,45,0,42,9,174,3.6732744220499853
rule,78,69,45,60,39,291,1.6816971393525617
map,78,39,33,36,24,210,2.7184422354072635
people,78,63,78,36,63,318,1.509677003908387
return,75,57,72,51,60,315,1.4446193876745241
insurance,72,69,48,57,63,309,1.3974583049502654
write,72,33,60,21,48,234,2.0694817388765383
commitment,72,57,51,39,81,300,1.4590052646349994
serious,72,48,57,69,60,306,1.4121114675618949
was,72,72,87,33,33,297,1.4912968958609245
process,72,33,63,39,66,273,1.6573413216481603
index,72,33,36,33,42,216,2.304397280384695
kids,69,45,108,9,81,312,1.3329931921112819
signals,69,60,54,63,54,300,1.3727812698018802
look,69,54,57,54,60,294,1.4128336526238807
protections,69,36,48,36,78,267,1.6091823215056487
upfront,66,36,42,33,42,219,1.991704020891577
issue,66,57,87,57,33,300,1.3053745857255263
structured,66,54,45,54,66,285,1.3853606949608481
company,66,48,48,54,63,279,1.4246482834500278
things,66,42,57,60,63,288,1.3668080145160246
enforceable,66,84,30,36,30,246,1.6910908772341908
bias,66,36,36,39,33,210,2.107806236815008
recommend,66,39,39,39,33,216,2.025748127850546
modes,66,33,57,84,30,270,1.4764790371266907
answers,66,63,51,54,36,270,1.4892549261313988
permanent,66,33,57,78,63,297,1.3074307823551916
making,63,42,57,42,57,261,1.4698302785795552
aging,63,66,39,30,60,258,1.4940501797718626
leverage,63,54,39,42,33,231,1.7266137284587177
raw,63,66,66,51,33,279,1.3477144599792719
o,63,0,3,15,3,84,13.369617381173464
alone,63,63,75,45,36,282,1.3333113055797552
provide,63,60,51,45,54,273,1.3841982315797523
every,63,54,63,51,45,276,1.3651916333978362
exception,63,9,27,48,27,174,2.5814324227775938
annual,63,45,48,33,45,234,1.704150986955085
hosting,63,78,60,27,54,282,1.336845730268075
verification,63,33,18,12,30,156,3.1368346843742323
qualified,60,6,66,15,63,210,1.8678682075202622
scenario,60,75,24,30,54,243,1.5122546413022573
maintain,60,48,39,15,36,198,2.022717280096896
industry,60,27,12,51,54,204,1.8934894419436399
bottom,60,51,30,33,54,228,1.6455987292407845
keeping,60,54,51,15,24,204,1.9450802909736749
gated,60,33,66,30,27,216,1.7883941509165142
detection,60,54,66,33,39,252,1.4511600521597785
conversation,60,24,36,39,45,204,1.9145963565254218
implementation,60,45,39,42,30,216,1.7696282169313333
autonomous,60,51,51,51,39,252,1.438684850321639
yet,60,48,51,27,51,237,1.5722089653354119
avoids,60,60,39,66,36,261,1.3659481808070926
snippets,60,6,18,3,48,135,3.72004347303852
using,57,63,45,54,39,258,1.3037820522529973
budgets,57,45,63,42,48,255,1.3316617713023602
conversations,57,54,27,27,33,198,1.8656430968425028
needed,57,33,63,39,54,246,1.3956434060693295
prior,57,45,54,33,51,240,1.4423687925028073
outcome,57,39,72,39,42,249,1.3767815220063302
feature,57,63,45,45,24,234,1.4842022285400833
arr,54,0,3,0,3,60,42.356751731783284
truly,54,42,39,51,39,225,1.4486861421469326
once,54,33,33,36,54,210,1.5924832852383008
compliance,54,39,36,42,48,219,1.5043596675171356
respect,54,36,39,27,30,186,1.8923212606067827
drift,54,42,51,27,42,216,1.5462253360830396
proceed,54,42,42,48,36,222,1.476954011276638
put,54,36,48,39,33,210,1.5971595481609744
against,54,45,39,51,45,234,1.3768513437687337
problem,54,45,39,60,27,225,1.4446323459622776
outdated,54,63,24,21,48,210,1.6006183092051518
supports,54,36,33,36,63,222,1.4792699425535323
main,54,27,24,48,27,180,1.953400362620781
rut,54,48,42,45,27,216,1.533618574166754
consequence,54,9,15,21,18,117,3.921906745708734
land,54,51,60,18,51,234,1.3983191270399085
hazard,51,42,27,42,33,195,1.6234755292295042
enforced,51,21,21,27,12,132,2.8866598949402555
had,51,21,27,39,30,168,1.9946202669960684
again,51,21,12,15,45,144,2.5248873321724683
biggest,51,45,21,45,42,204,1.524763476827108
confirm,51,42,57,48,33,231,1.306566037038104
teams,51,27,39,42,39,198,1.5940893040602504
story,51,54,30,45,48,228,1.3228268924340836
available,51,36,45,24,36,192,1.6777037059315334
verify,51,30,33,42,54,210,1.4722735184072133
part,51,33,27,66,45,222,1.3569715051488431
cited,51,51,51,9,15,177,1.897536758706665
turns,51,45,27,24,30,177,1.8693074902535562
retrieved,51,36,51,27,66,231,1.3131025673481294
supersede,48,30,9,24,6,117,3.1760566531382497
emotionally,48,33,12,15,33,141,2.379429945738076
realistic,48,48,48,36,33,213,1.344604221257418
filters,48,6,60,18,33,165,1.9156722268592463
looks,48,45,54,36,30,213,1.3463171380533925
mvp,48,45,42,36,33,204,1.4198916841041047
big,48,33,24,42,18,165,1.8745788619004835
apis,48,18,69,24,42,201,1.4620006025697356
debugging,48,12,18,75,33,186,1.5653759475369526
implement,45,63,21,18,45,192,1.416224692068515
