phrase,count
if you tell me,23
i can help you,19
if you can t,17
if you want i,14
you want i can,14
keep your home base,11
year maintenance support price,10
maintenance support price lock,10
you tell me what,8
dot waiver week review,7
if you want tell,7
you want tell me,7
can help you draft,7
what did we try,7
conventions constraints system map,7
controller lead time risk,6
council s lock in,6
proprietary controller lead time,6
essential infrastructure cloud exception,6
dot threshold automatically and,6
how it could bite,6
what to verify now,6
want i can turn,6
i can turn this,6
can turn this into,6
turn this into a,6
but only if you,6
delay for the hardware,6
for the hardware fix,6
decisions conventions constraints system,6
do you want children,6
help you draft a,6
the modular architecture option,5
change of control protections,5
industry standard controllers and,5
on prem failover 180k,5
this into a one,5
into a one page,5
if you don t,5
you may be underestimating,5
in high interference zones,5
interference zones can shift,5
i can suggest the,5
you don t want,5
keeping your home base,5
tell me the country,5
don t want to,5
uses industry standard controllers,4
readily available standard controllers,4
offers a year maintenance,4
