phrase,count
if you want,34
if you can,34
you can t,31
you don t,29
you tell me,24
if you tell,23
you re not,20
industry standard controllers,19
i can help,19
can help you,19
it s a,18
if it s,16
your home base,16
essential infrastructure cloud,15
the modular option,15
on prem failover,15
you want i,14
want i can,14
you may be,13
maintenance support price,12
controller lead time,12
treat it as,12
it doesn t,12
it s not,12
can t be,12
only if you,11
that s a,11
can still be,11
decisions conventions constraints,11
i want to,11
keep your home,11
for essential infrastructure,10
year maintenance support,10
support price lock,10
modular architecture option,10
this is the,10
you can use,10
but it s,10
but only if,10
this isn t,10
day to day,10
if you share,10
the hardware fix,10
the modular architecture,9
s lock in,9
a one page,9
and i ll,9
tell me what,9
help you draft,9
the chief architect,9
