level,scenario,arch_group,pair_count,total_shared,avg_per_pair
bigrams,S1,control_anchored,4,843,210.75
bigrams,S1,codified_pair,1,634,634.0
bigrams,S1,hybrid_pair,1,493,493.0
bigrams,S1,cross_architecture,4,2275,568.75
bigrams,S3,control_anchored,4,698,174.5
bigrams,S3,codified_pair,1,592,592.0
bigrams,S3,hybrid_pair,1,506,506.0
bigrams,S3,cross_architecture,4,2032,508.0
bigrams,S5,control_anchored,4,814,203.5
bigrams,S5,codified_pair,1,360,360.0
bigrams,S5,hybrid_pair,1,332,332.0
bigrams,S5,cross_architecture,4,1497,374.25
bigrams,S7,control_anchored,4,931,232.75
bigrams,S7,codified_pair,1,528,528.0
bigrams,S7,hybrid_pair,1,494,494.0
bigrams,S7,cross_architecture,4,1978,494.5
trigrams,S1,control_anchored,4,721,180.25
trigrams,S1,codified_pair,1,431,431.0
trigrams,S1,hybrid_pair,1,436,436.0
trigrams,S1,cross_architecture,4,1742,435.5
trigrams,S3,control_anchored,4,516,129.0
trigrams,S3,codified_pair,1,350,350.0
trigrams,S3,hybrid_pair,1,351,351.0
trigrams,S3,cross_architecture,4,1370,342.5
trigrams,S5,control_anchored,4,500,125.0
trigrams,S5,codified_pair,1,209,209.0
trigrams,S5,hybrid_pair,1,203,203.0
trigrams,S5,cross_architecture,4,916,229.0
trigrams,S7,control_anchored,4,817,204.25
trigrams,S7,codified_pair,1,426,426.0
trigrams,S7,hybrid_pair,1,438,438.0
trigrams,S7,cross_architecture,4,1570,392.5
quadgrams,S1,control_anchored,4,406,101.5
quadgrams,S1,codified_pair,1,217,217.0
quadgrams,S1,hybrid_pair,1,248,248.0
quadgrams,S1,cross_architecture,4,945,236.25
quadgrams,S3,control_anchored,4,239,59.75
quadgrams,S3,codified_pair,1,151,151.0
quadgrams,S3,hybrid_pair,1,149,149.0
quadgrams,S3,cross_architecture,4,641,160.25
quadgrams,S5,control_anchored,4,214,53.5
quadgrams,S5,codified_pair,1,89,89.0
quadgrams,S5,hybrid_pair,1,88,88.0
quadgrams,S5,cross_architecture,4,373,93.25
quadgrams,S7,control_anchored,4,460,115.0
quadgrams,S7,codified_pair,1,244,244.0
quadgrams,S7,hybrid_pair,1,252,252.0
quadgrams,S7,cross_architecture,4,876,219.0
