level,scenario,shared_by_n_systems,count,total_unique,pct
bigrams,S1,1,33047,42172,78.362420563407
bigrams,S1,2,5188,42172,12.302001327895287
bigrams,S1,3,1958,42172,4.642891017736887
bigrams,S1,4,1065,42172,2.5253722849283884
bigrams,S1,5,914,42172,2.1673148060324388
bigrams,S3,1,30795,38338,80.32500391256715
bigrams,S3,2,4539,38338,11.839428243518181
bigrams,S3,3,1587,38338,4.139496061349053
bigrams,S3,4,765,38338,1.9954092545255362
bigrams,S3,5,652,38338,1.700662528040065
bigrams,S5,1,27707,33914,81.6978239075308
bigrams,S5,2,3769,33914,11.113404493719408
bigrams,S5,3,1315,33914,3.8774547384560947
bigrams,S5,4,669,33914,1.9726366692221502
bigrams,S5,5,454,33914,1.3386801910715338
bigrams,S7,1,29942,38538,77.6947428512118
bigrams,S7,2,4868,38538,12.631688203850743
bigrams,S7,3,1793,38538,4.652550729150449
bigrams,S7,4,1033,38538,2.680471223208262
bigrams,S7,5,902,38538,2.3405469925787536
trigrams,S1,1,62482,68312,91.4656282937112
trigrams,S1,2,4083,68312,5.976987937697623
trigrams,S1,3,1041,68312,1.5238903852910177
trigrams,S1,4,453,68312,0.6631338564234688
trigrams,S1,5,253,68312,0.37035952687668344
trigrams,S3,1,56034,60282,92.95312033442819
trigrams,S3,2,3082,60282,5.1126372714906605
trigrams,S3,3,728,60282,1.2076573438173916
trigrams,S3,4,277,60282,0.4595069838426064
trigrams,S3,5,161,60282,0.26707806642115395
trigrams,S5,1,47724,50724,94.08563993375917
trigrams,S5,2,2288,50724,4.510685277186342
trigrams,S5,3,467,50724,0.9206687169781563
trigrams,S5,4,187,50724,0.36866177746234524
trigrams,S5,5,58,50724,0.11434429461398943
trigrams,S7,1,57152,62928,90.82125603864735
trigrams,S7,2,4034,62928,6.410500889905925
trigrams,S7,3,1048,62928,1.6653953724891941
trigrams,S7,4,439,62928,0.6976226798881261
trigrams,S7,5,255,62928,0.40522501906941266
quadgrams,S1,1,75137,78020,96.30479364265572
quadgrams,S1,2,2221,78020,2.84670597282748
quadgrams,S1,3,434,78020,0.5562676236862343
quadgrams,S1,4,154,78020,0.19738528582414766
quadgrams,S1,5,74,78020,0.09484747500640862
quadgrams,S3,1,65861,67716,97.26061787465297
quadgrams,S3,2,1438,67716,2.1235749305924747
quadgrams,S3,3,277,67716,0.4090613739736547
quadgrams,S3,4,94,67716,0.13881505109575284
quadgrams,S3,5,46,67716,0.06793076968515564
quadgrams,S5,1,54294,55430,97.95056828432257
quadgrams,S5,2,922,55430,1.6633591917734079
quadgrams,S5,3,153,55430,0.27602381381923147
quadgrams,S5,4,43,55430,0.07757532022370558
quadgrams,S5,5,18,55430,0.032473389861086055
quadgrams,S7,1,69226,72161,95.93270603234434
quadgrams,S7,2,2291,72161,3.1748451379554052
quadgrams,S7,3,418,72161,0.5792602652402267
quadgrams,S7,4,163,72161,0.2258837876415238
quadgrams,S7,5,63,72161,0.08730477681850307
