level,scenario,sharing_type,group,count,total_unique,share_pct
bigrams,S1,exactly_2,CONTROL|AC15,0,42172,0.0
bigrams,S1,exactly_2,CONTROL|AC15P,0,42172,0.0
bigrams,S1,exactly_2,CONTROL|HYBRID_3_5,444,42172,1.0528312624490184
bigrams,S1,exactly_2,CONTROL|HYBRID_SEMANTIC,399,42172,0.9461253912548611
bigrams,S1,exactly_2,AC15|AC15P,634,42172,1.503367163046571
bigrams,S1,exactly_2,AC15|HYBRID_3_5,595,42172,1.4108887413449682
bigrams,S1,exactly_2,AC15|HYBRID_SEMANTIC,573,42172,1.3587214265389358
bigrams,S1,exactly_2,AC15P|HYBRID_3_5,532,42172,1.261500521673148
bigrams,S1,exactly_2,AC15P|HYBRID_SEMANTIC,575,42172,1.3634639097031205
bigrams,S1,exactly_2,HYBRID_3_5|HYBRID_SEMANTIC,493,42172,1.169022099971545
bigrams,S1,exactly_3,CONTROL|AC15|AC15P,0,42172,0.0
bigrams,S1,exactly_3,CONTROL|AC15|HYBRID_3_5,0,42172,0.0
bigrams,S1,exactly_3,CONTROL|AC15|HYBRID_SEMANTIC,0,42172,0.0
bigrams,S1,exactly_3,CONTROL|AC15P|HYBRID_3_5,0,42172,0.0
bigrams,S1,exactly_3,CONTROL|AC15P|HYBRID_SEMANTIC,0,42172,0.0
bigrams,S1,exactly_3,CONTROL|HYBRID_3_5|HYBRID_SEMANTIC,173,42172,0.41022479370198234
bigrams,S1,exactly_3,AC15|AC15P|HYBRID_3_5,214,42172,0.5074456985677701
bigrams,S1,exactly_3,AC15|AC15P|HYBRID_SEMANTIC,230,42172,0.5453855638812483
bigrams,S1,exactly_3,AC15|HYBRID_3_5|HYBRID_SEMANTIC,228,42172,0.5406430807170635
bigrams,S1,exactly_3,AC15P|HYBRID_3_5|HYBRID_SEMANTIC,217,42172,0.5145594233140472
bigrams,S3,exactly_2,CONTROL|AC15,0,38338,0.0
bigrams,S3,exactly_2,CONTROL|AC15P,0,38338,0.0
bigrams,S3,exactly_2,CONTROL|HYBRID_3_5,356,38338,0.9285826073347593
bigrams,S3,exactly_2,CONTROL|HYBRID_SEMANTIC,342,38338,0.8920653137878867
bigrams,S3,exactly_2,AC15|AC15P,592,38338,1.544159841410611
bigrams,S3,exactly_2,AC15|HYBRID_3_5,459,38338,1.1972455527153216
bigrams,S3,exactly_2,AC15|HYBRID_SEMANTIC,563,38338,1.468516876206375
bigrams,S3,exactly_2,AC15P|HYBRID_3_5,513,38338,1.3380979706818301
bigrams,S3,exactly_2,AC15P|HYBRID_SEMANTIC,497,38338,1.2963639209139757
bigrams,S3,exactly_2,HYBRID_3_5|HYBRID_SEMANTIC,506,38338,1.3198393239083939
bigrams,S3,exactly_3,CONTROL|AC15|AC15P,0,38338,0.0
bigrams,S3,exactly_3,CONTROL|AC15|HYBRID_3_5,0,38338,0.0
bigrams,S3,exactly_3,CONTROL|AC15|HYBRID_SEMANTIC,0,38338,0.0
bigrams,S3,exactly_3,CONTROL|AC15P|HYBRID_3_5,0,38338,0.0
bigrams,S3,exactly_3,CONTROL|AC15P|HYBRID_SEMANTIC,0,38338,0.0
bigrams,S3,exactly_3,CONTROL|HYBRID_3_5|HYBRID_SEMANTIC,135,38338,0.35213104491627106
bigrams,S3,exactly_3,AC15|AC15P|HYBRID_3_5,173,38338,0.45124941311492517
bigrams,S3,exactly_3,AC15|AC15P|HYBRID_SEMANTIC,237,38338,0.6181856121863425
bigrams,S3,exactly_3,AC15|HYBRID_3_5|HYBRID_SEMANTIC,203,38338,0.529500756429652
bigrams,S3,exactly_3,AC15P|HYBRID_3_5|HYBRID_SEMANTIC,205,38338,0.5347175126506338
bigrams,S5,exactly_2,CONTROL|AC15,0,33914,0.0
bigrams,S5,exactly_2,CONTROL|AC15P,0,33914,0.0
bigrams,S5,exactly_2,CONTROL|HYBRID_3_5,372,33914,1.0968921389396709
bigrams,S5,exactly_2,CONTROL|HYBRID_SEMANTIC,442,33914,1.3032965736863833
bigrams,S5,exactly_2,AC15|AC15P,360,33914,1.0615085215545204
bigrams,S5,exactly_2,AC15|HYBRID_3_5,350,33914,1.0320221737335613
bigrams,S5,exactly_2,AC15|HYBRID_SEMANTIC,356,33914,1.0497139824261366
bigrams,S5,exactly_2,AC15P|HYBRID_3_5,374,33914,1.1027894085038628
bigrams,S5,exactly_2,AC15P|HYBRID_SEMANTIC,417,33914,1.229580704133986
bigrams,S5,exactly_2,HYBRID_3_5|HYBRID_SEMANTIC,332,33914,0.9789467476558353
bigrams,S5,exactly_3,CONTROL|AC15|AC15P,0,33914,0.0
bigrams,S5,exactly_3,CONTROL|AC15|HYBRID_3_5,0,33914,0.0
bigrams,S5,exactly_3,CONTROL|AC15|HYBRID_SEMANTIC,0,33914,0.0
bigrams,S5,exactly_3,CONTROL|AC15P|HYBRID_3_5,0,33914,0.0
bigrams,S5,exactly_3,CONTROL|AC15P|HYBRID_SEMANTIC,0,33914,0.0
bigrams,S5,exactly_3,CONTROL|HYBRID_3_5|HYBRID_SEMANTIC,157,33914,0.4629356607890546
bigrams,S5,exactly_3,AC15|AC15P|HYBRID_3_5,114,33914,0.3361443651589314
bigrams,S5,exactly_3,AC15|AC15P|HYBRID_SEMANTIC,122,33914,0.3597334434156985
bigrams,S5,exactly_3,AC15|HYBRID_3_5|HYBRID_SEMANTIC,122,33914,0.3597334434156985
bigrams,S5,exactly_3,AC15P|HYBRID_3_5|HYBRID_SEMANTIC,119,33914,0.35088753906941084
bigrams,S7,exactly_2,CONTROL|AC15,0,38538,0.0
bigrams,S7,exactly_2,CONTROL|AC15P,0,38538,0.0
bigrams,S7,exactly_2,CONTROL|HYBRID_3_5,454,38538,1.178058020654938
bigrams,S7,exactly_2,CONTROL|HYBRID_SEMANTIC,477,38538,1.237739374124241
bigrams,S7,exactly_2,AC15|AC15P,528,38538,1.3700762883387825
bigrams,S7,exactly_2,AC15|HYBRID_3_5,491,38538,1.2740671544968603
bigrams,S7,exactly_2,AC15|HYBRID_SEMANTIC,471,38538,1.2221703253931187
bigrams,S7,exactly_2,AC15P|HYBRID_3_5,487,38538,1.263687788676112
bigrams,S7,exactly_2,AC15P|HYBRID_SEMANTIC,529,38538,1.3726711297939695
bigrams,S7,exactly_2,HYBRID_3_5|HYBRID_SEMANTIC,494,38538,1.2818516788624215
bigrams,S7,exactly_3,CONTROL|AC15|AC15P,0,38538,0.0
bigrams,S7,exactly_3,CONTROL|AC15|HYBRID_3_5,0,38538,0.0
bigrams,S7,exactly_3,CONTROL|AC15|HYBRID_SEMANTIC,0,38538,0.0
bigrams,S7,exactly_3,CONTROL|AC15P|HYBRID_3_5,0,38538,0.0
bigrams,S7,exactly_3,CONTROL|AC15P|HYBRID_SEMANTIC,0,38538,0.0
bigrams,S7,exactly_3,CONTROL|HYBRID_3_5|HYBRID_SEMANTIC,203,38538,0.5267528154029788
bigrams,S7,exactly_3,AC15|AC15P|HYBRID_3_5,166,38538,0.43074368156105663
bigrams,S7,exactly_3,AC15|AC15P|HYBRID_SEMANTIC,196,38538,0.5085889252166692
bigrams,S7,exactly_3,AC15|HYBRID_3_5|HYBRID_SEMANTIC,184,38538,0.4774508277544242
bigrams,S7,exactly_3,AC15P|HYBRID_3_5|HYBRID_SEMANTIC,185,38538,0.4800456692096113
trigrams,S1,exactly_2,CONTROL|AC15,0,68312,0.0
trigrams,S1,exactly_2,CONTROL|AC15P,0,68312,0.0
trigrams,S1,exactly_2,CONTROL|HYBRID_3_5,387,68312,0.5665183276730297
trigrams,S1,exactly_2,CONTROL|HYBRID_SEMANTIC,334,68312,0.4889331303431315
trigrams,S1,exactly_2,AC15|AC15P,431,68312,0.6309286801733224
trigrams,S1,exactly_2,AC15|HYBRID_3_5,455,68312,0.6660615997189366
trigrams,S1,exactly_2,AC15|HYBRID_SEMANTIC,432,68312,0.6323925518210564
trigrams,S1,exactly_2,AC15P|HYBRID_3_5,405,68312,0.5928680173322403
trigrams,S1,exactly_2,AC15P|HYBRID_SEMANTIC,450,68312,0.658742241480267
trigrams,S1,exactly_2,HYBRID_3_5|HYBRID_SEMANTIC,436,68312,0.6382480384119921
trigrams,S1,exactly_3,CONTROL|AC15|AC15P,0,68312,0.0
trigrams,S1,exactly_3,CONTROL|AC15|HYBRID_3_5,0,68312,0.0
trigrams,S1,exactly_3,CONTROL|AC15|HYBRID_SEMANTIC,0,68312,0.0
trigrams,S1,exactly_3,CONTROL|AC15P|HYBRID_3_5,0,68312,0.0
trigrams,S1,exactly_3,CONTROL|AC15P|HYBRID_SEMANTIC,0,68312,0.0
trigrams,S1,exactly_3,CONTROL|HYBRID_3_5|HYBRID_SEMANTIC,102,68312,0.14931490806886052
trigrams,S1,exactly_3,AC15|AC15P|HYBRID_3_5,89,68312,0.13028457664831947
trigrams,S1,exactly_3,AC15|AC15P|HYBRID_SEMANTIC,126,68312,0.18444782761447476
trigrams,S1,exactly_3,AC15|HYBRID_3_5|HYBRID_SEMANTIC,126,68312,0.18444782761447476
trigrams,S1,exactly_3,AC15P|HYBRID_3_5|HYBRID_SEMANTIC,99,68312,0.14492329312565874
trigrams,S3,exactly_2,CONTROL|AC15,0,60282,0.0
trigrams,S3,exactly_2,CONTROL|AC15P,0,60282,0.0
trigrams,S3,exactly_2,CONTROL|HYBRID_3_5,257,60282,0.4263295842871836
trigrams,S3,exactly_2,CONTROL|HYBRID_SEMANTIC,259,60282,0.42964732424272584
trigrams,S3,exactly_2,AC15|AC15P,350,60282,0.5806044922198998
trigrams,S3,exactly_2,AC15|HYBRID_3_5,281,60282,0.46614246375369095
trigrams,S3,exactly_2,AC15|HYBRID_SEMANTIC,388,60282,0.6436415513752032
trigrams,S3,exactly_2,AC15P|HYBRID_3_5,353,60282,0.5855811021532132
trigrams,S3,exactly_2,AC15P|HYBRID_SEMANTIC,348,60282,0.5772867522643575
trigrams,S3,exactly_2,HYBRID_3_5|HYBRID_SEMANTIC,351,60282,0.5822633621976709
