level,group,S1,S3,S5,S7,TOTAL
bigrams,AC15|AC15P,634,592,360,528,2114
bigrams,AC15P|HYBRID_SEMANTIC,575,497,417,529,2018
bigrams,AC15|HYBRID_SEMANTIC,573,563,356,471,1963
bigrams,AC15P|HYBRID_3_5,532,513,374,487,1906
bigrams,AC15|HYBRID_3_5,595,459,350,491,1895
bigrams,HYBRID_3_5|HYBRID_SEMANTIC,493,506,332,494,1825
bigrams,CONTROL|HYBRID_SEMANTIC,399,342,442,477,1660
bigrams,CONTROL|HYBRID_3_5,444,356,372,454,1626
bigrams,CONTROL|AC15,0,0,0,0,0
bigrams,CONTROL|AC15P,0,0,0,0,0
quadgrams,AC15|HYBRID_3_5,263,147,92,238,740
quadgrams,HYBRID_3_5|HYBRID_SEMANTIC,248,149,88,252,737
quadgrams,AC15|HYBRID_SEMANTIC,231,194,95,196,716
quadgrams,AC15P|HYBRID_SEMANTIC,246,147,83,239,715
quadgrams,AC15|AC15P,217,151,89,244,701
quadgrams,CONTROL|HYBRID_SEMANTIC,191,127,123,246,687
quadgrams,AC15P|HYBRID_3_5,205,153,103,203,664
quadgrams,CONTROL|HYBRID_3_5,215,112,91,214,632
quadgrams,CONTROL|AC15,0,0,0,0,0
quadgrams,CONTROL|AC15P,0,0,0,0,0
trigrams,AC15|HYBRID_SEMANTIC,432,388,253,379,1452
trigrams,HYBRID_3_5|HYBRID_SEMANTIC,436,351,203,438,1428
trigrams,AC15P|HYBRID_SEMANTIC,450,348,212,416,1426
trigrams,AC15|AC15P,431,350,209,426,1416
trigrams,AC15P|HYBRID_3_5,405,353,237,374,1369
trigrams,AC15|HYBRID_3_5,455,281,214,401,1351
trigrams,CONTROL|HYBRID_SEMANTIC,334,259,272,418,1283
trigrams,CONTROL|HYBRID_3_5,387,257,228,399,1271
trigrams,CONTROL|AC15,0,0,0,0,0
trigrams,CONTROL|AC15P,0,0,0,0,0
