level,group,S1,S3,S5,S7,TOTAL
bigrams,AC15|AC15P|HYBRID_SEMANTIC,230,237,122,196,785
bigrams,AC15|HYBRID_3_5|HYBRID_SEMANTIC,228,203,122,184,737
bigrams,AC15P|HYBRID_3_5|HYBRID_SEMANTIC,217,205,119,185,726
bigrams,CONTROL|HYBRID_3_5|HYBRID_SEMANTIC,173,135,157,203,668
bigrams,AC15|AC15P|HYBRID_3_5,214,173,114,166,667
bigrams,CONTROL|AC15P|HYBRID_3_5,0,0,0,0,0
bigrams,CONTROL|AC15P|HYBRID_SEMANTIC,0,0,0,0,0
bigrams,CONTROL|AC15|AC15P,0,0,0,0,0
bigrams,CONTROL|AC15|HYBRID_3_5,0,0,0,0,0
bigrams,CONTROL|AC15|HYBRID_SEMANTIC,0,0,0,0,0
quadgrams,AC15|AC15P|HYBRID_SEMANTIC,68,40,10,53,171
quadgrams,AC15|AC15P|HYBRID_3_5,33,35,22,54,144
quadgrams,AC15|HYBRID_3_5|HYBRID_SEMANTIC,54,28,12,41,135
quadgrams,AC15P|HYBRID_3_5|HYBRID_SEMANTIC,42,32,19,39,132
quadgrams,CONTROL|HYBRID_3_5|HYBRID_SEMANTIC,44,32,11,45,132
quadgrams,CONTROL|AC15P|HYBRID_3_5,0,0,0,0,0
quadgrams,CONTROL|AC15P|HYBRID_SEMANTIC,0,0,0,0,0
quadgrams,CONTROL|AC15|AC15P,0,0,0,0,0
quadgrams,CONTROL|AC15|HYBRID_3_5,0,0,0,0,0
quadgrams,CONTROL|AC15|HYBRID_SEMANTIC,0,0,0,0,0
trigrams,AC15|AC15P|HYBRID_SEMANTIC,126,100,42,109,377
trigrams,AC15|HYBRID_3_5|HYBRID_SEMANTIC,126,83,40,114,363
trigrams,AC15P|HYBRID_3_5|HYBRID_SEMANTIC,99,91,51,101,342
trigrams,CONTROL|HYBRID_3_5|HYBRID_SEMANTIC,102,74,46,111,333
trigrams,AC15|AC15P|HYBRID_3_5,89,85,52,102,328
trigrams,CONTROL|AC15P|HYBRID_3_5,0,0,0,0,0
trigrams,CONTROL|AC15P|HYBRID_SEMANTIC,0,0,0,0,0
trigrams,CONTROL|AC15|AC15P,0,0,0,0,0
trigrams,CONTROL|AC15|HYBRID_3_5,0,0,0,0,0
trigrams,CONTROL|AC15|HYBRID_SEMANTIC,0,0,0,0,0
