word,control_count,control_share,max_anchor_system,max_anchor_count,max_anchor_share,control_vs_max_anchor_ratio,share_gap,scenarios_control_present,scenario_win_count,scenario_term,share_of_control_tri_quad_total,rate_per_10k_control_tokens
people,182,0.000711,AC15P,182,0.000579,1.227452,0.000132,4,4,False,0.001744,17.437
shared,203,0.000793,AC15P,210,0.000669,1.186537,0.000125,4,4,False,0.001945,19.449
refresh,35,0.000137,HYBRID_3_5,7,0.000025,5.572430,0.000112,3,3,False,0.000335,3.353
wide,42,0.000164,AC15,14,0.000046,3.573227,0.000118,3,3,False,0.000402,4.024
legitimately,21,0.000082,HYBRID_3_5,7,0.000025,3.343458,0.000058,3,3,False,0.000201,2.012
severe,21,0.000082,HYBRID_3_5,7,0.000025,3.343458,0.000058,3,3,False,0.000201,2.012
prioritize,70,0.000274,HYBRID_SEMANTIC,28,0.000093,2.926235,0.000180,4,3,False,0.000671,6.707
consequence,126,0.000492,HYBRID_3_5,49,0.000172,2.865821,0.000321,3,3,False,0.001207,12.072
intact,77,0.000301,HYBRID_3_5,35,0.000123,2.451869,0.000178,3,3,False,0.000738,7.377
debt,56,0.000219,AC15,28,0.000092,2.382151,0.000127,3,3,False,0.000537,5.365
probable,28,0.000109,HYBRID_SEMANTIC,14,0.000047,2.340988,0.000063,3,3,False,0.000268,2.683
realistically,91,0.000356,HYBRID_SEMANTIC,49,0.000164,2.173775,0.000192,4,3,False,0.000872,8.718
drama,49,0.000191,AC15,28,0.000092,2.084383,0.000100,3,3,False,0.000469,4.695
embedded,35,0.000137,HYBRID_SEMANTIC,21,0.000070,1.950824,0.000067,3,3,False,0.000335,3.353
generally,49,0.000191,HYBRID_3_5,28,0.000098,1.950351,0.000093,3,3,False,0.000469,4.695
recommend,154,0.000602,HYBRID_3_5,91,0.000319,1.886053,0.000283,3,3,False,0.001475,14.754
sketch,21,0.000082,AC15P,14,0.000045,1.841178,0.000037,3,3,False,0.000201,2.012
framework,49,0.000191,HYBRID_SEMANTIC,35,0.000117,1.638692,0.000075,3,3,False,0.000469,4.695
represent,28,0.000109,AC15P,21,0.000067,1.636603,0.000043,3,3,False,0.000268,2.683
actively,28,0.000109,HYBRID_SEMANTIC,21,0.000070,1.560659,0.000039,3,3,False,0.000268,2.683
killing,28,0.000109,HYBRID_SEMANTIC,21,0.000070,1.560659,0.000039,3,3,False,0.000268,2.683
reads,28,0.000109,HYBRID_SEMANTIC,21,0.000070,1.560659,0.000039,3,3,False,0.000268,2.683
evaluate,77,0.000301,AC15P,63,0.000201,1.500219,0.000100,3,3,False,0.000738,7.377
notes,77,0.000301,AC15,63,0.000207,1.455759,0.000094,3,3,False,0.000738,7.377
underestimating,49,0.000191,AC15P,42,0.000134,1.432027,0.000058,3,3,False,0.000469,4.695
kill,35,0.000137,HYBRID_3_5,28,0.000098,1.393108,0.000039,3,3,False,0.000335,3.353
chosen,42,0.000164,HYBRID_3_5,35,0.000123,1.337383,0.000041,3,3,False,0.000402,4.024
drops,42,0.000164,HYBRID_3_5,35,0.000123,1.337383,0.000041,3,3,False,0.000402,4.024
didn,98,0.000383,HYBRID_3_5,84,0.000295,1.300234,0.000088,4,3,False,0.000939,9.389
lower,259,0.001012,AC15,238,0.000781,1.296171,0.000231,4,3,False,0.002481,24.814
driven,105,0.000410,AC15,98,0.000322,1.276153,0.000089,4,3,False,0.001006,10.060
give,105,0.000410,HYBRID_SEMANTIC,98,0.000327,1.254101,0.000083,4,3,False,0.001006,10.060
proceed,126,0.000492,HYBRID_3_5,112,0.000393,1.253797,0.000100,3,3,False,0.001207,12.072
provide,147,0.000574,AC15,140,0.000459,1.250630,0.000115,3,3,False,0.001408,14.084
forward,56,0.000219,AC15,56,0.000184,1.191076,0.000035,4,3,False,0.000537,5.365
behind,49,0.000191,HYBRID_SEMANTIC,49,0.000164,1.170494,0.000028,4,3,False,0.000469,4.695
service,336,0.001313,AC15,343,0.001125,1.166768,0.000188,4,3,False,0.003219,32.191
stated,84,0.000328,HYBRID_3_5,84,0.000295,1.114486,0.000034,4,3,False,0.000805,8.048
smaller,42,0.000164,AC15P,49,0.000156,1.052102,0.000008,3,3,False,0.000402,4.024
combination,35,0.000137,AC15,42,0.000138,0.992563,-0.000001,4,3,False,0.000335,3.353
entire,28,0.000109,AC15P,35,0.000111,0.981962,-0.000002,4,3,False,0.000268,2.683
outcome,133,0.000520,AC15P,168,0.000535,0.971733,-0.000015,4,3,False,0.001274,12.742
issue,154,0.000602,AC15P,203,0.000646,0.931170,-0.000044,3,3,False,0.001475,14.754
area,42,0.000164,HYBRID_3_5,56,0.000196,0.835865,-0.000032,4,3,False,0.000402,4.024
