system,level,expression_group,row_count,sum_count,share_of_system_level_grouped_sum,share_of_total_level_tokens,rate_per_10k_level_tokens
AC15,quadgrams,imagination_and_possibility,3,6,0.021277,0.000099,0.987
AC15,quadgrams,practical_considerations_and_execution,63,131,0.464539,0.002155,21.552
AC15,quadgrams,temporal_projection,39,88,0.312057,0.001448,14.477
AC15,quadgrams,truth,27,57,0.202128,0.000938,9.377
AC15P,quadgrams,imagination_and_possibility,13,28,0.088328,0.000447,4.467
AC15P,quadgrams,practical_considerations_and_execution,65,141,0.444795,0.002250,22.496
AC15P,quadgrams,temporal_projection,45,104,0.328076,0.001659,16.593
AC15P,quadgrams,truth,20,44,0.138801,0.000702,7.020
CONTROL,quadgrams,imagination_and_possibility,1,2,0.011765,0.000038,0.383
CONTROL,quadgrams,practical_considerations_and_execution,38,89,0.523529,0.001705,17.054
CONTROL,quadgrams,temporal_projection,25,53,0.311765,0.001016,10.156
CONTROL,quadgrams,truth,13,26,0.152941,0.000498,4.982
HYBRID_3_5,quadgrams,imagination_and_possibility,4,8,0.035242,0.000141,1.405
HYBRID_3_5,quadgrams,practical_considerations_and_execution,46,102,0.449339,0.001792,17.915
HYBRID_3_5,quadgrams,temporal_projection,28,59,0.259912,0.001036,10.363
HYBRID_3_5,quadgrams,truth,29,58,0.255507,0.001019,10.187
HYBRID_SEMANTIC,quadgrams,imagination_and_possibility,25,52,0.147727,0.000864,8.641
HYBRID_SEMANTIC,quadgrams,practical_considerations_and_execution,68,138,0.392045,0.002293,22.933
HYBRID_SEMANTIC,quadgrams,temporal_projection,39,92,0.261364,0.001529,15.288
HYBRID_SEMANTIC,quadgrams,truth,34,70,0.198864,0.001163,11.633
AC15,trigrams,imagination_and_possibility,7,15,0.037594,0.000247,2.468
AC15,trigrams,practical_considerations_and_execution,93,195,0.488722,0.003208,32.079
AC15,trigrams,temporal_projection,54,119,0.298246,0.001958,19.576
AC15,trigrams,truth,32,70,0.175439,0.001152,11.515
AC15P,trigrams,imagination_and_possibility,17,37,0.076132,0.000590,5.903
AC15P,trigrams,practical_considerations_and_execution,109,235,0.483539,0.003749,37.491
AC15P,trigrams,temporal_projection,57,135,0.277778,0.002154,21.537
AC15P,trigrams,truth,34,79,0.162551,0.001260,12.603
CONTROL,trigrams,imagination_and_possibility,1,2,0.007722,0.000038,0.383
CONTROL,trigrams,practical_considerations_and_execution,49,119,0.459459,0.002280,22.801
CONTROL,trigrams,temporal_projection,36,81,0.312741,0.001552,15.520
CONTROL,trigrams,truth,26,57,0.220077,0.001092,10.922
HYBRID_3_5,trigrams,imagination_and_possibility,6,13,0.039755,0.000228,2.283
HYBRID_3_5,trigrams,practical_considerations_and_execution,72,152,0.464832,0.002670,26.696
HYBRID_3_5,trigrams,temporal_projection,38,86,0.262997,0.001510,15.104
HYBRID_3_5,trigrams,truth,36,76,0.232416,0.001335,13.348
HYBRID_SEMANTIC,trigrams,imagination_and_possibility,30,71,0.158837,0.001180,11.798
HYBRID_SEMANTIC,trigrams,practical_considerations_and_execution,90,192,0.429530,0.003190,31.904
HYBRID_SEMANTIC,trigrams,temporal_projection,42,95,0.212528,0.001579,15.786
HYBRID_SEMANTIC,trigrams,truth,40,89,0.199105,0.001479,14.789
