system,expression_group,row_count,sum_count,levels,scenario_count,scenarios,share_of_total_tokens,rate_per_10k_tokens
CONTROL,practical_considerations_and_execution,87,208,quadgrams;trigrams,4,S1;S3;S5;S7,0.001993,19.928
CONTROL,temporal_projection,61,134,quadgrams;trigrams,4,S1;S3;S5;S7,0.001284,12.838
CONTROL,truth,39,83,quadgrams;trigrams,4,S1;S3;S5;S7,0.000795,7.952
CONTROL,imagination_and_possibility,2,4,quadgrams;trigrams,1,S3,0.000038,0.383
AC15,practical_considerations_and_execution,156,326,quadgrams;trigrams,4,S1;S3;S5;S7,0.002682,26.815
AC15,temporal_projection,93,207,quadgrams;trigrams,4,S1;S3;S5;S7,0.001703,17.027
AC15,truth,59,127,quadgrams;trigrams,4,S1;S3;S5;S7,0.001045,10.446
AC15,imagination_and_possibility,10,21,quadgrams;trigrams,3,S3;S5;S7,0.000173,1.727
AC15P,practical_considerations_and_execution,174,376,quadgrams;trigrams,4,S1;S3;S5;S7,0.002999,29.994
AC15P,temporal_projection,102,239,quadgrams;trigrams,4,S1;S3;S5;S7,0.001907,19.065
AC15P,truth,54,123,quadgrams;trigrams,4,S1;S3;S5;S7,0.000981,9.812
AC15P,imagination_and_possibility,30,65,quadgrams;trigrams,4,S1;S3;S5;S7,0.000519,5.185
HYBRID_3_5,practical_considerations_and_execution,118,254,quadgrams;trigrams,4,S1;S3;S5;S7,0.002231,22.306
HYBRID_3_5,temporal_projection,66,145,quadgrams;trigrams,4,S1;S3;S5;S7,0.001273,12.734
HYBRID_3_5,truth,65,134,quadgrams;trigrams,4,S1;S3;S5;S7,0.001177,11.768
HYBRID_3_5,imagination_and_possibility,10,21,quadgrams;trigrams,3,S1;S3;S5,0.000184,1.844
HYBRID_SEMANTIC,practical_considerations_and_execution,158,330,quadgrams;trigrams,4,S1;S3;S5;S7,0.002742,27.419
HYBRID_SEMANTIC,temporal_projection,81,187,quadgrams;trigrams,4,S1;S3;S5;S7,0.001554,15.537
HYBRID_SEMANTIC,truth,74,159,quadgrams;trigrams,4,S1;S3;S5;S7,0.001321,13.211
HYBRID_SEMANTIC,imagination_and_possibility,55,123,quadgrams;trigrams,4,S1;S3;S5;S7,0.001022,10.220
