level,pair,type_count,token_mass,scenario_count,scenarios,share_of_combined_pair_tokens,rate_per_10k_combined_pair_tokens
bigrams,AC15P|CONTROL,1689,4140,4,S1;S3;S5;S7,0.036038,360.376
bigrams,AC15P|HYBRID_3_5,1906,4678,4,S1;S3;S5;S7,0.039105,391.046
bigrams,AC15P|HYBRID_SEMANTIC,2018,4981,4,S1;S3;S5;S7,0.040539,405.388
bigrams,AC15|AC15P,2114,5362,4,S1;S3;S5;S7,0.043425,434.247
bigrams,AC15|CONTROL,1668,4011,4,S1;S3;S5;S7,0.035500,355.000
bigrams,AC15|HYBRID_3_5,1895,4495,4,S1;S3;S5;S7,0.038179,381.793
bigrams,AC15|HYBRID_SEMANTIC,1963,4901,4,S1;S3;S5;S7,0.040512,405.122
bigrams,CONTROL|HYBRID_3_5,1626,3854,4,S1;S3;S5;S7,0.035314,353.137
bigrams,CONTROL|HYBRID_SEMANTIC,1660,4032,4,S1;S3;S5;S7,0.035879,358.789
bigrams,HYBRID_3_5|HYBRID_SEMANTIC,1825,4490,4,S1;S3;S5;S7,0.038335,383.348
quadgrams,AC15P|CONTROL,636,1386,4,S1;S3;S5;S7,0.012066,120.664
quadgrams,AC15P|HYBRID_3_5,664,1440,4,S1;S3;S5;S7,0.012039,120.389
quadgrams,AC15P|HYBRID_SEMANTIC,715,1555,4,S1;S3;S5;S7,0.012657,126.573
quadgrams,AC15|AC15P,701,1527,4,S1;S3;S5;S7,0.012368,123.682
quadgrams,AC15|CONTROL,644,1400,4,S1;S3;S5;S7,0.012393,123.927
quadgrams,AC15|HYBRID_3_5,740,1578,4,S1;S3;S5;S7,0.013405,134.049
quadgrams,AC15|HYBRID_SEMANTIC,716,1584,4,S1;S3;S5;S7,0.013095,130.952
quadgrams,CONTROL|HYBRID_3_5,632,1363,4,S1;S3;S5;S7,0.012491,124.908
quadgrams,CONTROL|HYBRID_SEMANTIC,687,1495,4,S1;S3;S5;S7,0.013305,133.052
quadgrams,HYBRID_3_5|HYBRID_SEMANTIC,737,1585,4,S1;S3;S5;S7,0.013534,135.343
trigrams,AC15P|CONTROL,1243,2832,4,S1;S3;S5;S7,0.024654,246.535
trigrams,AC15P|HYBRID_3_5,1369,3116,4,S1;S3;S5;S7,0.026049,260.492
trigrams,AC15P|HYBRID_SEMANTIC,1426,3229,4,S1;S3;S5;S7,0.026282,262.815
trigrams,AC15|AC15P,1416,3302,4,S1;S3;S5;S7,0.026743,267.433
trigrams,AC15|CONTROL,1248,2803,4,S1;S3;S5;S7,0.024810,248.101
trigrams,AC15|HYBRID_3_5,1351,3008,4,S1;S3;S5;S7,0.025551,255.509
trigrams,AC15|HYBRID_SEMANTIC,1452,3378,4,S1;S3;S5;S7,0.027925,279.247
trigrams,CONTROL|HYBRID_3_5,1271,2869,4,S1;S3;S5;S7,0.026290,262.902
trigrams,CONTROL|HYBRID_SEMANTIC,1283,2874,4,S1;S3;S5;S7,0.025576,255.762
trigrams,HYBRID_3_5|HYBRID_SEMANTIC,1428,3253,4,S1;S3;S5;S7,0.027775,277.754
