level,triple,type_count,token_mass,scenario_count,scenarios,share_of_combined_triple_tokens,rate_per_10k_combined_triple_tokens
bigrams,AC15P|CONTROL|HYBRID_3_5,655,2756,4,S1;S3;S5;S7,0.016040,160.399
bigrams,AC15P|CONTROL|HYBRID_SEMANTIC,621,2751,4,S1;S3;S5;S7,0.015714,157.143
bigrams,AC15P|HYBRID_3_5|HYBRID_SEMANTIC,726,3193,4,S1;S3;S5;S7,0.017757,177.574
bigrams,AC15|AC15P|CONTROL,616,2689,4,S1;S3;S5;S7,0.015307,153.069
bigrams,AC15|AC15P|HYBRID_3_5,667,2899,4,S1;S3;S5;S7,0.016068,160.681
bigrams,AC15|AC15P|HYBRID_SEMANTIC,785,3450,4,S1;S3;S5;S7,0.018785,187.845
bigrams,AC15|CONTROL|HYBRID_3_5,539,2275,4,S1;S3;S5;S7,0.013388,133.880
bigrams,AC15|CONTROL|HYBRID_SEMANTIC,639,2796,4,S1;S3;S5;S7,0.016146,161.460
bigrams,AC15|HYBRID_3_5|HYBRID_SEMANTIC,737,3195,4,S1;S3;S5;S7,0.017958,179.577
bigrams,CONTROL|HYBRID_3_5|HYBRID_SEMANTIC,668,2910,4,S1;S3;S5;S7,0.017186,171.864
quadgrams,AC15P|CONTROL|HYBRID_3_5,100,353,4,S1;S3;S5;S7,0.002055,20.547
quadgrams,AC15P|CONTROL|HYBRID_SEMANTIC,125,475,4,S1;S3;S5;S7,0.002714,27.137
quadgrams,AC15P|HYBRID_3_5|HYBRID_SEMANTIC,132,465,4,S1;S3;S5;S7,0.002586,25.864
quadgrams,AC15|AC15P|CONTROL,102,381,4,S1;S3;S5;S7,0.002169,21.691
quadgrams,AC15|AC15P|HYBRID_3_5,144,538,4,S1;S3;S5;S7,0.002982,29.823
quadgrams,AC15|AC15P|HYBRID_SEMANTIC,171,648,4,S1;S3;S5;S7,0.003529,35.287
quadgrams,AC15|CONTROL|HYBRID_3_5,127,465,4,S1;S3;S5;S7,0.002737,27.368
quadgrams,AC15|CONTROL|HYBRID_SEMANTIC,114,410,4,S1;S3;S5;S7,0.002368,23.679
quadgrams,AC15|HYBRID_3_5|HYBRID_SEMANTIC,135,454,4,S1;S3;S5;S7,0.002552,25.521
quadgrams,CONTROL|HYBRID_3_5|HYBRID_SEMANTIC,132,531,4,S1;S3;S5;S7,0.003137,31.365
trigrams,AC15P|CONTROL|HYBRID_3_5,327,1197,4,S1;S3;S5;S7,0.006967,69.670
trigrams,AC15P|CONTROL|HYBRID_SEMANTIC,304,1238,4,S1;S3;S5;S7,0.007072,70.722
trigrams,AC15P|HYBRID_3_5|HYBRID_SEMANTIC,342,1337,4,S1;S3;S5;S7,0.007436,74.360
trigrams,AC15|AC15P|CONTROL,289,1192,4,S1;S3;S5;S7,0.006786,67.858
trigrams,AC15|AC15P|HYBRID_3_5,328,1334,4,S1;S3;S5;S7,0.007394,73.944
trigrams,AC15|AC15P|HYBRID_SEMANTIC,377,1475,4,S1;S3;S5;S7,0.008032,80.316
trigrams,AC15|CONTROL|HYBRID_3_5,295,1153,4,S1;S3;S5;S7,0.006786,67.857
trigrams,AC15|CONTROL|HYBRID_SEMANTIC,326,1288,4,S1;S3;S5;S7,0.007438,74.383
trigrams,AC15|HYBRID_3_5|HYBRID_SEMANTIC,363,1381,4,S1;S3;S5;S7,0.007763,77.625
trigrams,CONTROL|HYBRID_3_5|HYBRID_SEMANTIC,333,1349,4,S1;S3;S5;S7,0.007968,79.677
