scenario,level,system,system_total_types,system_total_sum_count,inverse_types,inverse_sum_count,inverse_type_share,inverse_sum_share
S1,bigrams,CONTROL,10124,14852,5542,5882,0.547412,0.396041
S1,bigrams,AC15,12478,18024,7238,7717,0.580061,0.428151
S1,bigrams,AC15P,12383,17950,7150,7630,0.577405,0.42507
S1,bigrams,HYBRID_3_5,11447,16562,6432,6890,0.561894,0.416013
S1,bigrams,HYBRID_SEMANTIC,11695,17188,6685,7148,0.571612,0.415872
S1,quadgrams,CONTROL,14341,14850,13103,13294,0.913674,0.895219
S1,quadgrams,AC15,17508,18022,16140,16314,0.921864,0.905227
S1,quadgrams,AC15P,17385,17948,16043,16288,0.922807,0.907511
S1,quadgrams,HYBRID_3_5,16054,16560,14677,14891,0.914227,0.899215
S1,quadgrams,HYBRID_SEMANTIC,16579,17186,15174,15409,0.915254,0.896602
S1,trigrams,CONTROL,13413,14851,10746,11059,0.801163,0.744664
S1,trigrams,AC15,16471,18023,13524,13866,0.821079,0.76935
S1,trigrams,AC15P,16359,17949,13449,13842,0.822116,0.771185
S1,trigrams,HYBRID_3_5,15065,16561,12157,12530,0.80697,0.756597
S1,trigrams,HYBRID_SEMANTIC,15540,17187,12606,12994,0.811197,0.756037
S3,bigrams,CONTROL,7321,10265,3976,4251,0.543095,0.414126
S3,bigrams,AC15,11294,15884,7033,7645,0.62272,0.481302
S3,bigrams,AC15P,11122,15877,6892,7477,0.619673,0.470933
S3,bigrams,HYBRID_3_5,10302,14276,6233,6745,0.605028,0.472471
S3,bigrams,HYBRID_SEMANTIC,10915,15677,6661,7216,0.610261,0.460292
S3,quadgrams,CONTROL,9975,10263,9221,9358,0.924411,0.911819
S3,quadgrams,AC15,15489,15882,14551,14744,0.939441,0.928347
S3,quadgrams,AC15P,15491,15875,14643,14856,0.945259,0.935811
S3,quadgrams,HYBRID_3_5,13928,14274,13070,13255,0.938397,0.928611
S3,quadgrams,HYBRID_SEMANTIC,15291,15675,14376,14574,0.940161,0.929761
S3,trigrams,CONTROL,9384,10264,7640,7915,0.814152,0.771142
S3,trigrams,AC15,14686,15883,12564,12964,0.855509,0.816219
S3,trigrams,AC15P,14618,15876,12517,12965,0.856273,0.816641
S3,trigrams,HYBRID_3_5,13211,14275,11122,11452,0.841874,0.802242
S3,trigrams,HYBRID_SEMANTIC,14396,15676,12191,12606,0.846832,0.804159
S5,bigrams,CONTROL,9121,11901,5716,6156,0.626686,0.517267
S5,bigrams,AC15,8472,11095,5307,5690,0.626416,0.512844
S5,bigrams,AC15P,9259,12196,5929,6398,0.64035,0.524598
S5,bigrams,HYBRID_3_5,8333,10897,5140,5587,0.616825,0.51271
S5,bigrams,HYBRID_SEMANTIC,8951,11655,5615,5990,0.627304,0.513943
S5,quadgrams,CONTROL,11740,11899,11221,11321,0.955792,0.951424
S5,quadgrams,AC15,10925,11093,10442,10557,0.955789,0.951681
S5,quadgrams,AC15P,11980,12194,11466,11624,0.957095,0.953256
S5,quadgrams,HYBRID_3_5,10738,10895,10211,10335,0.950922,0.9486
S5,quadgrams,HYBRID_SEMANTIC,11476,11653,10954,11068,0.954514,0.949798
S5,trigrams,CONTROL,11341,11900,9895,10133,0.872498,0.851513
S5,trigrams,AC15,10515,11094,9161,9411,0.871232,0.848296
S5,trigrams,AC15P,11504,12195,10097,10432,0.877695,0.855433
S5,trigrams,HYBRID_3_5,10335,10896,8949,9205,0.865893,0.844805
S5,trigrams,HYBRID_SEMANTIC,11044,11654,9622,9877,0.871242,0.84752
S7,bigrams,CONTROL,10416,15176,5754,6033,0.552419,0.397536
S7,bigrams,AC15,10821,15789,6096,6474,0.563349,0.410032
S7,bigrams,AC15P,11357,16663,6549,7003,0.576649,0.420272
S7,bigrams,HYBRID_3_5,10457,15207,5744,6000,0.549297,0.394555
S7,bigrams,HYBRID_SEMANTIC,10648,15664,5799,6127,0.544609,0.391152
S7,quadgrams,CONTROL,14743,15174,13408,13555,0.909449,0.893304
S7,quadgrams,AC15,15270,15787,13897,14112,0.910085,0.8939
S7,quadgrams,AC15P,16103,16661,14756,15008,0.916351,0.900786
S7,quadgrams,HYBRID_3_5,14784,15205,13442,13604,0.909226,0.894706
S7,quadgrams,HYBRID_SEMANTIC,15129,15662,13723,13906,0.907066,0.887881
S7,trigrams,CONTROL,13850,15175,11026,11272,0.796101,0.742801
S7,trigrams,AC15,14345,15788,11492,11860,0.801115,0.751203
S7,trigrams,AC15P,15111,16662,12301,12715,0.814043,0.763114
S7,trigrams,HYBRID_3_5,13914,15206,11074,11334,0.795889,0.745364
S7,trigrams,HYBRID_SEMANTIC,14175,15663,11259,11551,0.794286,0.73747
