scenario,level,owner_count,type_count,type_share
S1,bigrams,1,33047,0.783624
S1,bigrams,2,5188,0.12302
S1,bigrams,3,1958,0.046429
S1,bigrams,4,1065,0.025254
S1,bigrams,5,914,0.021673
S1,quadgrams,1,75137,0.963048
S1,quadgrams,2,2221,0.028467
S1,quadgrams,3,434,0.005563
S1,quadgrams,4,154,0.001974
S1,quadgrams,5,74,0.000948
S1,trigrams,1,62482,0.914656
S1,trigrams,2,4083,0.05977
S1,trigrams,3,1041,0.015239
S1,trigrams,4,453,0.006631
S1,trigrams,5,253,0.003704
S3,bigrams,1,30795,0.80325
S3,bigrams,2,4539,0.118394
S3,bigrams,3,1587,0.041395
S3,bigrams,4,765,0.019954
S3,bigrams,5,652,0.017007
S3,quadgrams,1,65861,0.972606
S3,quadgrams,2,1438,0.021236
S3,quadgrams,3,277,0.004091
S3,quadgrams,4,94,0.001388
S3,quadgrams,5,46,0.000679
S3,trigrams,1,56034,0.929531
S3,trigrams,2,3082,0.051126
S3,trigrams,3,728,0.012077
S3,trigrams,4,277,0.004595
S3,trigrams,5,161,0.002671
S5,bigrams,1,27707,0.816978
S5,bigrams,2,3769,0.111134
S5,bigrams,3,1315,0.038775
S5,bigrams,4,669,0.019726
S5,bigrams,5,454,0.013387
S5,quadgrams,1,54294,0.979506
S5,quadgrams,2,922,0.016634
S5,quadgrams,3,153,0.00276
S5,quadgrams,4,43,0.000776
S5,quadgrams,5,18,0.000325
S5,trigrams,1,47724,0.940856
S5,trigrams,2,2288,0.045107
S5,trigrams,3,467,0.009207
S5,trigrams,4,187,0.003687
S5,trigrams,5,58,0.001143
S7,bigrams,1,29942,0.776947
S7,bigrams,2,4868,0.126317
S7,bigrams,3,1793,0.046526
S7,bigrams,4,1033,0.026805
S7,bigrams,5,902,0.023405
S7,quadgrams,1,69226,0.959327
S7,quadgrams,2,2291,0.031748
S7,quadgrams,3,418,0.005793
S7,quadgrams,4,163,0.002259
S7,quadgrams,5,63,0.000873
S7,trigrams,1,57152,0.908213
S7,trigrams,2,4034,0.064105
S7,trigrams,3,1048,0.016654
S7,trigrams,4,439,0.006976
S7,trigrams,5,255,0.004052
