scenario,scenario_label,level,system,ngram,count,token_len,rank_within_system,system_sum_count,count_share_in_system,owner_count,owner_systems,global_ngram_count,content_token_count,content_token_ratio,scaffold_prefix,has_scaffold_prefix,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
S7,Scenario 7 - Trigrams,trigrams,AC15,a true pilot,3,3,121,15788,0.00019,1,AC15,3,2,0.6667,,False,imagination_and_possibility,1,pilot,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15,about the future,3,3,122,15788,0.00019,1,AC15,3,2,0.6667,,False,temporal_dynamics,1,future,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15,complex care pathway,2,3,331,15788,0.000127,1,AC15,2,3,1.0,,False,imagination_and_possibility,1,pathway,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15,defeat sunk cost,2,3,351,15788,0.000127,1,AC15,2,3,1.0,,False,practicality_and_feasibility,1,cost,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15,family support boundaries,2,3,389,15788,0.000127,1,AC15,2,3,1.0,,False,imagination_and_possibility,1,boundaries,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15,schedule one call,2,3,638,15788,0.000127,1,AC15,2,3,1.0,,False,practicality_and_feasibility,1,schedule,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15,time based evidence,2,3,727,15788,0.000127,1,AC15,2,3,1.0,,False,truth_and_fact,1,evidence,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15,whether her future,2,3,814,15788,0.000127,1,AC15,2,3,1.0,,False,temporal_dynamics,1,future,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15,honest answer is,2,3,424,15788,0.000127,1,AC15,2,2,0.6667,,False,truth_and_fact,1,honest,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15,pilot plan with,2,3,591,15788,0.000127,1,AC15,2,2,0.6667,,False,imagination_and_possibility,1,pilot,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15,protects your future,2,3,610,15788,0.000127,1,AC15,2,2,0.6667,,False,temporal_dynamics,1,future,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15,the practical incentive,2,3,713,15788,0.000127,1,AC15,2,2,0.6667,,False,practicality_and_feasibility,1,practical,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15P,boundaries no loans,2,3,343,16662,0.00012,1,AC15P,2,3,1.0,,False,imagination_and_possibility,1,boundaries,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15P,extend trial shift,2,3,409,16662,0.00012,1,AC15P,2,3,1.0,,False,temporal_dynamics,1,shift,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15P,long term money,2,3,551,16662,0.00012,1,AC15P,2,3,1.0,,False,temporal_dynamics,1,long term,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15P,medical contingency plan,2,3,574,16662,0.00012,1,AC15P,2,3,1.0,,False,practicality_and_feasibility,1,contingency,medical,1,0.333333,False
S7,Scenario 7 - Trigrams,trigrams,AC15P,relationship definition timeline,2,3,689,16662,0.00012,1,AC15P,2,3,1.0,,False,practicality_and_feasibility;temporal_dynamics,1,timeline,relationship,1,0.333333,False
S7,Scenario 7 - Trigrams,trigrams,AC15P,a realistic return,2,3,287,16662,0.00012,1,AC15P,2,2,0.6667,,False,practicality_and_feasibility,1,realistic,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15P,a reversible experiment,2,3,288,16662,0.00012,1,AC15P,2,2,0.6667,,False,imagination_and_possibility,1,experiment,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15P,honest move is,2,3,451,16662,0.00012,1,AC15P,2,2,0.6667,,False,truth_and_fact,1,honest,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15P,insurance if feasible,2,3,504,16662,0.00012,1,AC15P,2,2,0.6667,,False,practicality_and_feasibility,1,feasible,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15P,keep a realistic,2,3,524,16662,0.00012,1,AC15P,2,2,0.6667,,False,practicality_and_feasibility,1,realistic,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15P,shift to dual,2,3,713,16662,0.00012,1,AC15P,2,2,0.6667,,False,temporal_dynamics,1,shift,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15P,that reduces risk,2,3,754,16662,0.00012,1,AC15P,2,2,0.6667,,False,practicality_and_feasibility,1,risk,,0,0.0,False
S7,Scenario 7 - Trigrams,trigrams,AC15P,the honest move,2,3,766,16662,0.00012,1,AC15P,2,2,0.6667,,False,truth_and_fact,1,honest,,0,0.0,False
