scenario,scenario_label,level,system,ngram,count,token_len,rank_within_system,system_sum_count,count_share_in_system,owner_count,owner_systems,global_ngram_count,content_token_count,content_token_ratio,scaffold_prefix,has_scaffold_prefix,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
S1,Scenario 1 - Quadgrams,quadgrams,AC15,would make us wrong,6,4,10,18022,0.000333,1,AC15,6,2,0.5,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,data config portability transition,4,4,20,18022,0.000222,1,AC15,4,4,1.0,,False,temporal_dynamics;truth_and_fact,2,data;transition,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,answer those i can,4,4,18,18022,0.000222,1,AC15,4,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,recommend civitas modular as,4,4,27,18022,0.000222,1,AC15,4,3,0.75,,False,,0,,civitas;modular,2,0.666667,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,with long lead items,4,4,32,18022,0.000222,1,AC15,4,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,config portability transition assistance,3,4,44,18022,0.000166,1,AC15,3,4,1.0,,False,temporal_dynamics,1,transition,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,data config portability and,3,4,47,18022,0.000166,1,AC15,3,3,0.75,,False,truth_and_fact,1,data,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,timeline and required controls,3,4,78,18022,0.000166,1,AC15,3,3,0.75,,False,practicality_and_feasibility;temporal_dynamics,1,timeline,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,city ownership of timing,3,4,41,18022,0.000166,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,civitas clears dot s,3,4,42,18022,0.000166,1,AC15,3,3,0.75,,False,,0,,civitas;dot,2,0.666667,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,exhibit with long lead,3,4,49,18022,0.000166,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,for after action review,3,4,50,18022,0.000166,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,long lead items and,3,4,63,18022,0.000166,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,tied to payment milestones,3,4,77,18022,0.000166,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,concrete way standard controllers,2,4,148,18022,0.000111,1,AC15,2,4,1.0,,False,practicality_and_feasibility,1,concrete,controllers,1,0.25,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,configurations logs performance data,2,4,150,18022,0.000111,1,AC15,2,4,1.0,,False,truth_and_fact,1,data,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,controllers data config portability,2,4,158,18022,0.000111,1,AC15,2,4,1.0,,False,truth_and_fact,1,data,controllers,1,0.25,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,documented formats transition assistance,2,4,169,18022,0.000111,1,AC15,2,4,1.0,,False,temporal_dynamics,1,transition,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,fewest external blockers civitas,2,4,184,18022,0.000111,1,AC15,2,4,1.0,,False,practicality_and_feasibility,1,blockers,civitas,1,0.25,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,formats transition assistance defined,2,4,189,18022,0.000111,1,AC15,2,4,1.0,,False,temporal_dynamics,1,transition,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,less long run evidence,2,4,229,18022,0.000111,1,AC15,2,4,1.0,,False,truth_and_fact,1,evidence,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,maintenance cost reduction vs,2,4,234,18022,0.000111,1,AC15,2,4,1.0,,False,practicality_and_feasibility,1,cost,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,more predictable near term,2,4,245,18022,0.000111,1,AC15,2,4,1.0,,False,temporal_dynamics,1,near term,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,predictable near term opex,2,4,272,18022,0.000111,1,AC15,2,4,1.0,,False,temporal_dynamics,1,near term,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,standard controllers data ownership,2,4,292,18022,0.000111,1,AC15,2,4,1.0,,False,truth_and_fact,1,data,controllers,1,0.25,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,a concrete critical path,2,4,88,18022,0.000111,1,AC15,2,3,0.75,,False,practicality_and_feasibility,1,concrete,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,a week selection window,2,4,94,18022,0.000111,1,AC15,2,3,0.75,,False,temporal_dynamics,1,window,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,in documented formats transition,2,4,204,18022,0.000111,1,AC15,2,3,0.75,,False,temporal_dynamics,1,transition,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,in standard controllers data,2,4,205,18022,0.000111,1,AC15,2,3,0.75,,False,truth_and_fact,1,data,controllers,1,0.333333,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,phased notice to proceed,2,4,269,18022,0.000111,1,AC15,2,3,0.75,,False,temporal_dynamics,1,phased,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,schedule exhibit with long,2,4,288,18022,0.000111,1,AC15,2,3,0.75,,False,practicality_and_feasibility,1,schedule,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,a phased notice to,2,4,90,18022,0.000111,1,AC15,2,2,0.5,,False,temporal_dynamics,1,phased,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,a phased start and,2,4,91,18022,0.000111,1,AC15,2,2,0.5,,False,temporal_dynamics,1,phased,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,and lock in risk,2,4,103,18022,0.000111,1,AC15,2,2,0.5,,False,practicality_and_feasibility,1,risk,lock in,1,0.5,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,cost and complexity that,2,4,159,18022,0.000111,1,AC15,2,2,0.5,,False,practicality_and_feasibility,1,cost,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,cost to maintain the,2,4,161,18022,0.000111,1,AC15,2,2,0.5,,False,practicality_and_feasibility,1,cost,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,on schedule if novagrid,2,4,259,18022,0.000111,1,AC15,2,2,0.5,,False,practicality_and_feasibility,1,schedule,novagrid,1,0.5,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,schedule if novagrid can,2,4,289,18022,0.000111,1,AC15,2,2,0.5,,False,practicality_and_feasibility,1,schedule,novagrid,1,0.5,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,with timeline and required,2,4,343,18022,0.000111,1,AC15,2,2,0.5,,False,practicality_and_feasibility;temporal_dynamics,1,timeline,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,adds adjustable recurring cloud,2,4,100,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,cloud,1,0.25,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,automatically no week waiver,2,4,120,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,waiver,1,0.25,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,central wan degradation during,2,4,138,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,comms down bad update,2,4,147,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,congestion improvements strong references,2,4,151,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,congestion,1,0.25,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,controller lead time weeks,2,4,153,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,controller;lead time,2,0.75,True
S1,Scenario 1 - Quadgrams,quadgrams,AC15,controller substitution rights pre,2,4,157,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,controller,1,0.25,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,day vs incident day,2,4,165,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,degraded mode operations rollback,2,4,167,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,detour incident retiming workflow,2,4,168,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,down comms down bad,2,4,175,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,down comms down rollback,2,4,177,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,emergency services input should,2,4,178,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,fees 90k year adjustable,2,4,183,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,90k,1,0.25,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,how much highway integration,2,4,192,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,highway,1,0.25,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,no week waiver gate,2,4,248,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,waiver,1,0.25,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,normal day vs incident,2,4,249,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,novagrid adds adjustable recurring,2,4,250,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,novagrid,1,0.25,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,operator workload under stress,2,4,261,18022,0.000111,1,AC15,2,4,1.0,,False,,0,,,0,0.0,False
