scenario,scenario_label,level,system,ngram,count,token_len,rank_within_system,system_sum_count,count_share_in_system,owner_count,owner_systems,global_ngram_count,content_token_count,content_token_ratio,scaffold_prefix,has_scaffold_prefix,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
S1,Scenario 1 - Quadgrams,quadgrams,AC15,would make us wrong,6,4,10,18022,0.000333,1,AC15,6,2,0.5,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,answer those i can,4,4,18,18022,0.000222,1,AC15,4,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,recommend civitas modular as,4,4,27,18022,0.000222,1,AC15,4,3,0.75,,False,,0,,civitas;modular,2,0.666667,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,with long lead items,4,4,32,18022,0.000222,1,AC15,4,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,city ownership of timing,3,4,41,18022,0.000166,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,civitas clears dot s,3,4,42,18022,0.000166,1,AC15,3,3,0.75,,False,,0,,civitas;dot,2,0.666667,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,exhibit with long lead,3,4,49,18022,0.000166,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,for after action review,3,4,50,18022,0.000166,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,long lead items and,3,4,63,18022,0.000166,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15,tied to payment milestones,3,4,77,18022,0.000166,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15P,it may be underestimated,7,4,2,17948,0.00039,1,AC15P,7,2,0.5,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15P,assistance clause pre priced,5,4,9,17948,0.000279,1,AC15P,5,4,1.0,,False,,0,,,0,0.0,False
S1,Scenario 1 - Quadgrams,quadgrams,AC15P,clause pre priced support,5,4,12,17948,0.000279,1,AC15P,5,4,1.0,,False,,0,,,0,0.0,False
