scenario,scenario_label,level,system,ngram,count,token_len,rank_within_system,system_sum_count,count_share_in_system,owner_count,owner_systems,global_ngram_count,content_token_count,content_token_ratio,scaffold_prefix,has_scaffold_prefix,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy
S3,Scenario 3 - Trigrams,trigrams,AC15,commissioning period exclusions,5,3,32,15883,0.000315,1,AC15,5,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,hardware rev b,5,3,38,15883,0.000315,1,AC15,5,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,for interference triggered,5,3,37,15883,0.000315,1,AC15,5,2,0.6667,,False,,0,,interference,1,0.5,False
S3,Scenario 3 - Trigrams,trigrams,AC15,certified operating envelope,4,3,53,15883,0.000252,1,AC15,4,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,interference triggered safety,4,3,61,15883,0.000252,1,AC15,4,3,1.0,,False,,0,,interference,1,0.333333,False
S3,Scenario 3 - Trigrams,trigrams,AC15,operating envelope v1,4,3,65,15883,0.000252,1,AC15,4,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,within a certified,4,3,78,15883,0.000252,1,AC15,4,2,0.6667,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,commissioning stabilization period,3,3,100,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,decks work faces,3,3,102,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,hot spares fast,3,3,116,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,interest fees warrants,3,3,127,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,keep out volumes,3,3,131,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,over critical corridors,3,3,142,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,roads decks work,3,3,152,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,series b condition,3,3,156,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,series b,1,0.666667,False
S3,Scenario 3 - Trigrams,trigrams,AC15,traffic control procedure,3,3,170,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,triggered safety landings,3,3,172,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,a supported operating,3,3,84,15883,0.000189,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,downtime definition or,3,3,106,15883,0.000189,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,max time to,3,3,132,15883,0.000189,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,redundancy such that,3,3,147,15883,0.000189,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15,you provide redundancy,3,3,183,15883,0.000189,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,corridors over haul,6,3,16,15876,0.000378,1,AC15P,6,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,low emi sites,6,3,21,15876,0.000378,1,AC15P,6,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,b shielding or,5,3,26,15876,0.000315,1,AC15P,5,2,0.6667,,False,,0,,shielding,1,0.5,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,the next round,5,3,40,15876,0.000315,1,AC15P,5,2,0.6667,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,will accept a,5,3,45,15876,0.000315,1,AC15P,5,2,0.6667,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,availability early access,4,3,54,15876,0.000252,1,AC15P,4,3,1.0,,False,,0,,early access,1,0.666667,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,de scope mining,4,3,57,15876,0.000252,1,AC15P,4,3,1.0,,False,,0,,mining,1,0.333333,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,high emi mining,4,3,60,15876,0.000252,1,AC15P,4,3,1.0,,False,,0,,mining,1,0.333333,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,la eap launch,4,3,66,15876,0.000252,1,AC15P,4,3,1.0,,False,,0,,launch,1,0.333333,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,limited availability early,4,3,67,15876,0.000252,1,AC15P,4,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,predefined safe loiter,4,3,71,15876,0.000252,1,AC15P,4,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,qualified low emi,4,3,72,15876,0.000252,1,AC15P,4,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,no or capped,4,3,68,15876,0.000252,1,AC15P,4,2,0.6667,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,penalty slas in,4,3,70,15876,0.000252,1,AC15P,4,2,0.6667,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,within the supported,4,3,85,15876,0.000252,1,AC15P,4,2,0.6667,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,agreed acceptance metrics,3,3,96,15876,0.000189,1,AC15P,3,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,capped downtime penalties,3,3,104,15876,0.000189,1,AC15P,3,3,1.0,,False,,0,,,0,0.0,False
S3,Scenario 3 - Trigrams,trigrams,AC15P,capped no penalties,3,3,105,15876,0.000189,1,AC15P,3,3,1.0,,False,,0,,,0,0.0,False
