scenario,level,system,core_rows,core_sum_count,constraint_candidate_rows,constraint_candidate_sum_count,high_count_no_hit_rows,high_count_no_hit_sum_count,scenario_driven_rows,scenario_driven_sum_count
S1,trigrams,CONTROL,210,480,35,82,32,112,10,22
S1,trigrams,AC15,238,517,32,70,27,89,2,5
S1,trigrams,AC15P,267,594,45,100,36,122,3,6
S1,trigrams,HYBRID_3_5,272,597,44,99,26,94,10,21
S1,trigrams,HYBRID_SEMANTIC,283,630,52,125,30,103,5,10
S3,trigrams,CONTROL,179,396,20,45,23,79,1,2
S3,trigrams,AC15,283,600,29,60,22,76,0,0
S3,trigrams,AC15P,300,672,26,54,48,166,1,2
S3,trigrams,HYBRID_3_5,221,499,18,38,26,107,1,2
S3,trigrams,HYBRID_SEMANTIC,269,595,33,78,34,113,1,2
S5,trigrams,CONTROL,163,361,23,59,19,60,2,4
S5,trigrams,AC15,178,389,40,88,19,63,3,6
S5,trigrams,AC15P,207,502,29,71,43,161,1,2
S5,trigrams,HYBRID_3_5,164,368,22,47,24,85,0,0
S5,trigrams,HYBRID_SEMANTIC,179,391,33,70,18,65,4,8
S7,trigrams,CONTROL,144,298,8,17,9,27,2,4
S7,trigrams,AC15,218,497,12,26,29,117,2,4
S7,trigrams,AC15P,255,551,16,32,35,111,1,2
S7,trigrams,HYBRID_3_5,159,335,21,43,13,42,2,4
S7,trigrams,HYBRID_SEMANTIC,184,389,19,39,12,44,1,2
S1,quadgrams,CONTROL,148,331,28,61,20,70,11,27
S1,quadgrams,AC15,134,289,29,63,10,36,6,12
S1,quadgrams,AC15P,186,414,31,73,23,77,9,19
S1,quadgrams,HYBRID_3_5,181,385,33,72,12,41,3,6
S1,quadgrams,HYBRID_SEMANTIC,183,391,42,91,15,48,7,14
S3,quadgrams,CONTROL,109,230,10,21,10,31,1,2
S3,quadgrams,AC15,152,320,17,34,11,38,1,2
S3,quadgrams,AC15P,171,365,10,21,16,54,4,8
S3,quadgrams,HYBRID_3_5,133,296,14,31,19,65,1,2
S3,quadgrams,HYBRID_SEMANTIC,159,336,17,36,13,42,2,4
S5,quadgrams,CONTROL,77,165,11,32,1,3,0,0
S5,quadgrams,AC15,93,201,29,65,8,24,1,2
S5,quadgrams,AC15P,112,258,15,36,16,60,0,0
S5,quadgrams,HYBRID_3_5,91,198,21,46,7,26,0,0
S5,quadgrams,HYBRID_SEMANTIC,89,192,29,62,7,24,1,2
S7,quadgrams,CONTROL,112,231,8,16,7,21,2,4
S7,quadgrams,AC15,154,335,7,15,14,54,1,2
S7,quadgrams,AC15P,178,395,9,18,25,89,1,2
S7,quadgrams,HYBRID_3_5,119,255,11,22,8,33,1,2
S7,quadgrams,HYBRID_SEMANTIC,137,288,12,24,8,30,1,2
