scenario,level,system,constraint_name,row_count,sum_count
S1,trigrams,AC15,practicality_and_feasibility,14,29
S1,trigrams,AC15,temporal_dynamics,17,40
S1,trigrams,AC15,truth_and_fact,3,6
S1,trigrams,AC15P,imagination_and_possibility,4,8
S1,trigrams,AC15P,practicality_and_feasibility,26,56
S1,trigrams,AC15P,temporal_dynamics,8,17
S1,trigrams,AC15P,truth_and_fact,9,23
S1,trigrams,CONTROL,imagination_and_possibility,7,14
S1,trigrams,CONTROL,practicality_and_feasibility,13,30
S1,trigrams,CONTROL,temporal_dynamics,9,22
S1,trigrams,CONTROL,truth_and_fact,9,22
S1,trigrams,HYBRID_3_5,imagination_and_possibility,5,12
S1,trigrams,HYBRID_3_5,practicality_and_feasibility,24,52
S1,trigrams,HYBRID_3_5,temporal_dynamics,8,21
S1,trigrams,HYBRID_3_5,truth_and_fact,11,23
S1,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,9,18
S1,trigrams,HYBRID_SEMANTIC,practicality_and_feasibility,22,50
S1,trigrams,HYBRID_SEMANTIC,temporal_dynamics,23,54
S1,trigrams,HYBRID_SEMANTIC,truth_and_fact,3,13
S3,trigrams,AC15,imagination_and_possibility,2,4
S3,trigrams,AC15,practicality_and_feasibility,12,25
S3,trigrams,AC15,temporal_dynamics,11,23
S3,trigrams,AC15,truth_and_fact,7,14
S3,trigrams,AC15P,imagination_and_possibility,5,10
S3,trigrams,AC15P,practicality_and_feasibility,9,19
S3,trigrams,AC15P,temporal_dynamics,8,17
S3,trigrams,AC15P,truth_and_fact,5,10
S3,trigrams,CONTROL,imagination_and_possibility,3,6
S3,trigrams,CONTROL,practicality_and_feasibility,8,21
S3,trigrams,CONTROL,temporal_dynamics,6,12
S3,trigrams,CONTROL,truth_and_fact,6,12
S3,trigrams,HYBRID_3_5,imagination_and_possibility,1,2
S3,trigrams,HYBRID_3_5,practicality_and_feasibility,11,24
S3,trigrams,HYBRID_3_5,temporal_dynamics,2,4
S3,trigrams,HYBRID_3_5,truth_and_fact,5,10
S3,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,16,43
S3,trigrams,HYBRID_SEMANTIC,practicality_and_feasibility,12,25
S3,trigrams,HYBRID_SEMANTIC,temporal_dynamics,8,18
S5,trigrams,AC15,imagination_and_possibility,1,2
S5,trigrams,AC15,practicality_and_feasibility,13,27
S5,trigrams,AC15,temporal_dynamics,11,26
S5,trigrams,AC15,truth_and_fact,18,40
S5,trigrams,AC15P,imagination_and_possibility,2,4
S5,trigrams,AC15P,practicality_and_feasibility,5,11
S5,trigrams,AC15P,temporal_dynamics,11,28
S5,trigrams,AC15P,truth_and_fact,14,35
S5,trigrams,CONTROL,practicality_and_feasibility,5,20
S5,trigrams,CONTROL,temporal_dynamics,4,8
S5,trigrams,CONTROL,truth_and_fact,14,31
S5,trigrams,HYBRID_3_5,imagination_and_possibility,3,7
S5,trigrams,HYBRID_3_5,practicality_and_feasibility,2,4
S5,trigrams,HYBRID_3_5,temporal_dynamics,9,18
S5,trigrams,HYBRID_3_5,truth_and_fact,10,23
S5,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,3,6
S5,trigrams,HYBRID_SEMANTIC,practicality_and_feasibility,9,18
S5,trigrams,HYBRID_SEMANTIC,temporal_dynamics,7,16
S5,trigrams,HYBRID_SEMANTIC,truth_and_fact,16,34
S7,trigrams,AC15,imagination_and_possibility,4,9
S7,trigrams,AC15,practicality_and_feasibility,3,6
S7,trigrams,AC15,temporal_dynamics,3,7
S7,trigrams,AC15,truth_and_fact,2,4
S7,trigrams,AC15P,imagination_and_possibility,2,4
S7,trigrams,AC15P,practicality_and_feasibility,6,12
S7,trigrams,AC15P,temporal_dynamics,6,12
S7,trigrams,AC15P,truth_and_fact,3,6
S7,trigrams,CONTROL,imagination_and_possibility,4,9
S7,trigrams,CONTROL,practicality_and_feasibility,3,6
S7,trigrams,CONTROL,temporal_dynamics,1,2
S7,trigrams,CONTROL,truth_and_fact,1,2
S7,trigrams,HYBRID_3_5,imagination_and_possibility,3,6
S7,trigrams,HYBRID_3_5,practicality_and_feasibility,12,24
S7,trigrams,HYBRID_3_5,temporal_dynamics,7,15
S7,trigrams,HYBRID_3_5,truth_and_fact,2,4
S7,trigrams,HYBRID_SEMANTIC,imagination_and_possibility,5,11
S7,trigrams,HYBRID_SEMANTIC,practicality_and_feasibility,9,18
S7,trigrams,HYBRID_SEMANTIC,temporal_dynamics,6,12
S7,trigrams,HYBRID_SEMANTIC,truth_and_fact,3,6
S1,quadgrams,AC15,practicality_and_feasibility,12,25
S1,quadgrams,AC15,temporal_dynamics,13,30
S1,quadgrams,AC15,truth_and_fact,7,17
S1,quadgrams,AC15P,imagination_and_possibility,2,4
S1,quadgrams,AC15P,practicality_and_feasibility,16,34
S1,quadgrams,AC15P,temporal_dynamics,9,22
S1,quadgrams,AC15P,truth_and_fact,5,15
S1,quadgrams,CONTROL,imagination_and_possibility,5,10
S1,quadgrams,CONTROL,practicality_and_feasibility,11,24
S1,quadgrams,CONTROL,temporal_dynamics,5,13
S1,quadgrams,CONTROL,truth_and_fact,8,16
S1,quadgrams,HYBRID_3_5,imagination_and_possibility,4,10
S1,quadgrams,HYBRID_3_5,practicality_and_feasibility,16,33
S1,quadgrams,HYBRID_3_5,temporal_dynamics,7,16
S1,quadgrams,HYBRID_3_5,truth_and_fact,8,17
S1,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,9,18
S1,quadgrams,HYBRID_SEMANTIC,practicality_and_feasibility,16,33
S1,quadgrams,HYBRID_SEMANTIC,temporal_dynamics,23,52
S1,quadgrams,HYBRID_SEMANTIC,truth_and_fact,1,2
S3,quadgrams,AC15,imagination_and_possibility,2,4
S3,quadgrams,AC15,practicality_and_feasibility,6,12
S3,quadgrams,AC15,temporal_dynamics,6,12
S3,quadgrams,AC15,truth_and_fact,3,6
S3,quadgrams,AC15P,imagination_and_possibility,3,6
S3,quadgrams,AC15P,practicality_and_feasibility,2,5
S3,quadgrams,AC15P,temporal_dynamics,3,6
S3,quadgrams,AC15P,truth_and_fact,2,4
S3,quadgrams,CONTROL,imagination_and_possibility,1,2
S3,quadgrams,CONTROL,practicality_and_feasibility,4,9
S3,quadgrams,CONTROL,temporal_dynamics,4,8
S3,quadgrams,CONTROL,truth_and_fact,2,4
S3,quadgrams,HYBRID_3_5,imagination_and_possibility,1,2
S3,quadgrams,HYBRID_3_5,practicality_and_feasibility,6,14
S3,quadgrams,HYBRID_3_5,temporal_dynamics,1,3
S3,quadgrams,HYBRID_3_5,truth_and_fact,6,12
S3,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,9,20
S3,quadgrams,HYBRID_SEMANTIC,practicality_and_feasibility,7,14
S3,quadgrams,HYBRID_SEMANTIC,temporal_dynamics,4,9
S5,quadgrams,AC15,practicality_and_feasibility,9,19
S5,quadgrams,AC15,temporal_dynamics,8,22
S5,quadgrams,AC15,truth_and_fact,16,34
S5,quadgrams,AC15P,imagination_and_possibility,1,2
S5,quadgrams,AC15P,practicality_and_feasibility,2,4
S5,quadgrams,AC15P,temporal_dynamics,8,19
S5,quadgrams,AC15P,truth_and_fact,5,13
S5,quadgrams,CONTROL,practicality_and_feasibility,5,20
S5,quadgrams,CONTROL,temporal_dynamics,1,2
S5,quadgrams,CONTROL,truth_and_fact,5,10
S5,quadgrams,HYBRID_3_5,imagination_and_possibility,1,2
S5,quadgrams,HYBRID_3_5,practicality_and_feasibility,4,12
S5,quadgrams,HYBRID_3_5,temporal_dynamics,8,16
S5,quadgrams,HYBRID_3_5,truth_and_fact,9,18
S5,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,2,4
S5,quadgrams,HYBRID_SEMANTIC,practicality_and_feasibility,12,24
S5,quadgrams,HYBRID_SEMANTIC,temporal_dynamics,4,10
S5,quadgrams,HYBRID_SEMANTIC,truth_and_fact,14,30
S7,quadgrams,AC15,practicality_and_feasibility,3,6
S7,quadgrams,AC15,temporal_dynamics,2,5
S7,quadgrams,AC15,truth_and_fact,2,4
S7,quadgrams,AC15P,practicality_and_feasibility,1,2
S7,quadgrams,AC15P,temporal_dynamics,6,12
S7,quadgrams,AC15P,truth_and_fact,2,4
S7,quadgrams,CONTROL,imagination_and_possibility,4,8
S7,quadgrams,CONTROL,practicality_and_feasibility,2,4
S7,quadgrams,CONTROL,temporal_dynamics,2,4
S7,quadgrams,CONTROL,truth_and_fact,1,2
S7,quadgrams,HYBRID_3_5,imagination_and_possibility,1,2
S7,quadgrams,HYBRID_3_5,practicality_and_feasibility,7,14
S7,quadgrams,HYBRID_3_5,temporal_dynamics,3,6
S7,quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,5,10
S7,quadgrams,HYBRID_SEMANTIC,practicality_and_feasibility,4,8
S7,quadgrams,HYBRID_SEMANTIC,temporal_dynamics,3,6
S7,quadgrams,HYBRID_SEMANTIC,truth_and_fact,3,6
