scenario,scenario_label,level,system,ngram,count,token_len,rank_within_system,system_sum_count,count_share_in_system,owner_count,owner_systems,global_ngram_count,content_token_count,content_token_ratio,scaffold_prefix,has_scaffold_prefix,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,matched_expression_groups,expression_group_count,matched_expression_terms,matched_expression_layers,constraint_aligned_group_count,cross_cutting_group_count,matched_expression_subgroups,expression_subgroup_count,expression_group,expression_group_layer,expression_subgroup
S3,Scenario 3 - Trigrams,trigrams,AC15,and penalty schedule,3,3,90,15883,0.000189,1,AC15,3,2,0.6667,,False,practicality_and_feasibility,1,schedule,,0,0.0,False,practical_considerations_and_execution,1,schedule,constraint_aligned,1,0,practical_considerations_and_execution:resources_timing_conditions,1,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions
S3,Scenario 3 - Trigrams,trigrams,AC15,prototype validated evt,2,3,559,15883,0.000126,1,AC15,2,3,1.0,,False,imagination_and_possibility,1,prototype,,0,0.0,False,imagination_and_possibility;truth,2,prototype;validat;validated,constraint_aligned,2,0,imagination_and_possibility:exploration_within_bounds;imagination_and_possibility:path_toward_feasibility;truth:verification,3,imagination_and_possibility,constraint_aligned,exploration_within_bounds
S3,Scenario 3 - Trigrams,trigrams,AC15,prototype validated evt,2,3,559,15883,0.000126,1,AC15,2,3,1.0,,False,imagination_and_possibility,1,prototype,,0,0.0,False,imagination_and_possibility;truth,2,prototype;validat;validated,constraint_aligned,2,0,imagination_and_possibility:exploration_within_bounds;imagination_and_possibility:path_toward_feasibility;truth:verification,3,imagination_and_possibility,constraint_aligned,path_toward_feasibility
S3,Scenario 3 - Trigrams,trigrams,AC15,prototype validated evt,2,3,559,15883,0.000126,1,AC15,2,3,1.0,,False,imagination_and_possibility,1,prototype,,0,0.0,False,imagination_and_possibility;truth,2,prototype;validat;validated,constraint_aligned,2,0,imagination_and_possibility:exploration_within_bounds;imagination_and_possibility:path_toward_feasibility;truth:verification,3,truth,constraint_aligned,verification
S3,Scenario 3 - Trigrams,trigrams,AC15,shielding prototype validated,2,3,615,15883,0.000126,1,AC15,2,3,1.0,,False,imagination_and_possibility,1,prototype,shielding,1,0.333333,False,imagination_and_possibility;truth,2,prototype;validat;validated,constraint_aligned,2,0,imagination_and_possibility:exploration_within_bounds;imagination_and_possibility:path_toward_feasibility;truth:verification,3,imagination_and_possibility,constraint_aligned,exploration_within_bounds
S3,Scenario 3 - Trigrams,trigrams,AC15,shielding prototype validated,2,3,615,15883,0.000126,1,AC15,2,3,1.0,,False,imagination_and_possibility,1,prototype,shielding,1,0.333333,False,imagination_and_possibility;truth,2,prototype;validat;validated,constraint_aligned,2,0,imagination_and_possibility:exploration_within_bounds;imagination_and_possibility:path_toward_feasibility;truth:verification,3,imagination_and_possibility,constraint_aligned,path_toward_feasibility
S3,Scenario 3 - Trigrams,trigrams,AC15,shielding prototype validated,2,3,615,15883,0.000126,1,AC15,2,3,1.0,,False,imagination_and_possibility,1,prototype,shielding,1,0.333333,False,imagination_and_possibility;truth,2,prototype;validat;validated,constraint_aligned,2,0,imagination_and_possibility:exploration_within_bounds;imagination_and_possibility:path_toward_feasibility;truth:verification,3,truth,constraint_aligned,verification
S3,Scenario 3 - Trigrams,trigrams,AC15,constrained launch parallel,2,3,296,15883,0.000126,1,AC15,2,3,1.0,,False,practicality_and_feasibility,1,constrained,launch,1,0.333333,False,practical_considerations_and_execution,1,constrain;constrained;launch,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution;practical_considerations_and_execution:constraints_and_tradeoffs,2,practical_considerations_and_execution,constraint_aligned,action_and_execution
S3,Scenario 3 - Trigrams,trigrams,AC15,constrained launch parallel,2,3,296,15883,0.000126,1,AC15,2,3,1.0,,False,practicality_and_feasibility,1,constrained,launch,1,0.333333,False,practical_considerations_and_execution,1,constrain;constrained;launch,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution;practical_considerations_and_execution:constraints_and_tradeoffs,2,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs
S3,Scenario 3 - Trigrams,trigrams,AC15,constrained launch path,2,3,297,15883,0.000126,1,AC15,2,3,1.0,,False,practicality_and_feasibility,1,constrained,launch,1,0.333333,False,practical_considerations_and_execution,1,constrain;constrained;launch,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution;practical_considerations_and_execution:constraints_and_tradeoffs,2,practical_considerations_and_execution,constraint_aligned,action_and_execution
S3,Scenario 3 - Trigrams,trigrams,AC15,constrained launch path,2,3,297,15883,0.000126,1,AC15,2,3,1.0,,False,practicality_and_feasibility,1,constrained,launch,1,0.333333,False,practical_considerations_and_execution,1,constrain;constrained;launch,constraint_aligned,1,0,practical_considerations_and_execution:action_and_execution;practical_considerations_and_execution:constraints_and_tradeoffs,2,practical_considerations_and_execution,constraint_aligned,constraints_and_tradeoffs
S3,Scenario 3 - Trigrams,trigrams,AC15,cost of disruption,2,3,309,15883,0.000126,1,AC15,2,2,0.6667,,False,practicality_and_feasibility;temporal_dynamics,2,cost;disruption,,0,0.0,False,practical_considerations_and_execution,1,cost,constraint_aligned,1,0,practical_considerations_and_execution:resources_timing_conditions,1,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions
S3,Scenario 3 - Trigrams,trigrams,AC15,reliable detection mitigation,2,3,575,15883,0.000126,1,AC15,2,3,1.0,,False,practicality_and_feasibility;truth_and_fact,2,mitigation;reliable,,0,0.0,False,practical_considerations_and_execution,1,mitigat;mitigation,constraint_aligned,1,0,practical_considerations_and_execution:resources_timing_conditions,1,practical_considerations_and_execution,constraint_aligned,resources_timing_conditions
S3,Scenario 3 - Trigrams,trigrams,AC15,a more robust,2,3,207,15883,0.000126,1,AC15,2,2,0.6667,,False,temporal_dynamics,1,robust,,0,0.0,False,temporal_projection,1,robust,constraint_aligned,1,0,temporal_projection:robustness_and_resilience,1,temporal_projection,constraint_aligned,robustness_and_resilience
S3,Scenario 3 - Trigrams,trigrams,AC15,claims are truthful,2,3,290,15883,0.000126,1,AC15,2,2,0.6667,,False,truth_and_fact,1,claims,,0,0.0,False,truth,1,truthful,constraint_aligned,1,0,truth:fact_vs_interpretation,1,truth,constraint_aligned,fact_vs_interpretation
