scenario,scenario_label,level,system,ngram,count,token_len,rank_within_system,system_sum_count,count_share_in_system,owner_count,owner_systems,global_ngram_count,content_token_count,content_token_ratio,scaffold_prefix,has_scaffold_prefix,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,matched_expression_groups,expression_group_count,matched_expression_terms,matched_expression_layers,constraint_aligned_group_count,cross_cutting_group_count,matched_expression_subgroups,expression_subgroup_count
S3,Scenario 3 - Quadgrams,quadgrams,AC15,exclusions for interference triggered,5,4,4,15882,0.000315,1,AC15,5,3,0.75,,False,,0,,interference,1,0.333333,False,,0,,,0,0,,0
S3,Scenario 3 - Quadgrams,quadgrams,AC15,explicit exclusions for interference,4,4,7,15882,0.000252,1,AC15,4,3,0.75,,False,,0,,interference,1,0.333333,False,,0,,,0,0,,0
S3,Scenario 3 - Quadgrams,quadgrams,AC15,for interference triggered safety,4,4,8,15882,0.000252,1,AC15,4,3,0.75,,False,,0,,interference,1,0.333333,False,,0,,,0,0,,0
S3,Scenario 3 - Quadgrams,quadgrams,AC15,supported operating envelope v1,4,4,9,15882,0.000252,1,AC15,4,4,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Quadgrams,quadgrams,AC15,a certified operating envelope,3,4,13,15882,0.000189,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Quadgrams,quadgrams,AC15,a safety hover landing,3,4,14,15882,0.000189,1,AC15,3,3,0.75,,False,,0,,hover;safety hover,2,0.666667,False,,0,,,0,0,,0
S3,Scenario 3 - Quadgrams,quadgrams,AC15,a supported operating envelope,3,4,16,15882,0.000189,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Quadgrams,quadgrams,AC15,interference triggered safety landings,3,4,30,15882,0.000189,1,AC15,3,4,1.0,,False,,0,,interference,1,0.25,False,,0,,,0,0,,0
S3,Scenario 3 - Quadgrams,quadgrams,AC15,max time to clear,3,4,34,15882,0.000189,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Quadgrams,quadgrams,AC15,roads decks work faces,3,4,38,15882,0.000189,1,AC15,3,4,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Quadgrams,quadgrams,AC15,within a certified operating,3,4,46,15882,0.000189,1,AC15,3,3,0.75,,False,,0,,,0,0.0,False,,0,,,0,0,,0
