scenario,scenario_label,level,system,ngram,count,token_len,rank_within_system,system_sum_count,count_share_in_system,owner_count,owner_systems,global_ngram_count,content_token_count,content_token_ratio,scaffold_prefix,has_scaffold_prefix,matched_constraints,constraint_hit_count,matched_lexicon_terms,matched_scenario_terms,scenario_hit_count,scenario_token_ratio,scenario_heavy,matched_expression_groups,expression_group_count,matched_expression_terms,matched_expression_layers,constraint_aligned_group_count,cross_cutting_group_count,matched_expression_subgroups,expression_subgroup_count
S3,Scenario 3 - Trigrams,trigrams,AC15,commissioning period exclusions,5,3,32,15883,0.000315,1,AC15,5,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,for interference triggered,5,3,37,15883,0.000315,1,AC15,5,2,0.6667,,False,,0,,interference,1,0.5,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,hardware rev b,5,3,38,15883,0.000315,1,AC15,5,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,certified operating envelope,4,3,53,15883,0.000252,1,AC15,4,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,interference triggered safety,4,3,61,15883,0.000252,1,AC15,4,3,1.0,,False,,0,,interference,1,0.333333,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,operating envelope v1,4,3,65,15883,0.000252,1,AC15,4,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,within a certified,4,3,78,15883,0.000252,1,AC15,4,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,operationally non disruptive,3,3,139,15883,0.000189,1,AC15,3,3,1.0,,False,temporal_dynamics,1,disruptive,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,a supported operating,3,3,84,15883,0.000189,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,commissioning stabilization period,3,3,100,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,decks work faces,3,3,102,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,downtime definition or,3,3,106,15883,0.000189,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,hot spares fast,3,3,116,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,interest fees warrants,3,3,127,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,keep out volumes,3,3,131,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,max time to,3,3,132,15883,0.000189,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,over critical corridors,3,3,142,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,redundancy such that,3,3,147,15883,0.000189,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,roads decks work,3,3,152,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,series b condition,3,3,156,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,series b,1,0.666667,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,traffic control procedure,3,3,170,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,triggered safety landings,3,3,172,15883,0.000189,1,AC15,3,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,you provide redundancy,3,3,183,15883,0.000189,1,AC15,3,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,credible worst case,2,3,312,15883,0.000126,1,AC15,2,3,1.0,,False,truth_and_fact,1,credible,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,public claims no,2,3,561,15883,0.000126,1,AC15,2,3,1.0,,False,truth_and_fact,1,claims,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,unreliable before you,2,3,712,15883,0.000126,1,AC15,2,2,0.6667,,False,truth_and_fact,1,unreliable,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,a commissioning period,2,3,190,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,a commissioning stabilization,2,3,191,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,a critical corridor,2,3,194,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,a dated rev,2,3,195,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,a financing strategy,2,3,198,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,a high visibility,2,3,202,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,a page model,2,3,208,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,a penalty sla,2,3,209,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,accountable technical owners,2,3,216,15883,0.000126,1,AC15,2,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,aircraft hot spares,2,3,218,15883,0.000126,1,AC15,2,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,an enforceable envelope,2,3,222,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,an engineer signed,2,3,223,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,and p ruin,2,3,228,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,and recovery bounds,2,3,229,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,and site specific,2,3,230,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,any partner with,2,3,235,15883,0.000126,1,AC15,2,2,0.6667,,False,,0,,,0,0.0,False,,0,,,0,0,,0
S3,Scenario 3 - Trigrams,trigrams,AC15,architect has veto,2,3,237,15883,0.000126,1,AC15,2,3,1.0,,False,,0,,,0,0.0,False,,0,,,0,0,,0
