scenario,level,system,grouped_rows,grouped_sum_count,ungrouped_rows,ungrouped_sum_count,scenario_heavy_grouped_rows,scenario_heavy_grouped_sum_count,constraint_aligned_grouped_rows,constraint_aligned_grouped_sum_count,cross_cutting_grouped_rows,cross_cutting_grouped_sum_count
S1,trigrams,CONTROL,48,124,162,356,0,0,32,78,17,48
S1,trigrams,AC15,58,127,180,390,0,0,48,103,14,32
S1,trigrams,AC15P,64,140,203,454,0,0,54,115,15,35
S1,trigrams,HYBRID_3_5,64,141,208,456,0,0,48,105,17,38
S1,trigrams,HYBRID_SEMANTIC,74,167,209,463,0,0,66,147,11,26
S3,trigrams,CONTROL,37,84,142,312,1,2,23,50,20,46
S3,trigrams,AC15,47,95,236,505,0,0,40,81,7,14
S3,trigrams,AC15P,78,167,222,505,0,0,61,129,21,46
S3,trigrams,HYBRID_3_5,59,145,162,354,0,0,42,89,20,62
S3,trigrams,HYBRID_SEMANTIC,73,170,196,425,0,0,61,143,13,29
S5,trigrams,CONTROL,45,106,118,255,0,0,33,80,16,35
S5,trigrams,AC15,58,125,120,264,2,4,50,109,10,20
S5,trigrams,AC15P,65,160,142,342,1,2,50,128,17,36
S5,trigrams,HYBRID_3_5,36,77,128,291,0,0,29,63,9,18
S5,trigrams,HYBRID_SEMANTIC,50,104,129,287,0,0,33,70,20,40
S7,trigrams,CONTROL,27,57,117,241,0,0,15,31,13,28
S7,trigrams,AC15,51,109,167,388,1,2,30,64,22,47
S7,trigrams,AC15P,58,122,197,429,0,0,40,85,18,37
S7,trigrams,HYBRID_3_5,42,90,117,245,1,2,20,42,22,48
S7,trigrams,HYBRID_SEMANTIC,48,104,136,285,0,0,28,56,26,60
S1,quadgrams,CONTROL,40,97,108,234,0,0,25,55,15,42
S1,quadgrams,AC15,38,84,96,205,0,0,29,62,10,24
S1,quadgrams,AC15P,48,110,138,304,1,2,41,90,12,31
S1,quadgrams,HYBRID_3_5,52,114,129,271,0,0,38,81,16,37
S1,quadgrams,HYBRID_SEMANTIC,62,133,121,258,0,0,56,120,9,19
S3,quadgrams,CONTROL,29,62,80,168,1,2,21,43,16,35
S3,quadgrams,AC15,31,62,121,258,0,0,27,54,4,8
S3,quadgrams,AC15P,43,91,128,274,2,4,31,65,15,32
S3,quadgrams,HYBRID_3_5,41,100,92,196,0,0,27,58,15,44
S3,quadgrams,HYBRID_SEMANTIC,43,93,116,243,1,2,34,74,11,23
S5,quadgrams,CONTROL,21,52,56,113,0,0,15,40,8,16
S5,quadgrams,AC15,43,93,50,108,0,0,36,79,8,16
S5,quadgrams,AC15P,44,100,68,158,0,0,33,78,12,24
S5,quadgrams,HYBRID_3_5,35,75,56,123,0,0,26,56,12,25
S5,quadgrams,HYBRID_SEMANTIC,41,86,48,106,0,0,27,58,15,30
S7,quadgrams,CONTROL,25,51,87,180,0,0,10,20,15,31
S7,quadgrams,AC15,42,86,112,249,1,2,23,47,19,39
S7,quadgrams,AC15P,43,98,135,297,0,0,25,54,18,44
S7,quadgrams,HYBRID_3_5,28,64,91,191,0,0,10,20,18,44
S7,quadgrams,HYBRID_SEMANTIC,38,83,99,205,0,0,23,46,21,49
