scenario,level,expression_group_layer,expression_group,row_count,sum_count,system_count,systems,share_of_scenario_level_grouped_rows,share_of_scenario_level_grouped_sum
S1,quadgrams,cross_cutting,autonomy_sovereignty,2,4,2,HYBRID_3_5;HYBRID_SEMANTIC,0.008333,0.007435
S1,quadgrams,cross_cutting,conditions,4,9,3,CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.016667,0.016729
S1,quadgrams,cross_cutting,hedging,16,47,4,AC15;AC15P;CONTROL;HYBRID_SEMANTIC,0.066667,0.087361
S1,quadgrams,constraint_aligned,imagination_and_possibility,10,20,2,AC15P;HYBRID_SEMANTIC,0.041667,0.037175
S1,quadgrams,constraint_aligned,practical_considerations_and_execution,97,206,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.404167,0.382900
S1,quadgrams,cross_cutting,surfacing,22,57,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.091667,0.105948
S1,quadgrams,constraint_aligned,temporal_projection,66,150,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.275000,0.278810
S1,quadgrams,constraint_aligned,truth,42,84,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.175000,0.156134
S1,quadgrams,cross_cutting,warning,18,36,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.075000,0.066914
S1,trigrams,cross_cutting,autonomy_sovereignty,4,8,2,HYBRID_3_5;HYBRID_SEMANTIC,0.012987,0.011445
S1,trigrams,cross_cutting,conditions,5,11,4,AC15;AC15P;CONTROL;HYBRID_3_5,0.016234,0.015737
S1,trigrams,cross_cutting,hedging,15,46,4,AC15;AC15P;CONTROL;HYBRID_SEMANTIC,0.048701,0.065808
S1,trigrams,constraint_aligned,imagination_and_possibility,10,20,3,AC15P;HYBRID_3_5;HYBRID_SEMANTIC,0.032468,0.028612
S1,trigrams,constraint_aligned,practical_considerations_and_execution,138,298,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.448052,0.426323
S1,trigrams,cross_cutting,surfacing,23,59,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.074675,0.084406
S1,trigrams,constraint_aligned,temporal_projection,78,182,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.253247,0.260372
S1,trigrams,constraint_aligned,truth,46,101,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.149351,0.144492
S1,trigrams,cross_cutting,warning,27,55,5,AC15;AC15P;CONTROL;HYBRID_3_5;HYBRID_SEMANTIC,0.087662,0.078684
