level,system,expression_group,row_count,sum_count,scenario_count,scenarios,share_of_system_level_anchor_rows,share_of_system_level_anchor_sum
quadgrams,AC15,imagination_and_possibility,3,6,2,S3;S7,0.022727,0.021277
quadgrams,AC15,practical_considerations_and_execution,63,131,4,S1;S3;S5;S7,0.477273,0.464539
quadgrams,AC15,temporal_projection,39,88,4,S1;S3;S5;S7,0.295455,0.312057
quadgrams,AC15,truth,27,57,4,S1;S3;S5;S7,0.204545,0.202128
quadgrams,AC15P,imagination_and_possibility,13,28,4,S1;S3;S5;S7,0.090909,0.088328
quadgrams,AC15P,practical_considerations_and_execution,65,141,4,S1;S3;S5;S7,0.454545,0.444795
quadgrams,AC15P,temporal_projection,45,104,4,S1;S3;S5;S7,0.314685,0.328076
quadgrams,AC15P,truth,20,44,4,S1;S3;S5;S7,0.139860,0.138801
quadgrams,CONTROL,imagination_and_possibility,1,2,1,S3,0.012987,0.011765
quadgrams,CONTROL,practical_considerations_and_execution,38,89,4,S1;S3;S5;S7,0.493506,0.523529
quadgrams,CONTROL,temporal_projection,25,53,4,S1;S3;S5;S7,0.324675,0.311765
quadgrams,CONTROL,truth,13,26,3,S1;S3;S5,0.168831,0.152941
quadgrams,HYBRID_3_5,imagination_and_possibility,4,8,2,S3;S5,0.037383,0.035242
quadgrams,HYBRID_3_5,practical_considerations_and_execution,46,102,4,S1;S3;S5;S7,0.429907,0.449339
quadgrams,HYBRID_3_5,temporal_projection,28,59,4,S1;S3;S5;S7,0.261682,0.259912
quadgrams,HYBRID_3_5,truth,29,58,4,S1;S3;S5;S7,0.271028,0.255507
quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,25,52,4,S1;S3;S5;S7,0.150602,0.147727
quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,68,138,4,S1;S3;S5;S7,0.409639,0.392045
quadgrams,HYBRID_SEMANTIC,temporal_projection,39,92,4,S1;S3;S5;S7,0.234940,0.261364
quadgrams,HYBRID_SEMANTIC,truth,34,70,3,S1;S5;S7,0.204819,0.198864
trigrams,AC15,imagination_and_possibility,7,15,3,S3;S5;S7,0.037634,0.037594
trigrams,AC15,practical_considerations_and_execution,93,195,4,S1;S3;S5;S7,0.500000,0.488722
trigrams,AC15,temporal_projection,54,119,4,S1;S3;S5;S7,0.290323,0.298246
trigrams,AC15,truth,32,70,4,S1;S3;S5;S7,0.172043,0.175439
trigrams,AC15P,imagination_and_possibility,17,37,4,S1;S3;S5;S7,0.078341,0.076132
trigrams,AC15P,practical_considerations_and_execution,109,235,4,S1;S3;S5;S7,0.502304,0.483539
trigrams,AC15P,temporal_projection,57,135,4,S1;S3;S5;S7,0.262673,0.277778
trigrams,AC15P,truth,34,79,4,S1;S3;S5;S7,0.156682,0.162551
trigrams,CONTROL,imagination_and_possibility,1,2,1,S3,0.008929,0.007722
trigrams,CONTROL,practical_considerations_and_execution,49,119,4,S1;S3;S5;S7,0.437500,0.459459
trigrams,CONTROL,temporal_projection,36,81,4,S1;S3;S5;S7,0.321429,0.312741
trigrams,CONTROL,truth,26,57,4,S1;S3;S5;S7,0.232143,0.220077
trigrams,HYBRID_3_5,imagination_and_possibility,6,13,3,S1;S3;S5,0.039474,0.039755
trigrams,HYBRID_3_5,practical_considerations_and_execution,72,152,4,S1;S3;S5;S7,0.473684,0.464832
trigrams,HYBRID_3_5,temporal_projection,38,86,4,S1;S3;S5;S7,0.250000,0.262997
trigrams,HYBRID_3_5,truth,36,76,4,S1;S3;S5;S7,0.236842,0.232416
trigrams,HYBRID_SEMANTIC,imagination_and_possibility,30,71,4,S1;S3;S5;S7,0.148515,0.158837
trigrams,HYBRID_SEMANTIC,practical_considerations_and_execution,90,192,4,S1;S3;S5;S7,0.445545,0.429530
trigrams,HYBRID_SEMANTIC,temporal_projection,42,95,4,S1;S3;S5;S7,0.207921,0.212528
trigrams,HYBRID_SEMANTIC,truth,40,89,4,S1;S3;S5;S7,0.198020,0.199105
