level,system,expression_group,expression_subgroup,row_count,sum_count,scenario_count,scenarios,share_of_system_level_group_subgroup_rows,share_of_system_level_group_subgroup_sum
quadgrams,AC15,imagination_and_possibility,exploration_within_bounds,2,4,1,S3,0.400000,0.400000
quadgrams,AC15,imagination_and_possibility,path_toward_feasibility,2,4,1,S3,0.400000,0.400000
quadgrams,AC15,imagination_and_possibility,tension_as_fuel,1,2,1,S7,0.200000,0.200000
quadgrams,AC15,practical_considerations_and_execution,action_and_execution,33,69,4,S1;S3;S5;S7,0.515625,0.518797
quadgrams,AC15,practical_considerations_and_execution,constraints_and_tradeoffs,15,31,3,S3;S5;S7,0.234375,0.233083
quadgrams,AC15,practical_considerations_and_execution,friction_and_blockers,1,2,1,S1,0.015625,0.015038
quadgrams,AC15,practical_considerations_and_execution,resources_timing_conditions,15,31,3,S1;S3;S7,0.234375,0.233083
quadgrams,AC15,temporal_projection,change_and_rate,10,23,3,S1;S3;S7,0.256410,0.261364
quadgrams,AC15,temporal_projection,decay_and_currency,12,30,3,S3;S5;S7,0.307692,0.340909
quadgrams,AC15,temporal_projection,robustness_and_resilience,4,8,2,S1;S3,0.102564,0.090909
quadgrams,AC15,temporal_projection,time_horizons,13,27,4,S1;S3;S5;S7,0.333333,0.306818
quadgrams,AC15,truth,fact_vs_interpretation,3,6,2,S3;S5,0.107143,0.101695
quadgrams,AC15,truth,plain_statement,2,4,1,S7,0.071429,0.067797
quadgrams,AC15,truth,verification,23,49,3,S1;S3;S5,0.821429,0.830508
quadgrams,AC15P,imagination_and_possibility,exploration_within_bounds,6,14,2,S1;S5,0.461538,0.500000
quadgrams,AC15P,imagination_and_possibility,path_toward_feasibility,4,8,2,S1;S3,0.307692,0.285714
quadgrams,AC15P,imagination_and_possibility,tension_as_fuel,3,6,2,S3;S7,0.230769,0.214286
quadgrams,AC15P,practical_considerations_and_execution,action_and_execution,35,76,4,S1;S3;S5;S7,0.514706,0.513514
quadgrams,AC15P,practical_considerations_and_execution,constraints_and_tradeoffs,15,33,3,S1;S3;S5,0.220588,0.222973
quadgrams,AC15P,practical_considerations_and_execution,friction_and_blockers,1,2,1,S1,0.014706,0.013514
quadgrams,AC15P,practical_considerations_and_execution,resources_timing_conditions,17,37,3,S1;S3;S7,0.250000,0.250000
quadgrams,AC15P,temporal_projection,change_and_rate,14,31,4,S1;S3;S5;S7,0.311111,0.298077
quadgrams,AC15P,temporal_projection,decay_and_currency,9,21,3,S1;S5;S7,0.200000,0.201923
quadgrams,AC15P,temporal_projection,past_present_future,1,2,1,S1,0.022222,0.019231
quadgrams,AC15P,temporal_projection,robustness_and_resilience,7,18,2,S3;S5,0.155556,0.173077
quadgrams,AC15P,temporal_projection,time_horizons,14,32,4,S1;S3;S5;S7,0.311111,0.307692
quadgrams,AC15P,truth,plain_statement,2,4,1,S7,0.100000,0.090909
quadgrams,AC15P,truth,verification,18,40,3,S1;S3;S5,0.900000,0.909091
quadgrams,CONTROL,imagination_and_possibility,tension_as_fuel,1,2,1,S3,1.000000,1.000000
quadgrams,CONTROL,practical_considerations_and_execution,action_and_execution,18,36,4,S1;S3;S5;S7,0.473684,0.404494
quadgrams,CONTROL,practical_considerations_and_execution,constraints_and_tradeoffs,11,33,3,S1;S3;S5,0.289474,0.370787
quadgrams,CONTROL,practical_considerations_and_execution,resources_timing_conditions,9,20,3,S1;S3;S7,0.236842,0.224719
quadgrams,CONTROL,temporal_projection,change_and_rate,11,22,3,S1;S3;S7,0.440000,0.415094
quadgrams,CONTROL,temporal_projection,decay_and_currency,2,4,1,S5,0.080000,0.075472
quadgrams,CONTROL,temporal_projection,past_present_future,2,5,1,S1,0.080000,0.094340
quadgrams,CONTROL,temporal_projection,robustness_and_resilience,1,2,1,S1,0.040000,0.037736
quadgrams,CONTROL,temporal_projection,time_horizons,9,20,4,S1;S3;S5;S7,0.360000,0.377358
quadgrams,CONTROL,truth,fact_vs_interpretation,2,4,1,S3,0.153846,0.153846
quadgrams,CONTROL,truth,uncertainty_marking,2,4,1,S1,0.153846,0.153846
quadgrams,CONTROL,truth,verification,9,18,3,S1;S3;S5,0.692308,0.692308
quadgrams,HYBRID_3_5,imagination_and_possibility,exploration_within_bounds,1,2,1,S3,0.250000,0.250000
quadgrams,HYBRID_3_5,imagination_and_possibility,path_toward_feasibility,1,2,1,S3,0.250000,0.250000
quadgrams,HYBRID_3_5,imagination_and_possibility,speculative_boundary_marking,2,4,1,S5,0.500000,0.500000
quadgrams,HYBRID_3_5,practical_considerations_and_execution,action_and_execution,23,51,4,S1;S3;S5;S7,0.489362,0.490385
quadgrams,HYBRID_3_5,practical_considerations_and_execution,constraints_and_tradeoffs,13,31,3,S1;S3;S5,0.276596,0.298077
quadgrams,HYBRID_3_5,practical_considerations_and_execution,friction_and_blockers,1,2,1,S1,0.021277,0.019231
quadgrams,HYBRID_3_5,practical_considerations_and_execution,resources_timing_conditions,10,20,2,S1;S3,0.212766,0.192308
quadgrams,HYBRID_3_5,temporal_projection,change_and_rate,8,18,3,S1;S3;S7,0.285714,0.305085
quadgrams,HYBRID_3_5,temporal_projection,decay_and_currency,6,12,1,S5,0.214286,0.203390
quadgrams,HYBRID_3_5,temporal_projection,robustness_and_resilience,3,6,2,S1;S5,0.107143,0.101695
quadgrams,HYBRID_3_5,temporal_projection,time_horizons,11,23,3,S1;S5;S7,0.392857,0.389831
quadgrams,HYBRID_3_5,truth,fact_vs_interpretation,1,2,1,S5,0.033333,0.033333
quadgrams,HYBRID_3_5,truth,uncertainty_marking,1,2,1,S1,0.033333,0.033333
quadgrams,HYBRID_3_5,truth,verification,28,56,4,S1;S3;S5;S7,0.933333,0.933333
quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,exploration_within_bounds,7,14,3,S1;S5;S7,0.259259,0.250000
quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,path_toward_feasibility,18,38,2,S1;S3,0.666667,0.678571
quadgrams,HYBRID_SEMANTIC,imagination_and_possibility,tension_as_fuel,2,4,1,S7,0.074074,0.071429
quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,action_and_execution,31,64,4,S1;S3;S5;S7,0.449275,0.457143
quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,constraints_and_tradeoffs,20,40,3,S1;S3;S5,0.289855,0.285714
quadgrams,HYBRID_SEMANTIC,practical_considerations_and_execution,resources_timing_conditions,18,36,3,S1;S3;S7,0.260870,0.257143
quadgrams,HYBRID_SEMANTIC,temporal_projection,change_and_rate,18,43,3,S1;S3;S7,0.461538,0.467391
quadgrams,HYBRID_SEMANTIC,temporal_projection,decay_and_currency,6,14,2,S5;S7,0.153846,0.152174
quadgrams,HYBRID_SEMANTIC,temporal_projection,past_present_future,1,2,1,S1,0.025641,0.021739
quadgrams,HYBRID_SEMANTIC,temporal_projection,robustness_and_resilience,3,6,2,S1;S5,0.076923,0.065217
quadgrams,HYBRID_SEMANTIC,temporal_projection,time_horizons,11,27,3,S1;S3;S7,0.282051,0.293478
quadgrams,HYBRID_SEMANTIC,truth,fact_vs_interpretation,3,6,2,S1;S5,0.088235,0.085714
quadgrams,HYBRID_SEMANTIC,truth,verification,31,64,3,S1;S5;S7,0.911765,0.914286
trigrams,AC15,imagination_and_possibility,exploration_within_bounds,3,6,2,S3;S5,0.333333,0.315789
trigrams,AC15,imagination_and_possibility,path_toward_feasibility,5,11,2,S3;S7,0.555556,0.578947
trigrams,AC15,imagination_and_possibility,tension_as_fuel,1,2,1,S7,0.111111,0.105263
