scenario,level,system,expression_group_layer,expression_group,row_count,sum_count,scenario_heavy_row_count,scenario_heavy_sum_count,share_of_system_scenario_grouped_rows,share_of_system_scenario_grouped_sum,share_of_scenario_level_grouped_rows,share_of_scenario_level_grouped_sum
S1,quadgrams,AC15,cross_cutting,hedging,1,2,0,0,0.026316,0.023810,0.004167,0.003717
S1,quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,15,31,0,0,0.394737,0.369048,0.062500,0.057621
S1,quadgrams,AC15,cross_cutting,surfacing,8,20,0,0,0.210526,0.238095,0.033333,0.037175
S1,quadgrams,AC15,constraint_aligned,temporal_projection,13,29,0,0,0.342105,0.345238,0.054167,0.053903
S1,quadgrams,AC15,constraint_aligned,truth,4,8,0,0,0.105263,0.095238,0.016667,0.014870
S1,quadgrams,AC15,cross_cutting,warning,1,2,0,0,0.026316,0.023810,0.004167,0.003717
S1,quadgrams,AC15P,cross_cutting,hedging,4,14,0,0,0.083333,0.127273,0.016667,0.026022
S1,quadgrams,AC15P,constraint_aligned,imagination_and_possibility,2,4,0,0,0.041667,0.036364,0.008333,0.007435
S1,quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,27,58,1,2,0.562500,0.527273,0.112500,0.107807
S1,quadgrams,AC15P,cross_cutting,surfacing,3,7,1,2,0.062500,0.063636,0.012500,0.013011
S1,quadgrams,AC15P,constraint_aligned,temporal_projection,10,24,0,0,0.208333,0.218182,0.041667,0.044610
S1,quadgrams,AC15P,constraint_aligned,truth,5,10,0,0,0.104167,0.090909,0.020833,0.018587
S1,quadgrams,AC15P,cross_cutting,warning,5,10,0,0,0.104167,0.090909,0.020833,0.018587
S1,quadgrams,CONTROL,cross_cutting,conditions,2,5,0,0,0.050000,0.051546,0.008333,0.009294
S1,quadgrams,CONTROL,cross_cutting,hedging,10,29,0,0,0.250000,0.298969,0.041667,0.053903
S1,quadgrams,CONTROL,constraint_aligned,practical_considerations_and_execution,13,28,0,0,0.325000,0.288660,0.054167,0.052045
S1,quadgrams,CONTROL,cross_cutting,surfacing,1,4,0,0,0.025000,0.041237,0.004167,0.007435
S1,quadgrams,CONTROL,constraint_aligned,temporal_projection,12,27,0,0,0.300000,0.278351,0.050000,0.050186
S1,quadgrams,CONTROL,constraint_aligned,truth,3,6,0,0,0.075000,0.061856,0.012500,0.011152
S1,quadgrams,CONTROL,cross_cutting,warning,2,4,0,0,0.050000,0.041237,0.008333,0.007435
S1,quadgrams,HYBRID_3_5,cross_cutting,autonomy_sovereignty,1,2,0,0,0.019231,0.017544,0.004167,0.003717
S1,quadgrams,HYBRID_3_5,cross_cutting,conditions,1,2,0,0,0.019231,0.017544,0.004167,0.003717
S1,quadgrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,16,35,0,0,0.307692,0.307018,0.066667,0.065056
S1,quadgrams,HYBRID_3_5,cross_cutting,surfacing,8,21,0,0,0.153846,0.184211,0.033333,0.039033
S1,quadgrams,HYBRID_3_5,constraint_aligned,temporal_projection,10,22,0,0,0.192308,0.192982,0.041667,0.040892
S1,quadgrams,HYBRID_3_5,constraint_aligned,truth,15,30,0,0,0.288462,0.263158,0.062500,0.055762
S1,quadgrams,HYBRID_3_5,cross_cutting,warning,6,12,0,0,0.115385,0.105263,0.025000,0.022305
S1,quadgrams,HYBRID_SEMANTIC,cross_cutting,autonomy_sovereignty,1,2,0,0,0.016129,0.015038,0.004167,0.003717
S1,quadgrams,HYBRID_SEMANTIC,cross_cutting,conditions,1,2,0,0,0.016129,0.015038,0.004167,0.003717
S1,quadgrams,HYBRID_SEMANTIC,cross_cutting,hedging,1,2,0,0,0.016129,0.015038,0.004167,0.003717
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,imagination_and_possibility,8,16,0,0,0.129032,0.120301,0.033333,0.029740
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,practical_considerations_and_execution,26,54,0,0,0.419355,0.406015,0.108333,0.100372
S1,quadgrams,HYBRID_SEMANTIC,cross_cutting,surfacing,2,5,0,0,0.032258,0.037594,0.008333,0.009294
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,21,48,0,0,0.338710,0.360902,0.087500,0.089219
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,truth,15,30,0,0,0.241935,0.225564,0.062500,0.055762
