scenario,level,system,total_core_rows,total_core_sum_count,grouped_rows,grouped_sum_count,unclassified_rows,unclassified_sum_count,grouped_row_share,grouped_sum_share,unclassified_row_share,unclassified_sum_share
S1,quadgrams,AC15,134,289,38,84,96,205,0.283582,0.290657,0.716418,0.709343
S1,quadgrams,AC15P,186,414,48,110,138,304,0.258065,0.265700,0.741935,0.734300
S1,quadgrams,CONTROL,148,331,40,97,108,234,0.270270,0.293051,0.729730,0.706949
S1,quadgrams,HYBRID_3_5,181,385,52,114,129,271,0.287293,0.296104,0.712707,0.703896
S1,quadgrams,HYBRID_SEMANTIC,183,391,62,133,121,258,0.338798,0.340153,0.661202,0.659847
S1,trigrams,AC15,238,517,58,127,180,390,0.243697,0.245648,0.756303,0.754352
S1,trigrams,AC15P,267,594,64,140,203,454,0.239700,0.235690,0.760300,0.764310
S1,trigrams,CONTROL,210,480,48,124,162,356,0.228571,0.258333,0.771429,0.741667
S1,trigrams,HYBRID_3_5,272,597,64,141,208,456,0.235294,0.236181,0.764706,0.763819
S1,trigrams,HYBRID_SEMANTIC,283,630,74,167,209,463,0.261484,0.265079,0.738516,0.734921
S3,quadgrams,AC15,152,320,31,62,121,258,0.203947,0.193750,0.796053,0.806250
S3,quadgrams,AC15P,171,365,43,91,128,274,0.251462,0.249315,0.748538,0.750685
S3,quadgrams,CONTROL,109,230,29,62,80,168,0.266055,0.269565,0.733945,0.730435
S3,quadgrams,HYBRID_3_5,133,296,41,100,92,196,0.308271,0.337838,0.691729,0.662162
S3,quadgrams,HYBRID_SEMANTIC,159,336,43,93,116,243,0.270440,0.276786,0.729560,0.723214
S3,trigrams,AC15,283,600,47,95,236,505,0.166078,0.158333,0.833922,0.841667
S3,trigrams,AC15P,300,672,78,167,222,505,0.260000,0.248512,0.740000,0.751488
S3,trigrams,CONTROL,179,396,37,84,142,312,0.206704,0.212121,0.793296,0.787879
S3,trigrams,HYBRID_3_5,221,499,59,145,162,354,0.266968,0.290581,0.733032,0.709419
S3,trigrams,HYBRID_SEMANTIC,269,595,73,170,196,425,0.271375,0.285714,0.728625,0.714286
S5,quadgrams,AC15,93,201,43,93,50,108,0.462366,0.462687,0.537634,0.537313
S5,quadgrams,AC15P,112,258,44,100,68,158,0.392857,0.387597,0.607143,0.612403
S5,quadgrams,CONTROL,77,165,21,52,56,113,0.272727,0.315152,0.727273,0.684848
S5,quadgrams,HYBRID_3_5,91,198,35,75,56,123,0.384615,0.378788,0.615385,0.621212
S5,quadgrams,HYBRID_SEMANTIC,89,192,41,86,48,106,0.460674,0.447917,0.539326,0.552083
S5,trigrams,AC15,178,389,58,125,120,264,0.325843,0.321337,0.674157,0.678663
S5,trigrams,AC15P,207,502,65,160,142,342,0.314010,0.318725,0.685990,0.681275
S5,trigrams,CONTROL,163,361,45,106,118,255,0.276074,0.293629,0.723926,0.706371
S5,trigrams,HYBRID_3_5,164,368,36,77,128,291,0.219512,0.209239,0.780488,0.790761
S5,trigrams,HYBRID_SEMANTIC,179,391,50,104,129,287,0.279330,0.265985,0.720670,0.734015
S7,quadgrams,AC15,154,335,42,86,112,249,0.272727,0.256716,0.727273,0.743284
S7,quadgrams,AC15P,178,395,43,98,135,297,0.241573,0.248101,0.758427,0.751899
S7,quadgrams,CONTROL,112,231,25,51,87,180,0.223214,0.220779,0.776786,0.779221
S7,quadgrams,HYBRID_3_5,119,255,28,64,91,191,0.235294,0.250980,0.764706,0.749020
S7,quadgrams,HYBRID_SEMANTIC,137,288,38,83,99,205,0.277372,0.288194,0.722628,0.711806
S7,trigrams,AC15,218,497,51,109,167,388,0.233945,0.219316,0.766055,0.780684
S7,trigrams,AC15P,255,551,58,122,197,429,0.227451,0.221416,0.772549,0.778584
S7,trigrams,CONTROL,144,298,27,57,117,241,0.187500,0.191275,0.812500,0.808725
S7,trigrams,HYBRID_3_5,159,335,42,90,117,245,0.264151,0.268657,0.735849,0.731343
S7,trigrams,HYBRID_SEMANTIC,184,389,48,104,136,285,0.260870,0.267352,0.739130,0.732648
