scenario,level,system,expression_group_layer,row_count,sum_count,scenario_heavy_row_count,scenario_heavy_sum_count,share_of_system_scenario_grouped_rows,share_of_system_scenario_grouped_sum,share_of_scenario_level_grouped_rows,share_of_scenario_level_grouped_sum
S1,quadgrams,AC15,constraint_aligned,29,62,0,0,0.763158,0.738095,0.120833,0.115242
S1,quadgrams,AC15,cross_cutting,10,24,0,0,0.263158,0.285714,0.041667,0.044610
S1,quadgrams,AC15P,constraint_aligned,41,90,1,2,0.854167,0.818182,0.170833,0.167286
S1,quadgrams,AC15P,cross_cutting,12,31,1,2,0.250000,0.281818,0.050000,0.057621
S1,quadgrams,CONTROL,constraint_aligned,25,55,0,0,0.625000,0.567010,0.104167,0.102230
S1,quadgrams,CONTROL,cross_cutting,15,42,0,0,0.375000,0.432990,0.062500,0.078067
S1,quadgrams,HYBRID_3_5,constraint_aligned,38,81,0,0,0.730769,0.710526,0.158333,0.150558
S1,quadgrams,HYBRID_3_5,cross_cutting,16,37,0,0,0.307692,0.324561,0.066667,0.068773
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,56,120,0,0,0.903226,0.902256,0.233333,0.223048
S1,quadgrams,HYBRID_SEMANTIC,cross_cutting,9,19,0,0,0.145161,0.142857,0.037500,0.035316
S1,trigrams,AC15,constraint_aligned,48,103,0,0,0.827586,0.811024,0.155844,0.147353
S1,trigrams,AC15,cross_cutting,14,32,0,0,0.241379,0.251969,0.045455,0.045780
S1,trigrams,AC15P,constraint_aligned,54,115,0,0,0.843750,0.821429,0.175325,0.164521
S1,trigrams,AC15P,cross_cutting,15,35,0,0,0.234375,0.250000,0.048701,0.050072
S1,trigrams,CONTROL,constraint_aligned,32,78,0,0,0.666667,0.629032,0.103896,0.111588
S1,trigrams,CONTROL,cross_cutting,17,48,0,0,0.354167,0.387097,0.055195,0.068670
S1,trigrams,HYBRID_3_5,constraint_aligned,48,105,0,0,0.750000,0.744681,0.155844,0.150215
S1,trigrams,HYBRID_3_5,cross_cutting,17,38,0,0,0.265625,0.269504,0.055195,0.054363
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,66,147,0,0,0.891892,0.880240,0.214286,0.210300
S1,trigrams,HYBRID_SEMANTIC,cross_cutting,11,26,0,0,0.148649,0.155689,0.035714,0.037196
S3,quadgrams,AC15,constraint_aligned,27,54,0,0,0.870968,0.870968,0.144385,0.132353
S3,quadgrams,AC15,cross_cutting,4,8,0,0,0.129032,0.129032,0.021390,0.019608
S3,quadgrams,AC15P,constraint_aligned,31,65,2,4,0.720930,0.714286,0.165775,0.159314
S3,quadgrams,AC15P,cross_cutting,15,32,0,0,0.348837,0.351648,0.080214,0.078431
S3,quadgrams,CONTROL,constraint_aligned,21,43,1,2,0.724138,0.693548,0.112299,0.105392
S3,quadgrams,CONTROL,cross_cutting,16,35,0,0,0.551724,0.564516,0.085561,0.085784
S3,quadgrams,HYBRID_3_5,constraint_aligned,27,58,0,0,0.658537,0.580000,0.144385,0.142157
S3,quadgrams,HYBRID_3_5,cross_cutting,15,44,0,0,0.365854,0.440000,0.080214,0.107843
S3,quadgrams,HYBRID_SEMANTIC,constraint_aligned,34,74,1,2,0.790698,0.795699,0.181818,0.181373
S3,quadgrams,HYBRID_SEMANTIC,cross_cutting,11,23,0,0,0.255814,0.247312,0.058824,0.056373
S3,trigrams,AC15,constraint_aligned,40,81,0,0,0.851064,0.852632,0.136054,0.122542
S3,trigrams,AC15,cross_cutting,7,14,0,0,0.148936,0.147368,0.023810,0.021180
S3,trigrams,AC15P,constraint_aligned,61,129,0,0,0.782051,0.772455,0.207483,0.195159
S3,trigrams,AC15P,cross_cutting,21,46,0,0,0.269231,0.275449,0.071429,0.069592
S3,trigrams,CONTROL,constraint_aligned,23,50,1,2,0.621622,0.595238,0.078231,0.075643
S3,trigrams,CONTROL,cross_cutting,20,46,0,0,0.540541,0.547619,0.068027,0.069592
S3,trigrams,HYBRID_3_5,constraint_aligned,42,89,0,0,0.711864,0.613793,0.142857,0.134644
S3,trigrams,HYBRID_3_5,cross_cutting,20,62,0,0,0.338983,0.427586,0.068027,0.093797
S3,trigrams,HYBRID_SEMANTIC,constraint_aligned,61,143,0,0,0.835616,0.841176,0.207483,0.216339
S3,trigrams,HYBRID_SEMANTIC,cross_cutting,13,29,0,0,0.178082,0.170588,0.044218,0.043873
S5,quadgrams,AC15,constraint_aligned,36,79,0,0,0.837209,0.849462,0.195652,0.194581
