scenario,level,system,expression_group_layer,expression_group,expression_subgroup,row_count,sum_count,scenario_heavy_row_count,scenario_heavy_sum_count,share_of_system_scenario_grouped_rows,share_of_system_scenario_grouped_sum,share_of_scenario_level_grouped_rows,share_of_scenario_level_grouped_sum
S1,quadgrams,AC15,cross_cutting,hedging,single_word_markers,1,2,0,0,0.026316,0.023810,0.004167,0.003717
S1,quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,5,10,0,0,0.131579,0.119048,0.020833,0.018587
S1,quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,1,2,0,0,0.026316,0.023810,0.004167,0.003717
S1,quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,9,19,0,0,0.236842,0.226190,0.037500,0.035316
S1,quadgrams,AC15,cross_cutting,surfacing,confrontation,7,18,0,0,0.184211,0.214286,0.029167,0.033457
S1,quadgrams,AC15,cross_cutting,surfacing,friction_exposed,1,2,0,0,0.026316,0.023810,0.004167,0.003717
S1,quadgrams,AC15,constraint_aligned,temporal_projection,change_and_rate,8,19,0,0,0.210526,0.226190,0.033333,0.035316
S1,quadgrams,AC15,constraint_aligned,temporal_projection,robustness_and_resilience,1,2,0,0,0.026316,0.023810,0.004167,0.003717
S1,quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,4,8,0,0,0.105263,0.095238,0.016667,0.014870
S1,quadgrams,AC15,constraint_aligned,truth,verification,4,8,0,0,0.105263,0.095238,0.016667,0.014870
S1,quadgrams,AC15,cross_cutting,warning,main,1,2,0,0,0.026316,0.023810,0.004167,0.003717
S1,quadgrams,AC15P,cross_cutting,hedging,multi_word_patterns,1,2,0,0,0.020833,0.018182,0.004167,0.003717
S1,quadgrams,AC15P,cross_cutting,hedging,single_word_markers,4,14,0,0,0.083333,0.127273,0.016667,0.026022
S1,quadgrams,AC15P,constraint_aligned,imagination_and_possibility,exploration_within_bounds,1,2,0,0,0.020833,0.018182,0.004167,0.003717
S1,quadgrams,AC15P,constraint_aligned,imagination_and_possibility,path_toward_feasibility,1,2,0,0,0.020833,0.018182,0.004167,0.003717
S1,quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,10,22,0,0,0.208333,0.200000,0.041667,0.040892
S1,quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,2,4,0,0,0.041667,0.036364,0.008333,0.007435
S1,quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,1,2,1,2,0.020833,0.018182,0.004167,0.003717
S1,quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,15,32,0,0,0.312500,0.290909,0.062500,0.059480
S1,quadgrams,AC15P,cross_cutting,surfacing,friction_exposed,1,2,1,2,0.020833,0.018182,0.004167,0.003717
S1,quadgrams,AC15P,cross_cutting,surfacing,hard_limit_refusal,2,5,0,0,0.041667,0.045455,0.008333,0.009294
S1,quadgrams,AC15P,constraint_aligned,temporal_projection,change_and_rate,4,11,0,0,0.083333,0.100000,0.016667,0.020446
S1,quadgrams,AC15P,constraint_aligned,temporal_projection,decay_and_currency,3,6,0,0,0.062500,0.054545,0.012500,0.011152
S1,quadgrams,AC15P,constraint_aligned,temporal_projection,past_present_future,1,2,0,0,0.020833,0.018182,0.004167,0.003717
S1,quadgrams,AC15P,constraint_aligned,temporal_projection,time_horizons,2,5,0,0,0.041667,0.045455,0.008333,0.009294
S1,quadgrams,AC15P,constraint_aligned,truth,verification,5,10,0,0,0.104167,0.090909,0.020833,0.018587
S1,quadgrams,AC15P,cross_cutting,warning,main,5,10,0,0,0.104167,0.090909,0.020833,0.018587
S1,quadgrams,CONTROL,cross_cutting,conditions,main,2,5,0,0,0.050000,0.051546,0.008333,0.009294
S1,quadgrams,CONTROL,cross_cutting,hedging,multi_word_patterns,1,2,0,0,0.025000,0.020619,0.004167,0.003717
S1,quadgrams,CONTROL,cross_cutting,hedging,single_word_markers,10,29,0,0,0.250000,0.298969,0.041667,0.053903
S1,quadgrams,CONTROL,constraint_aligned,practical_considerations_and_execution,action_and_execution,3,6,0,0,0.075000,0.061856,0.012500,0.011152
S1,quadgrams,CONTROL,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,4,8,0,0,0.100000,0.082474,0.016667,0.014870
S1,quadgrams,CONTROL,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,6,14,0,0,0.150000,0.144330,0.025000,0.026022
S1,quadgrams,CONTROL,cross_cutting,surfacing,confrontation,1,4,0,0,0.025000,0.041237,0.004167,0.007435
S1,quadgrams,CONTROL,constraint_aligned,temporal_projection,change_and_rate,3,6,0,0,0.075000,0.061856,0.012500,0.011152
S1,quadgrams,CONTROL,constraint_aligned,temporal_projection,past_present_future,2,5,0,0,0.050000,0.051546,0.008333,0.009294
S1,quadgrams,CONTROL,constraint_aligned,temporal_projection,robustness_and_resilience,1,2,0,0,0.025000,0.020619,0.004167,0.003717
S1,quadgrams,CONTROL,constraint_aligned,temporal_projection,time_horizons,6,14,0,0,0.150000,0.144330,0.025000,0.026022
S1,quadgrams,CONTROL,constraint_aligned,truth,uncertainty_marking,2,4,0,0,0.050000,0.041237,0.008333,0.007435
S1,quadgrams,CONTROL,constraint_aligned,truth,verification,1,2,0,0,0.025000,0.020619,0.004167,0.003717
S1,quadgrams,CONTROL,cross_cutting,warning,main,2,4,0,0,0.050000,0.041237,0.008333,0.007435
S1,quadgrams,HYBRID_3_5,cross_cutting,autonomy_sovereignty,single_word_markers,1,2,0,0,0.019231,0.017544,0.004167,0.003717
S1,quadgrams,HYBRID_3_5,cross_cutting,conditions,main,1,2,0,0,0.019231,0.017544,0.004167,0.003717
S1,quadgrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,action_and_execution,6,15,0,0,0.115385,0.131579,0.025000,0.027881
S1,quadgrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,1,2,0,0,0.019231,0.017544,0.004167,0.003717
S1,quadgrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,1,2,0,0,0.019231,0.017544,0.004167,0.003717
S1,quadgrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,8,16,0,0,0.153846,0.140351,0.033333,0.029740
S1,quadgrams,HYBRID_3_5,cross_cutting,surfacing,confrontation,7,19,0,0,0.134615,0.166667,0.029167,0.035316
S1,quadgrams,HYBRID_3_5,cross_cutting,surfacing,friction_exposed,1,2,0,0,0.019231,0.017544,0.004167,0.003717
S1,quadgrams,HYBRID_3_5,constraint_aligned,temporal_projection,change_and_rate,4,9,0,0,0.076923,0.078947,0.016667,0.016729
S1,quadgrams,HYBRID_3_5,constraint_aligned,temporal_projection,robustness_and_resilience,2,4,0,0,0.038462,0.035088,0.008333,0.007435
S1,quadgrams,HYBRID_3_5,constraint_aligned,temporal_projection,time_horizons,4,9,0,0,0.076923,0.078947,0.016667,0.016729
S1,quadgrams,HYBRID_3_5,constraint_aligned,truth,uncertainty_marking,1,2,0,0,0.019231,0.017544,0.004167,0.003717
S1,quadgrams,HYBRID_3_5,constraint_aligned,truth,verification,14,28,0,0,0.269231,0.245614,0.058333,0.052045
S1,quadgrams,HYBRID_3_5,cross_cutting,warning,main,6,12,0,0,0.115385,0.105263,0.025000,0.022305
S1,quadgrams,HYBRID_SEMANTIC,cross_cutting,autonomy_sovereignty,single_word_markers,1,2,0,0,0.016129,0.015038,0.004167,0.003717
S1,quadgrams,HYBRID_SEMANTIC,cross_cutting,conditions,main,1,2,0,0,0.016129,0.015038,0.004167,0.003717
S1,quadgrams,HYBRID_SEMANTIC,cross_cutting,hedging,multi_word_patterns,1,2,0,0,0.016129,0.015038,0.004167,0.003717
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,imagination_and_possibility,exploration_within_bounds,2,4,0,0,0.032258,0.030075,0.008333,0.007435
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,imagination_and_possibility,path_toward_feasibility,8,16,0,0,0.129032,0.120301,0.033333,0.029740
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,practical_considerations_and_execution,action_and_execution,12,26,0,0,0.193548,0.195489,0.050000,0.048327
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,4,8,0,0,0.064516,0.060150,0.016667,0.014870
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,10,20,0,0,0.161290,0.150376,0.041667,0.037175
S1,quadgrams,HYBRID_SEMANTIC,cross_cutting,surfacing,confrontation,1,3,0,0,0.016129,0.022556,0.004167,0.005576
S1,quadgrams,HYBRID_SEMANTIC,cross_cutting,surfacing,hard_limit_refusal,1,2,0,0,0.016129,0.015038,0.004167,0.003717
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,change_and_rate,14,34,0,0,0.225806,0.255639,0.058333,0.063197
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,past_present_future,1,2,0,0,0.016129,0.015038,0.004167,0.003717
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,robustness_and_resilience,2,4,0,0,0.032258,0.030075,0.008333,0.007435
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,time_horizons,4,8,0,0,0.064516,0.060150,0.016667,0.014870
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,truth,fact_vs_interpretation,1,2,0,0,0.016129,0.015038,0.004167,0.003717
S1,quadgrams,HYBRID_SEMANTIC,constraint_aligned,truth,verification,14,28,0,0,0.225806,0.210526,0.058333,0.052045
S1,quadgrams,HYBRID_SEMANTIC,cross_cutting,warning,main,4,8,0,0,0.064516,0.060150,0.016667,0.014870
S1,trigrams,AC15,cross_cutting,conditions,main,1,2,0,0,0.017241,0.015748,0.003247,0.002861
S1,trigrams,AC15,cross_cutting,hedging,multi_word_patterns,1,2,0,0,0.017241,0.015748,0.003247,0.002861
S1,trigrams,AC15,cross_cutting,hedging,single_word_markers,4,8,0,0,0.068966,0.062992,0.012987,0.011445
S1,trigrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,8,16,0,0,0.137931,0.125984,0.025974,0.022890
S1,trigrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,1,2,0,0,0.017241,0.015748,0.003247,0.002861
S1,trigrams,AC15,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,3,6,0,0,0.051724,0.047244,0.009740,0.008584
S1,trigrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,15,31,0,0,0.258621,0.244094,0.048701,0.044349
S1,trigrams,AC15,cross_cutting,surfacing,confrontation,5,14,0,0,0.086207,0.110236,0.016234,0.020029
S1,trigrams,AC15,cross_cutting,surfacing,friction_exposed,2,4,0,0,0.034483,0.031496,0.006494,0.005722
S1,trigrams,AC15,constraint_aligned,temporal_projection,change_and_rate,10,22,0,0,0.172414,0.173228,0.032468,0.031474
S1,trigrams,AC15,constraint_aligned,temporal_projection,past_present_future,1,2,0,0,0.017241,0.015748,0.003247,0.002861
S1,trigrams,AC15,constraint_aligned,temporal_projection,robustness_and_resilience,2,4,0,0,0.034483,0.031496,0.006494,0.005722
S1,trigrams,AC15,constraint_aligned,temporal_projection,time_horizons,8,19,0,0,0.137931,0.149606,0.025974,0.027182
S1,trigrams,AC15,constraint_aligned,truth,verification,6,13,0,0,0.103448,0.102362,0.019481,0.018598
S1,trigrams,AC15,cross_cutting,warning,main,2,4,0,0,0.034483,0.031496,0.006494,0.005722
S1,trigrams,AC15P,cross_cutting,conditions,main,1,2,0,0,0.015625,0.014286,0.003247,0.002861
S1,trigrams,AC15P,cross_cutting,hedging,single_word_markers,2,9,0,0,0.031250,0.064286,0.006494,0.012876
S1,trigrams,AC15P,constraint_aligned,imagination_and_possibility,exploration_within_bounds,1,2,0,0,0.015625,0.014286,0.003247,0.002861
S1,trigrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,13,28,0,0,0.203125,0.200000,0.042208,0.040057
S1,trigrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,2,5,0,0,0.031250,0.035714,0.006494,0.007153
S1,trigrams,AC15P,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,2,4,0,0,0.031250,0.028571,0.006494,0.005722
S1,trigrams,AC15P,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,22,47,0,0,0.343750,0.335714,0.071429,0.067239
S1,trigrams,AC15P,cross_cutting,surfacing,friction_exposed,2,4,0,0,0.031250,0.028571,0.006494,0.005722
S1,trigrams,AC15P,cross_cutting,surfacing,hard_limit_refusal,2,4,0,0,0.031250,0.028571,0.006494,0.005722
S1,trigrams,AC15P,constraint_aligned,temporal_projection,change_and_rate,3,6,0,0,0.046875,0.042857,0.009740,0.008584
S1,trigrams,AC15P,constraint_aligned,temporal_projection,decay_and_currency,1,2,0,0,0.015625,0.014286,0.003247,0.002861
S1,trigrams,AC15P,constraint_aligned,temporal_projection,robustness_and_resilience,1,2,0,0,0.015625,0.014286,0.003247,0.002861
S1,trigrams,AC15P,constraint_aligned,temporal_projection,time_horizons,4,9,0,0,0.062500,0.064286,0.012987,0.012876
S1,trigrams,AC15P,constraint_aligned,truth,uncertainty_marking,1,2,0,0,0.015625,0.014286,0.003247,0.002861
S1,trigrams,AC15P,constraint_aligned,truth,verification,5,10,0,0,0.078125,0.071429,0.016234,0.014306
S1,trigrams,AC15P,cross_cutting,warning,main,8,16,0,0,0.125000,0.114286,0.025974,0.022890
S1,trigrams,CONTROL,cross_cutting,conditions,main,2,5,0,0,0.041667,0.040323,0.006494,0.007153
S1,trigrams,CONTROL,cross_cutting,hedging,multi_word_patterns,2,4,0,0,0.041667,0.032258,0.006494,0.005722
S1,trigrams,CONTROL,cross_cutting,hedging,single_word_markers,8,27,0,0,0.166667,0.217742,0.025974,0.038627
S1,trigrams,CONTROL,constraint_aligned,practical_considerations_and_execution,action_and_execution,7,17,0,0,0.145833,0.137097,0.022727,0.024320
S1,trigrams,CONTROL,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,3,6,0,0,0.062500,0.048387,0.009740,0.008584
S1,trigrams,CONTROL,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,6,16,0,0,0.125000,0.129032,0.019481,0.022890
S1,trigrams,CONTROL,cross_cutting,surfacing,confrontation,1,4,0,0,0.020833,0.032258,0.003247,0.005722
S1,trigrams,CONTROL,constraint_aligned,temporal_projection,change_and_rate,4,10,0,0,0.083333,0.080645,0.012987,0.014306
S1,trigrams,CONTROL,constraint_aligned,temporal_projection,past_present_future,2,6,0,0,0.041667,0.048387,0.006494,0.008584
S1,trigrams,CONTROL,constraint_aligned,temporal_projection,robustness_and_resilience,3,7,0,0,0.062500,0.056452,0.009740,0.010014
S1,trigrams,CONTROL,constraint_aligned,temporal_projection,time_horizons,7,17,0,0,0.145833,0.137097,0.022727,0.024320
S1,trigrams,CONTROL,constraint_aligned,truth,uncertainty_marking,2,4,0,0,0.041667,0.032258,0.006494,0.005722
S1,trigrams,CONTROL,constraint_aligned,truth,verification,1,3,0,0,0.020833,0.024194,0.003247,0.004292
S1,trigrams,CONTROL,cross_cutting,warning,main,6,12,0,0,0.125000,0.096774,0.019481,0.017167
S1,trigrams,HYBRID_3_5,cross_cutting,autonomy_sovereignty,single_word_markers,3,6,0,0,0.046875,0.042553,0.009740,0.008584
S1,trigrams,HYBRID_3_5,cross_cutting,conditions,main,1,2,0,0,0.015625,0.014184,0.003247,0.002861
S1,trigrams,HYBRID_3_5,constraint_aligned,imagination_and_possibility,exploration_within_bounds,1,2,0,0,0.015625,0.014184,0.003247,0.002861
S1,trigrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,action_and_execution,7,16,0,0,0.109375,0.113475,0.022727,0.022890
S1,trigrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,2,4,0,0,0.031250,0.028369,0.006494,0.005722
S1,trigrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,1,2,0,0,0.015625,0.014184,0.003247,0.002861
S1,trigrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,14,30,0,0,0.218750,0.212766,0.045455,0.042918
S1,trigrams,HYBRID_3_5,cross_cutting,surfacing,confrontation,3,9,0,0,0.046875,0.063830,0.009740,0.012876
S1,trigrams,HYBRID_3_5,cross_cutting,surfacing,friction_exposed,2,4,0,0,0.031250,0.028369,0.006494,0.005722
S1,trigrams,HYBRID_3_5,cross_cutting,surfacing,hard_limit_refusal,1,2,0,0,0.015625,0.014184,0.003247,0.002861
S1,trigrams,HYBRID_3_5,cross_cutting,surfacing,tension_exposure,1,2,0,0,0.015625,0.014184,0.003247,0.002861
S1,trigrams,HYBRID_3_5,constraint_aligned,temporal_projection,change_and_rate,4,13,0,0,0.062500,0.092199,0.012987,0.018598
S1,trigrams,HYBRID_3_5,constraint_aligned,temporal_projection,decay_and_currency,1,2,0,0,0.015625,0.014184,0.003247,0.002861
S1,trigrams,HYBRID_3_5,constraint_aligned,temporal_projection,robustness_and_resilience,6,14,0,0,0.093750,0.099291,0.019481,0.020029
S1,trigrams,HYBRID_3_5,constraint_aligned,temporal_projection,time_horizons,4,8,0,0,0.062500,0.056738,0.012987,0.011445
S1,trigrams,HYBRID_3_5,constraint_aligned,truth,uncertainty_marking,1,2,0,0,0.015625,0.014184,0.003247,0.002861
S1,trigrams,HYBRID_3_5,constraint_aligned,truth,verification,15,30,0,0,0.234375,0.212766,0.048701,0.042918
S1,trigrams,HYBRID_3_5,cross_cutting,warning,main,6,13,0,0,0.093750,0.092199,0.019481,0.018598
S1,trigrams,HYBRID_SEMANTIC,cross_cutting,autonomy_sovereignty,single_word_markers,1,2,0,0,0.013514,0.011976,0.003247,0.002861
S1,trigrams,HYBRID_SEMANTIC,cross_cutting,hedging,single_word_markers,1,2,0,0,0.013514,0.011976,0.003247,0.002861
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,imagination_and_possibility,exploration_within_bounds,2,4,0,0,0.027027,0.023952,0.006494,0.005722
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,imagination_and_possibility,path_toward_feasibility,7,14,0,0,0.094595,0.083832,0.022727,0.020029
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,practical_considerations_and_execution,action_and_execution,11,25,0,0,0.148649,0.149701,0.035714,0.035765
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,6,12,0,0,0.081081,0.071856,0.019481,0.017167
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,practical_considerations_and_execution,friction_and_blockers,1,2,0,0,0.013514,0.011976,0.003247,0.002861
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,14,29,0,0,0.189189,0.173653,0.045455,0.041488
S1,trigrams,HYBRID_SEMANTIC,cross_cutting,surfacing,confrontation,2,8,0,0,0.027027,0.047904,0.006494,0.011445
S1,trigrams,HYBRID_SEMANTIC,cross_cutting,surfacing,friction_exposed,1,2,0,0,0.013514,0.011976,0.003247,0.002861
S1,trigrams,HYBRID_SEMANTIC,cross_cutting,surfacing,hard_limit_refusal,1,2,0,0,0.013514,0.011976,0.003247,0.002861
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,change_and_rate,8,18,0,0,0.108108,0.107784,0.025974,0.025751
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,past_present_future,1,3,0,0,0.013514,0.017964,0.003247,0.004292
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,robustness_and_resilience,3,6,0,0,0.040541,0.035928,0.009740,0.008584
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,temporal_projection,time_horizons,7,16,0,0,0.094595,0.095808,0.022727,0.022890
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,truth,fact_vs_interpretation,2,4,0,0,0.027027,0.023952,0.006494,0.005722
S1,trigrams,HYBRID_SEMANTIC,constraint_aligned,truth,verification,13,33,0,0,0.175676,0.197605,0.042208,0.047210
S1,trigrams,HYBRID_SEMANTIC,cross_cutting,warning,main,5,10,0,0,0.067568,0.059880,0.016234,0.014306
S3,quadgrams,AC15,cross_cutting,hedging,single_word_markers,3,6,0,0,0.096774,0.096774,0.016043,0.014706
S3,quadgrams,AC15,constraint_aligned,imagination_and_possibility,exploration_within_bounds,2,4,0,0,0.064516,0.064516,0.010695,0.009804
S3,quadgrams,AC15,constraint_aligned,imagination_and_possibility,path_toward_feasibility,2,4,0,0,0.064516,0.064516,0.010695,0.009804
S3,quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,action_and_execution,7,14,0,0,0.225806,0.225806,0.037433,0.034314
S3,quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,7,14,0,0,0.225806,0.225806,0.037433,0.034314
S3,quadgrams,AC15,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,3,6,0,0,0.096774,0.096774,0.016043,0.014706
S3,quadgrams,AC15,cross_cutting,surfacing,hard_limit_refusal,1,2,0,0,0.032258,0.032258,0.005348,0.004902
S3,quadgrams,AC15,constraint_aligned,temporal_projection,change_and_rate,1,2,0,0,0.032258,0.032258,0.005348,0.004902
S3,quadgrams,AC15,constraint_aligned,temporal_projection,decay_and_currency,1,2,0,0,0.032258,0.032258,0.005348,0.004902
S3,quadgrams,AC15,constraint_aligned,temporal_projection,robustness_and_resilience,3,6,0,0,0.096774,0.096774,0.016043,0.014706
S3,quadgrams,AC15,constraint_aligned,temporal_projection,time_horizons,2,4,0,0,0.064516,0.064516,0.010695,0.009804
S3,quadgrams,AC15,constraint_aligned,truth,fact_vs_interpretation,2,4,0,0,0.064516,0.064516,0.010695,0.009804
S3,quadgrams,AC15,constraint_aligned,truth,verification,2,4,0,0,0.064516,0.064516,0.010695,0.009804
S3,quadgrams,AC15P,cross_cutting,autonomy_sovereignty,multi_word_patterns,1,2,0,0,0.023256,0.021978,0.005348,0.004902
S3,quadgrams,AC15P,cross_cutting,autonomy_sovereignty,single_word_markers,1,2,0,0,0.023256,0.021978,0.005348,0.004902
S3,quadgrams,AC15P,cross_cutting,conditions,main,4,10,0,0,0.093023,0.109890,0.021390,0.024510
S3,quadgrams,AC15P,cross_cutting,hedging,multi_word_patterns,1,2,0,0,0.023256,0.021978,0.005348,0.004902
S3,quadgrams,AC15P,cross_cutting,hedging,single_word_markers,4,8,0,0,0.093023,0.087912,0.021390,0.019608
S3,quadgrams,AC15P,constraint_aligned,imagination_and_possibility,path_toward_feasibility,3,6,0,0,0.069767,0.065934,0.016043,0.014706
S3,quadgrams,AC15P,constraint_aligned,imagination_and_possibility,tension_as_fuel,1,2,0,0,0.023256,0.021978,0.005348,0.004902
S3,quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,action_and_execution,11,22,1,2,0.255814,0.241758,0.058824,0.053922
S3,quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,7,17,0,0,0.162791,0.186813,0.037433,0.041667
S3,quadgrams,AC15P,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,1,3,0,0,0.023256,0.032967,0.005348,0.007353
S3,quadgrams,AC15P,cross_cutting,smoothing,main,3,6,0,0,0.069767,0.065934,0.016043,0.014706
S3,quadgrams,AC15P,cross_cutting,surfacing,confrontation,1,2,0,0,0.023256,0.021978,0.005348,0.004902
S3,quadgrams,AC15P,cross_cutting,surfacing,hard_limit_refusal,4,8,0,0,0.093023,0.087912,0.021390,0.019608
S3,quadgrams,AC15P,constraint_aligned,temporal_projection,change_and_rate,3,6,0,0,0.069767,0.065934,0.016043,0.014706
S3,quadgrams,AC15P,constraint_aligned,temporal_projection,robustness_and_resilience,1,2,0,0,0.023256,0.021978,0.005348,0.004902
S3,quadgrams,AC15P,constraint_aligned,temporal_projection,time_horizons,5,12,2,4,0.116279,0.131868,0.026738,0.029412
S3,quadgrams,AC15P,constraint_aligned,truth,verification,4,8,0,0,0.093023,0.087912,0.021390,0.019608
S3,quadgrams,CONTROL,cross_cutting,autonomy_sovereignty,single_word_markers,3,9,0,0,0.103448,0.145161,0.016043,0.022059
S3,quadgrams,CONTROL,cross_cutting,conditions,main,4,8,0,0,0.137931,0.129032,0.021390,0.019608
S3,quadgrams,CONTROL,cross_cutting,hedging,single_word_markers,1,2,0,0,0.034483,0.032258,0.005348,0.004902
S3,quadgrams,CONTROL,constraint_aligned,imagination_and_possibility,tension_as_fuel,1,2,0,0,0.034483,0.032258,0.005348,0.004902
S3,quadgrams,CONTROL,constraint_aligned,practical_considerations_and_execution,action_and_execution,9,18,1,2,0.310345,0.290323,0.048128,0.044118
S3,quadgrams,CONTROL,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,2,5,0,0,0.068966,0.080645,0.010695,0.012255
S3,quadgrams,CONTROL,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,2,4,0,0,0.068966,0.064516,0.010695,0.009804
S3,quadgrams,CONTROL,cross_cutting,surfacing,hard_limit_refusal,6,14,0,0,0.206897,0.225806,0.032086,0.034314
S3,quadgrams,CONTROL,constraint_aligned,temporal_projection,change_and_rate,3,6,0,0,0.103448,0.096774,0.016043,0.014706
S3,quadgrams,CONTROL,constraint_aligned,temporal_projection,time_horizons,1,2,1,2,0.034483,0.032258,0.005348,0.004902
S3,quadgrams,CONTROL,constraint_aligned,truth,fact_vs_interpretation,2,4,0,0,0.068966,0.064516,0.010695,0.009804
S3,quadgrams,CONTROL,constraint_aligned,truth,verification,2,4,0,0,0.068966,0.064516,0.010695,0.009804
S3,quadgrams,CONTROL,cross_cutting,warning,main,4,8,0,0,0.137931,0.129032,0.021390,0.019608
S3,quadgrams,HYBRID_3_5,cross_cutting,autonomy_sovereignty,single_word_markers,8,27,0,0,0.195122,0.270000,0.042781,0.066176
S3,quadgrams,HYBRID_3_5,cross_cutting,hedging,single_word_markers,2,4,0,0,0.048780,0.040000,0.010695,0.009804
S3,quadgrams,HYBRID_3_5,constraint_aligned,imagination_and_possibility,exploration_within_bounds,1,2,0,0,0.024390,0.020000,0.005348,0.004902
S3,quadgrams,HYBRID_3_5,constraint_aligned,imagination_and_possibility,path_toward_feasibility,1,2,0,0,0.024390,0.020000,0.005348,0.004902
S3,quadgrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,action_and_execution,12,26,0,0,0.292683,0.260000,0.064171,0.063725
S3,quadgrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,constraints_and_tradeoffs,9,19,0,0,0.219512,0.190000,0.048128,0.046569
S3,quadgrams,HYBRID_3_5,constraint_aligned,practical_considerations_and_execution,resources_timing_conditions,2,4,0,0,0.048780,0.040000,0.010695,0.009804
