scenario,level,system,unclassified_rows,unclassified_sum_count,total_core_rows,total_core_sum_count,unclassified_row_share,unclassified_sum_share
S1,quadgrams,AC15,96,205,134,289,0.716418,0.709343
S1,quadgrams,AC15P,138,304,186,414,0.741935,0.734300
S1,quadgrams,CONTROL,108,234,148,331,0.729730,0.706949
S1,quadgrams,HYBRID_3_5,129,271,181,385,0.712707,0.703896
S1,quadgrams,HYBRID_SEMANTIC,121,258,183,391,0.661202,0.659847
S1,trigrams,AC15,180,390,238,517,0.756303,0.754352
S1,trigrams,AC15P,203,454,267,594,0.760300,0.764310
S1,trigrams,CONTROL,162,356,210,480,0.771429,0.741667
S1,trigrams,HYBRID_3_5,208,456,272,597,0.764706,0.763819
S1,trigrams,HYBRID_SEMANTIC,209,463,283,630,0.738516,0.734921
S3,quadgrams,AC15,121,258,152,320,0.796053,0.806250
S3,quadgrams,AC15P,128,274,171,365,0.748538,0.750685
S3,quadgrams,CONTROL,80,168,109,230,0.733945,0.730435
S3,quadgrams,HYBRID_3_5,92,196,133,296,0.691729,0.662162
S3,quadgrams,HYBRID_SEMANTIC,116,243,159,336,0.729560,0.723214
S3,trigrams,AC15,236,505,283,600,0.833922,0.841667
S3,trigrams,AC15P,222,505,300,672,0.740000,0.751488
S3,trigrams,CONTROL,142,312,179,396,0.793296,0.787879
S3,trigrams,HYBRID_3_5,162,354,221,499,0.733032,0.709419
S3,trigrams,HYBRID_SEMANTIC,196,425,269,595,0.728625,0.714286
S5,quadgrams,AC15,50,108,93,201,0.537634,0.537313
S5,quadgrams,AC15P,68,158,112,258,0.607143,0.612403
S5,quadgrams,CONTROL,56,113,77,165,0.727273,0.684848
S5,quadgrams,HYBRID_3_5,56,123,91,198,0.615385,0.621212
S5,quadgrams,HYBRID_SEMANTIC,48,106,89,192,0.539326,0.552083
S5,trigrams,AC15,120,264,178,389,0.674157,0.678663
S5,trigrams,AC15P,142,342,207,502,0.685990,0.681275
S5,trigrams,CONTROL,118,255,163,361,0.723926,0.706371
S5,trigrams,HYBRID_3_5,128,291,164,368,0.780488,0.790761
S5,trigrams,HYBRID_SEMANTIC,129,287,179,391,0.720670,0.734015
S7,quadgrams,AC15,112,249,154,335,0.727273,0.743284
S7,quadgrams,AC15P,135,297,178,395,0.758427,0.751899
S7,quadgrams,CONTROL,87,180,112,231,0.776786,0.779221
S7,quadgrams,HYBRID_3_5,91,191,119,255,0.764706,0.749020
S7,quadgrams,HYBRID_SEMANTIC,99,205,137,288,0.722628,0.711806
S7,trigrams,AC15,167,388,218,497,0.766055,0.780684
S7,trigrams,AC15P,197,429,255,551,0.772549,0.778584
S7,trigrams,CONTROL,117,241,144,298,0.812500,0.808725
S7,trigrams,HYBRID_3_5,117,245,159,335,0.735849,0.731343
S7,trigrams,HYBRID_SEMANTIC,136,285,184,389,0.739130,0.732648
